"AXLE_CNT","CARGO_BD_TYPE","UNIT_NUM","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","CRASH_YEAR","CRN","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","USDOT_NUM","VEH_CONFIG_CD","COUNTY","DISTRICT","MUNICIPALITY","DISTRICT_NAME","COUNTY_NAME","MUNICIPALITY_NAME"
"05","7","1","6318 CALVERT ST","","PHILADELPHIA","PA","191491913","RC DE OLEO TRUCKING INC","2672219478","2018","2018003695","080000","","","","","N","","","","","","N","","02503249","08","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"02","7","1","100 S BROAD ST","","PHILADELPHIA","PA","19110","CITY OF PHILADELPHIA","2156861776","2018","2018004353","035000","","","","","N","","","","","","N","","","03","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","1","1","5201 BLUE MOUND RD","","FORT WORTH","TX","76106","NEW BERN TRANSPORT CORP","9147676000","2018","2018006503","048600","","","","","N","","","","","","N","","00692947","09","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","1","270 EAST GRANT ST.","","BLAIR","NE","68008","HIRSCHBACH MOTOR LINES INC.","4042109410","2018","2018006512","080000","","","","","N","","","","","","N","","00065769","08","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"02","8","1","7700 STATE ROAD","","PHILADELPHIA","PA","19137","YELLOWBIRD BUS CO INC","2152891022","2018","2018007089","012500","","","","","N","","","","","","N","","00273447","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"05","9","1","PO BOX 1","","VINITA","OK","74301","CUSTOM COMMODITIES INC","8003453802","2018","2018008701","080000","","","","","N","","","","","","N","","00293238","09","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"03","1","2","705 B NORTH BLOOMINGTON","","LOWELL","AR","72745","JB HUNT TRANSPORT INC.","8004524686","2018","2018010858","018500","","","","","N","","","","","","N","","00080806","08","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"05","1","2","94 WALDOBRO ROAD","","JEFFERSON","ME","84348","MTR","9108505052","2018","2018011165","080000","","","","","N","","","","","","N","","02305869","08","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"03","1","2","3306 STOKLEY STREET","","PHILADELPHIA","PA","19129","SC TRANSPORTATION INC","2675365307","2018","2018011655","025999","","","","","N","","","","","","N","","02309592","09","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","4","2","SWEDE RD JOHNSON HIGHWA","","NORRISTOWN","PA","19021","PENNDOT","6102752368","2018","2018011941","058400","","","","","N","","","","","","N","","09722069","09","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"02","8","2","1234 MARKET ST","","PHILADELPHIA","PA","19107","SEPTA","2679736104","2018","2018012557","026000","","","","","N","","","","","","N","","00006207","10","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"03","0","1","1885 N READING RD","","DENVER","PA","17517","EF","7176616100","2018","2018013665","034000","","","","","N","","","","","","N","A-00117949","00005572","08","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"04","4","1","124 CHESTNUT ST","","PHILADELPHIA","PA","19106","REAL CONSTRUCTION","2159774865","2018","2018013714","073280","","","","","N","","","","","","N","","71578668","04","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"05","1","1","200 CONTINENTIAL DR","","NEWARK","DE","19713","COHEN  MANCINI LOGISTICS LLC","3029322046","2018","2018014174","080000","","","","","N","","","","","","N","","03050684","08","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"02","9","1","18065 HICKORY CREEK DR","","MOKENA","IL","65448","ORGANIX RECYCLE CO","7083263900","2018","2018015148","","","","","","N","","","","","","N","","01977469","08","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
