"COUNTY","DISTRICT_NAME","COUNTY_NAME","MUNICIPALITY_NAME","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_YEAR","MUNICIPALITY"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018005683","2 ","5530","W","3","1","0076","3445","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018003231","02","","S","4","4","","","25","4TH ST","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018012172","4 ","19","W","3","1","0076","3405","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018009633","4 ","1867","S","3","1","0095","0301","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018003695","3 ","0","N","3","2","3013","0030","35","ISLAND AV","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018011681","1 ","490","S","4","2","8003","0500","20","RAMP RD","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018009644","4 ","2841","N","3","1","0095","0224","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018013665","2 ","911","W","3","1","0076","3455","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018005683","2 ","2365","W","4","2","8018","0020","40","RAMP RD","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018003246","03","0","S","3","2","0001","0201","40","ROOSEVELT BL","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018004083","2 ","5366","E","3","1","0076","3444","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018004108","3 ","31","W","3","1","0076","3465","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018009826","2 ","2236","E","3","1","0076","3454","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018012174","3 ","1416","W","3","1","0076","3435","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018013649","4 ","2365","S","3","1","0095","0225","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018011189","2 ","932","W","3","1","0076","3461","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018013710","3 ","2493","W","3","1","0676","0003","55","VINE STREET EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018013714","2 ","1845","E","3","1","0676","0010","55","VINE STREET EX","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018001306","01","","W","3","4","","","25","SUSQUEHANNA AV","ROADWAY_2018_Philadelphia","67301"
"67","District 6-0","Philadelphia","Philadelphia City","2018","2018011955","4 ","2366","S","3","1","0095","0301","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
