"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","CRASH_YEAR","COUNTY","COUNTY_YEAR","DISTRICT_NAME","COUNTY_NAME","MUNICIPALITY_NAME"
"2018015148","1","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018068462","1","0","OK","7","7441HA      ","2025","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018054244","2","0","","8","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018040922","2","0","NJ","7","TTK63F ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018023138","1","0","ZZ","7","99999       ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018064171","1","0","NJ","7","TMU42S ","2022","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2019008280","2","0","GA","7","WIJ739 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018033297","2","0","NJ","7","TCC75Y ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018137988","3","0","TN","7","U704197 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018137988","2","0","WI","7","656771      ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018057498","1","0","NC","7","AC82243 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018018573","2","0","ME","7","B684655 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018018573","1","0","IN","7","P755558 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018025430","1","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018032161","2","0","","8","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018034017","3","0","OH","7","ZC20963 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018130240","2","0","IL","7","618986ST    ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018129890","2","0","FL","7","1045CQ      ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018030370","3","0","TN","7","U744515 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018063939","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018063939","1","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2019076811","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018091097","1","0","NJ","7","632FXD      ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018128747","3","0","IN","7","P827409 ","2010","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018115968","2","0","NJ","7","TPJ94L ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018109296","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018028641","1","0","MX","7","26TLR51090  ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018097316","2","0","KS","7","630889      ","2007","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018097204","1","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018103842","1","0","NS","7","PT67038 ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018046143","1","0","MI","7","D491324 ","2017","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018127976","1","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018059114","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018080642","2","0","WV","7","C26122 ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018072476","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018065586","2","0","PA","7","PT7471R ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018063907","1","0","ZZ","7","99999999999 ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018131294","2","0","PA","2","XDT2146 ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018093718","1","0","TN","7","U012573 ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018095329","1","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018031036","1","0","ZZ","7","99999999999 ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018136501","2","0","","8","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018059050","1","0","ME","7","203164D     ","2029","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018136305","1","0","ZZ","7","999999999999","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018003695","1","0","PA","7","PT4077Z ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018101499","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018098349","2","0","TN","7","U670880 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
