"","c2.geneId","c2.symbol","c2.uniprotId","c0.score","Gene.Name","Gene.ID","Brodmann..1909..area.24","Brodmann..1909..area.9","amygdala","caudate.nucleus","cerebellar.hemisphere","cerebellum","cerebral.cortex","hippocampus.proper","hypothalamus","nucleus.accumbens","pituitary.gland","putamen","substantia.nigra","Human.GeneID","Mouse.GeneID","phenotype.x","genes.x","phenotype.y","genes.y","idgTDL","uniprotId"
"1",5728,"PTEN","P60484",0.501687381843894,"PTEN","ENSG00000171862",6,6,5,5,15,12,5,5,6,5,7,4,5,5728,NA,NA,NA,NA,NA,NA,NA
"2",2332,"FMR1","Q06787",0.497986587311488,"FMR1","ENSG00000102081",7,8,6,5,11,9,6,6,6,5,6,5,6,2332,NA,NA,NA,NA,NA,NA,NA
"3",7249,"TSC2","P49815",0.484106546385879,"TSC2","ENSG00000103197",7,7,6,7,27,35,12,6,7,7,29,6,5,7249,NA,NA,NA,NA,NA,NA,NA
"4",7248,"TSC1","Q92574",0.483007639249027,"TSC1","ENSG00000165699",7,8,5,7,19,19,10,5,6,7,11,6,5,7248,NA,NA,NA,NA,NA,NA,NA
"5",4204,"MECP2","P51608",0.43781639420052,"MECP2","ENSG00000169057",4,5,3,4,10,9,5,3,4,4,6,3,3,4204,NA,NA,NA,NA,NA,NA,NA
"6",4128,"MAOA","P21397",0.414782410458571,"MAOA","ENSG00000189221",8,8,8,9,2,2,7,6,10,9,2,8,10,4128,NA,NA,NA,NA,"MAOA","Tclin","P21397"
"7",7337,"UBE3A","Q05086",0.412924835503709,"UBE3A","ENSG00000114062",5,6,4,4,7,6,5,5,5,5,6,4,4,7337,NA,NA,NA,NA,NA,NA,NA
"8",11141,"IL1RAPL1","Q9NZN1",0.40433011601278,"IL1RAPL1","ENSG00000169306",NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,11141,NA,NA,NA,NA,NA,NA,NA
"9",1717,"DHCR7","Q9UBM7",0.402407028523288,"DHCR7","ENSG00000172893",9,8,8,7,4,5,10,10,12,7,8,7,10,1717,NA,NA,NA,NA,NA,NA,NA
"10",158,"ADSL","P30566",0.401098907136852,"ADSL","ENSG00000239900",3,3,2,3,4,4,3,2,3,3,6,2,2,158,NA,NA,NA,NA,NA,NA,NA
"11",1806,"DPYD","Q12882",0.400274726784213,"DPYD","ENSG00000188641",0.8,0.8,0.9,0.8,NA,NA,0.7,1,1,0.8,3,0.8,2,1806,"Dpyd",NA,"Dpyd","increased vertical activity","DPYD","Tclin","Q12882"
"12",1806,"DPYD","Q12882",0.400274726784213,"DPYD","ENSG00000188641",0.8,0.8,0.9,0.8,NA,NA,0.7,1,1,0.8,3,0.8,2,1806,"Dpyd",NA,"Dpyd","abnormal behavior","DPYD","Tclin","Q12882"
"13",6532,"SLC6A4","P31645",0.34930262387553,"SLC6A4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6532,NA,NA,NA,NA,"SLC6A4","Tclin","P31645"
"14",26047,"CNTNAP2","Q9UHC6",0.304643863935608,"CNTNAP2","ENSG00000174469",8,14,6,4,3,2,11,4,7,4,2,4,6,26047,NA,NA,NA,NA,NA,NA,NA
"15",2562,"GABRB3","P28472",0.302878833538387,"GABRB3","ENSG00000166206",6,9,3,5,6,5,7,5,4,8,6,4,1,2562,NA,NA,NA,NA,"GABRB3","Tclin","P28472"
"16",2020,"EN2","P19622",0.302329379969961,"EN2","ENSG00000164778",NA,NA,NA,NA,26,23,NA,NA,NA,NA,NA,NA,0.8,2020,NA,NA,NA,NA,NA,NA,NA
"17",9378,"NRXN1","P58400;Q9ULB1",0.297631992615327,"NRXN1","ENSG00000179915",7,11,4,4,11,8,8,4,4,4,1,3,2,9378,"Nrxn1",NA,"Nrxn1","abnormal locomotor behavior",NA,NA,NA
"18",9378,"NRXN1","P58400;Q9ULB1",0.297631992615327,"NRXN1","ENSG00000179915",7,11,4,4,11,8,8,4,4,4,1,3,2,9378,"Nrxn1",NA,"Nrxn1","tremors",NA,NA,NA
"19",9378,"NRXN1","P58400;Q9ULB1",0.297631992615327,"NRXN1","ENSG00000179915",7,11,4,4,11,8,8,4,4,4,1,3,2,9378,"Nrxn1",NA,"Nrxn1","decreased grip strength",NA,NA,NA
"20",85358,"SHANK3","Q9BYB0",0.296980224732276,"SHANK3","ENSG00000251322",29,28,23,19,74,91,40,29,11,22,13,19,9,85358,NA,NA,NA,NA,NA,NA,NA
"21",4897,"NRCAM","Q92823",0.286187690967642,"NRCAM","ENSG00000091129",33,40,23,19,17,17,31,22,20,19,17,15,15,4897,"Nrcam",NA,"Nrcam","hypoactivity",NA,NA,NA
"22",4897,"NRCAM","Q92823",0.286187690967642,"NRCAM","ENSG00000091129",33,40,23,19,17,17,31,22,20,19,17,15,15,4897,"Nrcam",NA,"Nrcam","limb grasping",NA,NA,NA
"23",8828,"NRP2","O60462",0.285414667772315,"NRP2","ENSG00000118257",1,1,2,2,NA,NA,1,2,4,2,3,2,2,8828,NA,NA,NA,NA,NA,NA,NA
"24",5080,"PAX6","P26367",0.283231208875927,"PAX6","ENSG00000007372",2,2,2,2,17,16,2,1,1,2,1,2,0.8,5080,NA,NA,NA,NA,NA,NA,NA
"25",2131,"EXT1","Q16394",0.283007639249027,"EXT1","ENSG00000182197",1,2,1,1,2,2,2,1,1,0.9,2,0.8,0.8,2131,NA,NA,NA,NA,NA,NA,NA
"26",1141,"CHRNB2","P17787",0.282732912464814,"CHRNB2","ENSG00000160716",6,8,3,5,5,6,9,5,5,6,3,5,3,1141,NA,NA,NA,NA,"CHRNB2","Tclin","P17787"
"27",93664,"CADPS2","Q86UW7",0.281648360705279,"CADPS2","ENSG00000081803",3,8,2,1,66,45,7,2,4,1,6,1,4,93664,NA,NA,NA,NA,NA,NA,NA
"28",26960,"NBEA","Q8NFP9",0.281098907136852,"NBEA","ENSG00000172915",3,5,2,2,11,10,5,2,3,3,6,2,1,26960,NA,NA,NA,NA,NA,NA,NA
"29",1387,"CREBBP","Q92793",0.280549453568426,"CREBBP","ENSG00000005339",4,4,3,4,11,12,5,3,3,4,7,3,3,1387,NA,NA,NA,NA,NA,NA,NA
"30",152789,"JAKMIP1","Q96N16",0.28,"JAKMIP1","ENSG00000152969",16,20,9,23,3,3,16,13,14,27,5,23,7,152789,NA,NA,NA,NA,NA,NA,NA
"31",5649,"RELN","P78509",0.232791444172737,"RELN","ENSG00000189056",2,2,1,2,57,37,2,2,2,2,NA,1,0.7,5649,NA,NA,NA,NA,NA,NA,NA
