Term,Count,P-Value,Benjamini
cell division,91,7.50E-11,3.70E-07
mitotic nuclear division,63,2.00E-07,4.90E-04
regulation of mRNA stability,34,4.20E-07,6.90E-04
rRNA processing,55,8.60E-07,1.10E-03
anaphase-promoting complex-dependent catabolic process,28,1.10E-06,1.10E-03
regulation of signal transduction by p53 class mediator,37,1.80E-06,1.50E-03
translational initiation,39,3.20E-06,2.30E-03
translation,60,4.30E-06,2.70E-03
RNA splicing,44,5.30E-06,2.90E-03
negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,25,5.40E-06,2.70E-03
