Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,45.500000,45.590000,44.939999,45.330002,45.330002,6092400
2020-01-03,44.520000,45.209999,44.349998,44.980000,44.980000,4704100
2020-01-06,44.849998,45.570000,44.680000,45.349998,45.349998,5768900
2020-01-07,45.119999,45.580002,44.970001,45.400002,45.400002,4298400
2020-01-08,45.599998,46.060001,45.470001,45.639999,45.639999,5071800
2020-01-09,45.959999,46.130001,45.490002,45.709999,45.709999,7225800
2020-01-10,45.950001,46.110001,45.549999,45.669998,45.669998,5491700
2020-01-13,45.650002,45.730000,45.360001,45.470001,45.470001,4877600
2020-01-14,42.410000,42.820000,41.650002,42.660000,42.660000,27589000
2020-01-15,42.810001,42.830002,42.340000,42.570000,42.570000,12805500
2020-01-16,42.709999,43.330002,42.660000,43.200001,43.200001,11654300
2020-01-17,43.200001,44.310001,43.139999,44.279999,44.279999,15909800
2020-01-21,44.180000,44.389999,43.759998,44.070000,44.070000,8590000
2020-01-22,44.410000,44.439999,43.959999,44.049999,44.049999,6515200
2020-01-23,43.919998,44.029999,43.189999,43.570000,43.570000,6366700
2020-01-24,43.599998,43.700001,43.040001,43.209999,43.209999,4022300
2020-01-27,42.500000,43.130001,42.349998,42.650002,42.650002,5672400
2020-01-28,42.750000,43.590000,42.630001,43.450001,43.450001,7223100
2020-01-29,43.630001,44.200001,43.419998,43.950001,43.950001,6629600
2020-01-30,43.500000,43.770000,43.119999,43.410000,43.410000,8792500
2020-01-31,43.290001,43.299999,41.790001,41.869999,41.869999,12425000
2020-02-03,42.169998,42.560001,42.099998,42.230000,42.230000,8763400
2020-02-04,42.830002,43.200001,42.700001,42.880001,42.880001,9126100
2020-02-05,43.049999,43.330002,42.439999,42.619999,42.619999,13227100
2020-02-06,42.599998,43.240002,42.240002,43.009998,43.009998,6994200
2020-02-07,42.750000,42.950001,41.950001,42.189999,42.189999,8381700
2020-02-10,42.020000,42.529999,41.880001,42.220001,42.220001,6151700
2020-02-11,42.320000,42.669998,42.110001,42.570000,42.570000,4861100
2020-02-12,42.610001,42.750000,42.230000,42.230000,42.230000,8374100
2020-02-13,42.169998,42.470001,41.810001,42.180000,42.180000,6406700
2020-02-14,42.270000,42.410000,42.080002,42.310001,42.310001,7289900
2020-02-18,42.250000,42.369999,41.650002,42.160000,42.160000,8024500
2020-02-19,42.310001,43.439999,42.279999,43.020000,43.020000,7412000
2020-02-20,43.020000,43.160000,42.029999,42.500000,42.500000,6123500
2020-02-21,42.259998,42.849998,42.040001,42.619999,42.619999,7282400
2020-02-24,41.480000,41.900002,40.919998,41.080002,41.080002,6536700
2020-02-25,41.150002,41.320000,39.709999,39.910000,39.910000,8745400
2020-02-26,40.369999,40.599998,39.369999,39.389999,39.389999,10062300
2020-02-27,38.619999,39.580002,37.889999,37.919998,37.919998,15338000
2020-02-28,37.090000,37.540001,36.259998,37.389999,37.389999,19870200
2020-03-02,37.599998,38.270000,36.709999,38.270000,38.270000,14333700
2020-03-03,38.299999,39.360001,36.560001,37.230000,37.230000,13875500
2020-03-04,38.049999,38.779999,37.230000,38.750000,38.750000,10112500
2020-03-05,37.990002,37.990002,36.349998,37.459999,37.459999,20434800
2020-03-06,36.139999,37.700001,35.880001,37.599998,37.599998,17949100
2020-03-09,34.919998,35.099998,33.669998,34.090000,34.090000,15378700
2020-03-10,35.919998,35.919998,33.730000,35.180000,35.180000,13372200
2020-03-11,34.169998,34.790001,33.470001,33.860001,33.860001,20113200
2020-03-12,31.629999,33.529999,30.570000,31.000000,31.000000,23545300
2020-03-13,32.540001,32.709999,29.350000,32.330002,32.330002,17420900
2020-03-16,28.719999,29.230000,27.160000,27.549999,27.549999,17232100
2020-03-17,28.100000,29.040001,26.340000,28.790001,28.790001,18097200
2020-03-18,26.980000,27.700001,25.410000,27.240000,27.240000,18167500
2020-03-19,26.740000,28.870001,25.510000,28.270000,28.270000,12088500
2020-03-20,28.629999,28.780001,27.100000,27.240000,27.240000,11222900
2020-03-23,26.900000,27.190001,24.100000,25.830000,25.830000,17190500
2020-03-24,26.809999,28.629999,26.770000,28.219999,28.219999,16752800
2020-03-25,28.120001,31.240000,27.280001,29.920000,29.920000,19681700
2020-03-26,30.309999,31.820000,30.059999,31.420000,31.420000,13137400
2020-03-27,30.320000,31.389999,29.469999,30.610001,30.610001,11232700
2020-03-30,30.770000,31.850000,29.559999,31.639999,31.639999,12192900
2020-03-31,31.540001,33.250000,31.030001,32.630001,32.630001,14174100
2020-04-01,31.620001,31.879999,29.930000,30.190001,30.190001,9990600
2020-04-02,30.010000,31.459999,29.650000,31.049999,31.049999,12401900
2020-04-03,30.820000,31.520000,30.629999,31.170000,31.170000,10895500
2020-04-06,32.910000,33.189999,32.490002,32.880001,32.880001,13647100
2020-04-07,34.330002,35.720001,33.380001,33.689999,33.689999,21342400
2020-04-08,33.990002,35.700001,33.700001,35.130001,35.130001,13608500
2020-04-09,35.250000,37.240002,34.990002,36.830002,36.830002,19098700
2020-04-13,36.580002,36.750000,34.400002,35.209999,35.209999,11990400
2020-04-14,35.810001,36.450001,35.430000,35.919998,35.919998,12337200
2020-04-15,35.189999,35.240002,34.189999,34.790001,34.790001,9994300
2020-04-16,35.029999,35.580002,34.820000,35.450001,35.450001,8086400
2020-04-17,36.650002,38.470001,36.650002,38.290001,38.290001,19998000
2020-04-20,37.820000,38.480000,37.250000,37.250000,37.250000,10392400
2020-04-21,36.189999,36.630001,35.000000,35.049999,35.049999,11514900
2020-04-22,35.529999,35.889999,34.369999,35.490002,35.490002,10398000
2020-04-23,35.889999,36.759998,35.810001,36.400002,36.400002,8425200
2020-04-24,36.779999,37.270000,36.459999,36.900002,36.900002,8100900
2020-04-27,37.180000,37.439999,36.639999,37.000000,37.000000,10040400
2020-04-28,37.419998,37.500000,35.849998,35.930000,35.930000,8984200
2020-04-29,36.799999,37.880001,36.290001,37.430000,37.430000,12659900
2020-04-30,36.880001,37.770000,36.689999,37.480000,37.480000,11143100
2020-05-01,36.950001,36.970001,35.759998,35.990002,35.990002,7484800
2020-05-04,35.709999,36.060001,35.439999,35.830002,35.830002,5631400
2020-05-05,36.060001,37.369999,36.060001,36.810001,36.810001,7002200
2020-05-06,37.000000,37.119999,35.869999,35.889999,35.889999,6826300
2020-05-07,36.549999,37.090000,36.380001,37.000000,37.000000,8829200
2020-05-08,37.500000,38.360001,37.150002,38.180000,38.180000,10191900
2020-05-11,37.860001,38.330002,37.009998,37.779999,37.779999,7992300
2020-05-12,37.910000,37.950001,36.970001,36.980000,36.980000,8027300
2020-05-13,36.849998,36.939999,35.480000,35.770000,35.770000,8053500
2020-05-14,35.320000,35.830002,34.529999,35.500000,35.500000,6564800
2020-05-15,35.279999,35.320000,34.220001,34.830002,34.830002,10291500
2020-05-18,35.759998,36.869999,35.759998,36.419998,36.419998,13687100
2020-05-19,36.389999,36.570000,35.400002,35.430000,35.430000,11366700
2020-05-20,35.919998,37.490002,35.770000,37.180000,37.180000,10708500
2020-05-21,35.520000,36.130001,34.450001,34.790001,34.790001,24248300
2020-05-22,35.570000,36.320000,35.270000,35.910000,35.910000,28426100
2020-05-26,37.029999,37.029999,35.860001,36.189999,36.189999,12272300
2020-05-27,36.360001,37.180000,36.009998,37.139999,37.139999,9472800
2020-05-28,37.450001,37.990002,37.110001,37.470001,37.470001,8924300
2020-05-29,37.680000,38.040001,36.700001,37.990002,37.990002,10062600
2020-06-01,37.709999,38.180000,37.419998,37.500000,37.500000,6174600
2020-06-02,37.619999,37.930000,37.459999,37.540001,37.540001,10371200
2020-06-03,37.750000,38.029999,37.240002,37.910000,37.910000,12471900
2020-06-04,37.840000,37.840000,37.230000,37.419998,37.419998,6797000
2020-06-05,38.150002,39.330002,38.000000,38.830002,38.830002,12623000
2020-06-08,38.680000,39.299999,38.669998,39.110001,39.110001,8499800
