ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
42,PENNSYLVANIA,PA,42001,Adams,42001030101,"Census Tract 301.01, Adams County, Pennsylvania",21.131197208344,2590,23,1125,66,1000,67,208,114,19,16,33177,2777,139,49,440,45,584,56,314,78,31,24,222,125,0,40,0,14,62,38,19,15,8,10,0,10,8.0,4.4,1.4,1.2,33177.0,2777.0,7.4,2.6,17.0,1.7,22.5,2.2,12.1,3.0,3.1,2.4,8.6,4.8,0.0,1.6,0.0,1.3,5.5,3.3,1.9,1.5,0.8,1.0,0.0,0.4,0.3833,0.0307,0.3649,0.4237,1.2026,0.2566,0.4518,0.6735,0.3367,0.1363,1.5983,0.2481,0.3868,0.0,0.3868,0.1914,0.0,0.7718,0.7273,0.0416,0.0,1.5407,0.1976,4.7284,0.1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,65,5.8,2.5,1136
42,PENNSYLVANIA,PA,42001,Adams,42001030102,"Census Tract 301.02, Adams County, Pennsylvania",26.314245900424,5806,17,2313,120,2111,125,282,127,148,90,33653,2566,387,164,806,116,1190,55,714,208,181,98,494,365,0,60,0,21,398,110,47,49,42,42,0,15,4.9,2.2,4.4,2.7,33653.0,2566.0,9.4,4.0,13.9,2.0,20.5,0.9,12.3,3.6,8.6,4.6,8.5,6.3,0.0,1.1,0.0,0.9,17.2,5.1,2.2,2.4,2.0,2.0,0.0,0.3,0.2046,0.3929,0.3509,0.5613,1.5097,0.3487,0.2642,0.4994,0.3536,0.6038,1.721,0.3191,0.384,0.0,0.384,0.1907,0.0,0.9496,0.7633,0.1165,0.0,1.8294,0.2899,5.4441,0.2219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,562,230,9.7,4.0,1879
42,PENNSYLVANIA,PA,42001,Adams,42001030200,"Census Tract 302, Adams County, Pennsylvania",46.75767614125,5430,237,2121,81,1944,93,861,232,209,66,25528,1911,593,135,773,79,1254,102,812,129,92,42,1092,340,331,125,0,21,369,65,58,29,56,28,6,4,15.9,4.1,7.2,2.3,25528.0,1911.0,16.0,3.2,14.2,1.5,23.1,1.6,15.0,2.2,4.7,2.2,20.1,6.2,6.4,2.4,0.0,1.0,17.4,3.0,3.0,1.5,2.9,1.4,0.1,0.1,0.7028,0.7145,0.6836,0.839,2.9399,0.8064,0.2792,0.7145,0.5679,0.2767,1.8383,0.3895,0.6404,0.9284,1.5688,0.8265,0.0,0.9521,0.8487,0.1988,0.3177,2.3173,0.5144,8.6643,0.7533,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,2,528,141,9.7,2.6,5250
42,PENNSYLVANIA,PA,42001,Adams,42001030300,"Census Tract 303, Adams County, Pennsylvania",43.146085369188,4356,171,1733,111,1629,101,303,129,106,51,31723,2851,354,115,639,92,1004,137,326,99,74,36,647,251,122,81,0,14,71,37,32,26,38,29,78,36,7.0,2.9,4.1,2.0,31723.0,2851.0,12.0,3.7,14.7,2.0,23.0,3.0,7.5,2.3,4.5,2.2,14.9,5.8,2.9,2.0,0.0,0.8,4.1,2.1,2.0,1.6,2.3,1.8,1.8,0.8,0.3298,0.3494,0.4169,0.7114,1.8075,0.4524,0.3099,0.707,0.0864,0.2573,1.3606,0.1411,0.5528,0.8365,1.3893,0.7411,0.0,0.7414,0.7417,0.1475,0.7305,2.3611,0.5335,6.9185,0.4749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,142,9.8,3.3,2825
42,PENNSYLVANIA,PA,42001,Adams,42001030400,"Census Tract 304, Adams County, Pennsylvania",68.973619968758,5810,199,2612,194,2341,200,543,243,137,111,31508,3423,533,151,909,215,1208,190,721,195,164,105,684,314,122,84,84,87,303,170,57,37,74,73,138,73,9.5,4.2,4.5,3.6,31508.0,3423.0,12.4,3.5,15.6,3.7,20.8,3.2,12.6,3.4,7.0,4.5,11.8,5.4,2.2,1.5,3.2,3.3,11.6,6.1,2.4,1.6,3.2,3.1,2.4,1.3,0.4681,0.412,0.4238,0.7276,2.0315,0.5273,0.3627,0.5244,0.3786,0.4931,1.7588,0.3389,0.4787,0.783,1.2617,0.6798,0.4819,0.8801,0.7877,0.222,0.7708,3.1425,0.8604,8.1945,0.6865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,200,7.8,3.4,3283
42,PENNSYLVANIA,PA,42001,Adams,42001030500,"Census Tract 305, Adams County, Pennsylvania",24.612941877806,3796,167,1572,84,1474,74,390,142,42,28,31678,2603,396,82,718,71,728,84,579,91,154,57,668,241,134,89,31,25,158,57,38,29,38,31,4,9,10.3,3.8,2.0,1.3,31678.0,2603.0,14.5,2.9,18.9,1.9,19.2,2.0,15.3,2.5,10.4,3.9,17.6,6.3,3.7,2.5,2.0,1.6,10.1,3.8,2.6,2.0,2.6,2.1,0.1,0.2,0.5088,0.0751,0.4191,0.7999,1.8029,0.4505,0.5844,0.3759,0.5939,0.7083,2.2625,0.6568,0.6004,0.8718,1.4722,0.7824,0.4062,0.8572,0.8114,0.1763,0.3177,2.5688,0.6337,8.1064,0.6718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,143,9.9,3.6,4048
42,PENNSYLVANIA,PA,42001,Adams,42001030600,"Census Tract 306, Adams County, Pennsylvania",34.298862287564,4955,19,1797,148,1752,136,572,259,175,81,28114,2455,593,139,1182,164,852,150,872,141,135,74,565,218,81,98,55,40,154,61,23,39,26,23,560,176,12.9,5.8,7.9,3.7,28114.0,2455.0,15.6,4.0,23.9,3.3,17.2,3.0,19.7,3.1,7.7,4.2,11.4,4.4,1.7,2.1,3.1,2.3,8.6,3.3,1.3,2.2,1.5,1.3,11.3,3.6,0.6117,0.7671,0.5709,0.8283,2.778,0.7622,0.8734,0.2233,0.8382,0.5419,2.4768,0.7741,0.469,0.727,1.196,0.6373,0.4775,0.8338,0.616,0.0845,0.9343,2.9461,0.7996,9.3969,0.837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,159,91,3.6,2.0,7070
42,PENNSYLVANIA,PA,42001,Adams,42001030700,"Census Tract 307, Adams County, Pennsylvania",31.377897182228,6462,239,2658,173,2552,166,514,265,163,73,31249,2635,454,167,1108,137,1555,125,825,217,181,94,420,349,35,69,12,10,264,75,40,37,135,101,0,15,8.0,4.1,4.9,2.1,31249.0,2635.0,10.0,3.6,17.1,1.9,24.1,1.7,12.8,3.2,7.1,3.7,6.5,5.4,0.6,1.2,0.5,0.4,9.9,2.8,1.6,1.5,5.3,3.8,0.0,0.2,0.3833,0.4709,0.4363,0.6044,1.8949,0.4815,0.46,0.773,0.3924,0.5,2.1254,0.5745,0.3077,0.49,0.7977,0.4146,0.2511,0.8525,0.6767,0.3951,0.0,2.1754,0.4433,6.9934,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,162,4.5,2.5,2222
42,PENNSYLVANIA,PA,42001,Adams,42001030800,"Census Tract 308, Adams County, Pennsylvania",22.442981456058,7292,239,3054,135,2850,124,652,176,155,43,32324,1939,681,104,1333,72,1509,136,1028,104,207,57,530,338,53,61,18,17,420,64,30,31,78,34,6,3,9.0,2.4,3.8,1.1,32324.0,1939.0,13.2,2.0,18.3,1.0,20.7,1.7,14.1,1.5,7.3,2.0,7.3,4.6,0.8,0.9,0.6,0.6,13.8,2.0,1.1,1.1,2.7,1.2,0.1,0.0,0.439,0.2996,0.3912,0.7545,1.8843,0.4759,0.5372,0.5172,0.4928,0.5144,2.0616,0.5257,0.3449,0.5594,0.9043,0.4687,0.2695,0.913,0.5654,0.1838,0.3177,2.2494,0.4806,7.0996,0.5078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,347,113,4.8,1.6,4991
42,PENNSYLVANIA,PA,42001,Adams,42001030900,"Census Tract 309, Adams County, Pennsylvania",10.195342230252,7649,270,3243,143,2967,179,713,268,99,51,27422,2459,731,155,1927,153,1737,169,1144,238,250,89,950,366,138,114,141,56,80,39,21,21,239,111,281,106,9.7,3.5,2.9,1.4,27422.0,2459.0,13.4,2.8,25.2,2.0,22.7,2.1,15.5,3.2,8.4,3.0,12.4,4.8,1.9,1.6,4.3,1.7,2.5,1.2,0.7,0.7,8.1,3.7,3.7,1.4,0.479,0.1644,0.5975,0.7642,2.0051,0.5185,0.9087,0.6907,0.6101,0.591,2.8005,0.9143,0.4897,0.7536,1.2433,0.6676,0.531,0.6885,0.4412,0.5451,0.8361,3.0419,0.8325,9.0908,0.8094,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,391,113,5.3,1.5,9710
42,PENNSYLVANIA,PA,42001,Adams,42001031000,"Census Tract 310, Adams County, Pennsylvania",3.072827902282,1867,122,713,45,673,50,144,84,27,24,25372,2713,150,82,307,36,441,52,228,78,53,26,64,181,51,79,0,14,0,10,0,14,29,20,8,13,7.7,4.4,2.8,2.5,25372.0,2713.0,11.2,6.0,16.4,2.0,23.6,2.3,12.2,3.9,7.9,3.9,3.4,9.7,2.9,4.6,0.0,2.0,0.0,3.4,0.0,2.1,4.3,2.9,0.4,0.7,0.3686,0.1512,0.6911,0.6739,1.8848,0.4768,0.4099,0.7448,0.3461,0.5588,2.0596,0.5241,0.1498,0.8365,0.9863,0.5169,0.0,0.0,0.0,0.3181,0.5244,0.8425,0.0551,5.7732,0.2668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,63,6.6,3.3,1412
42,PENNSYLVANIA,PA,42001,Adams,42001031101,"Census Tract 311.01, Adams County, Pennsylvania",1.173114556108,5040,248,2331,124,2269,127,392,129,216,119,24489,2702,375,148,1010,111,1070,116,635,171,172,90,306,387,11,61,68,42,12,21,15,28,208,101,14,33,7.8,2.5,7.7,4.1,24489.0,2702.0,10.5,4.3,20.0,2.2,21.2,2.1,12.6,3.3,7.6,4.0,6.1,7.7,0.2,1.3,2.9,1.8,0.5,0.9,0.7,1.2,9.2,4.4,0.3,0.7,0.3748,0.7561,0.7258,0.6298,2.4865,0.6779,0.6632,0.5629,0.3786,0.5347,2.1394,0.5832,0.2905,0.2952,0.5857,0.2992,0.4637,0.4944,0.4412,0.5827,0.4794,2.4614,0.5817,7.673,0.6063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,172,6.6,3.4,4929
