Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2018),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate
Adams,03/01/2020,0,,0,102811,0,,0
Adams,03/02/2020,0,,0,102811,0,,0
Adams,03/03/2020,0,,0,102811,0,,0
Adams,03/04/2020,0,,0,102811,0,,0
Adams,03/05/2020,0,,0,102811,0,,0
Adams,03/06/2020,0,,0,102811,0,,0
Adams,03/07/2020,0,,0,102811,0,,0
Adams,03/08/2020,0,0,0,102811,0,0,0
Adams,03/09/2020,0,0,0,102811,0,0,0
Adams,03/10/2020,0,0,0,102811,0,0,0
Adams,03/11/2020,0,0,0,102811,0,0,0
Adams,03/12/2020,0,0,0,102811,0,0,0
Adams,03/13/2020,0,0,0,102811,0,0,0
Adams,03/14/2020,0,0,0,102811,0,0,0
Adams,03/15/2020,0,0,0,102811,0,0,0
Adams,03/16/2020,0,0,0,102811,0,0,0
Adams,03/17/2020,0,0,0,102811,0,0,0
Philadelphia,10/23/2020,340,269,37362,1584138,21.5,17,2358.5
Lycoming,05/14/2020,1,4.4,154,113664,0.9,3.9,135.5
Wyoming,04/25/2020,0,0.1,19,27046,0,0.5,70.3
Luzerne,09/27/2020,14,12.7,4129,317646,4.4,4,1299.9
Fulton,06/07/2020,0,0.1,16,14523,0,1,110.2
Cumberland,04/22/2020,21,13.9,247,251423,8.4,5.5,98.2
Cambria,04/16/2020,0,0.4,14,131730,0,0.3,10.6
Wyoming,03/28/2020,0,0,1,27046,0,0,3.7
York,11/21/2020,452,231,9686,448273,100.8,51.5,2160.7
Schuylkill,06/25/2020,6,4.6,740,142067,4.2,3.2,520.9
York,08/02/2020,24,23.9,2354,448273,5.4,5.3,525.1
Lycoming,04/20/2020,0,2,48,113664,0,1.8,42.2
Greene,06/17/2020,0,0.4,34,36506,0,1.2,93.1
Northampton,11/27/2020,196,174,8916,304807,64.3,57.1,2925.1
Wyoming,09/07/2020,0,0.4,72,27046,0,1.6,266.2
Warren,04/23/2020,0,0,1,39498,0,0,2.5
Allegheny,11/20/2020,585,519.7,23142,1218452,48,42.7,1899.3
Allegheny,06/27/2020,103,57.6,2602,1218452,8.5,4.7,213.5
Armstrong,10/27/2020,7,15.6,701,65263,10.7,23.9,1074.1
Clinton,05/13/2020,1,1,44,38684,2.6,2.6,113.7
Mifflin,04/21/2020,1,1.3,23,46222,2.2,2.8,49.8
Butler,10/25/2020,18,30.3,1634,187888,9.6,16.1,869.7
Huntingdon,11/05/2020,19,23.4,1169,45168,42.1,51.9,2588.1
Delaware,05/23/2020,53,69.3,6248,564751,9.4,12.3,1106.3
Bucks,07/01/2020,23,22.4,5867,628195,3.7,3.6,933.9
Clearfield,05/15/2020,0,0.7,35,79388,0,0.9,44.1
Montour,06/28/2020,1,0.7,73,18240,5.5,3.9,400.2
Wayne,07/21/2020,0,0.9,148,51276,0,1.7,288.6
Bradford,09/01/2020,0,0.3,103,60833,0,0.5,169.3
Allegheny,06/24/2020,39,29.1,2349,1218452,3.2,2.4,192.8
Potter,09/08/2020,0,0,25,16622,0,0,150.4
Lycoming,10/28/2020,12,10,983,113664,10.6,8.8,864.8
Allegheny,04/30/2020,24,17.6,1380,1218452,2,1.4,113.3
Schuylkill,04/24/2020,11,8.3,327,142067,7.7,5.8,230.2
Lancaster,06/18/2020,44,31.7,3922,543557,8.1,5.8,721.5
Fayette,11/02/2020,13,13,1101,130441,10,10,844.1
York,04/12/2020,22,20.3,353,448273,4.9,4.5,78.7
Clinton,06/13/2020,0,0.4,63,38684,0,1.1,162.9
Delaware,07/19/2020,40,47.3,7937,564751,7.1,8.4,1405.4
Bucks,06/08/2020,22,27.6,5384,628195,3.5,4.4,857.1
Centre,11/22/2020,51,83.6,5757,162805,31.3,51.3,3536.1
Forest,07/30/2020,0,0.3,9,7279,0,3.9,123.6
Fulton,05/15/2020,0,0.6,12,14523,0,3.9,82.6
Clarion,06/24/2020,1,0.3,34,38779,2.6,0.7,87.7
Bucks,04/06/2020,73,67,804,628195,11.6,10.7,128
Columbia,04/11/2020,6,12.1,113,65456,9.2,18.6,172.6
Snyder,07/23/2020,2,1.6,89,40540,4.9,3.9,219.5
Fayette,10/29/2020,16,11,1054,130441,12.3,8.4,808
Venango,07/09/2020,0,1.4,33,51266,0,2.8,64.4
York,05/18/2020,7,9.4,876,448273,1.6,2.1,195.4
Clarion,11/06/2020,19,11.1,320,38779,49,28.7,825.2
Delaware,05/28/2020,29,37.9,6412,564751,5.1,6.7,1135.4
Lancaster,11/23/2020,261,290.9,14693,543557,48,53.5,2703.1
Lehigh,04/07/2020,189,137.4,1392,368100,51.3,37.3,378.2
Indiana,11/15/2020,58,50.7,1837,84501,68.6,60,2173.9
Jefferson,10/21/2020,4,1.6,154,43641,9.2,3.6,352.9
Fayette,03/28/2020,0,1.7,13,130441,0,1.3,10
Lancaster,11/06/2020,144,119.1,10724,543557,26.5,21.9,1972.9
Allegheny,09/18/2020,82,77.3,11668,1218452,6.7,6.3,957.6
Franklin,04/14/2020,9,5.7,88,154835,5.8,3.7,56.8
Chester,04/15/2020,40,39.7,753,522046,7.7,7.6,144.2
Union,09/19/2020,0,2.9,448,44785,0,6.4,1000.3
Westmoreland,11/19/2020,196,189.9,7106,350611,55.9,54.2,2026.7
York,09/15/2020,81,61.6,4338,448273,18.1,13.7,967.7
Erie,05/22/2020,17,10.7,217,272061,6.2,3.9,79.8
Berks,08/09/2020,25,26.9,5411,420152,6,6.4,1287.9
Cameron,05/07/2020,0,0.1,2,4492,0,3.2,44.5
Clarion,08/18/2020,0,0.7,92,38779,0,1.8,237.2
Clinton,10/13/2020,4,2,235,38684,10.3,5.2,607.5
Allegheny,10/13/2020,104,91.9,13551,1218452,8.5,7.5,1112.1
Westmoreland,07/13/2020,22,24.1,1043,350611,6.3,6.9,297.5
Bedford,04/13/2020,0,0.3,5,48176,0,0.6,10.4
Forest,06/23/2020,0,0,7,7279,0,0,96.2
Franklin,11/04/2020,33,40.1,2505,154835,21.3,25.9,1617.9
Clinton,06/04/2020,0,0.7,60,38684,0,1.8,155.1
Philadelphia,05/02/2020,212,281.3,13254,1584138,13.4,17.8,836.7
Philadelphia,06/09/2020,105,103.3,19303,1584138,6.6,6.5,1218.5
Fayette,09/07/2020,0,2.6,721,130441,0,2,552.7
Lancaster,06/01/2020,30,29.9,3226,543557,5.5,5.5,593.5
Delaware,08/10/2020,71,55.3,9382,564751,12.6,9.8,1661.3
Warren,06/15/2020,0,0,5,39498,0,0,12.7
Washington,04/19/2020,1,2,87,207346,0.5,1,42
Cumberland,08/22/2020,6,10.7,1457,251423,2.4,4.3,579.5
Snyder,06/21/2020,0,0.1,63,40540,0,0.4,155.4
Lawrence,07/03/2020,4,1.9,117,86184,4.6,2.2,135.8
Chester,11/25/2020,258,177.3,11650,522046,49.4,34,2231.6
Greene,05/24/2020,0,0,28,36506,0,0,76.7
Philadelphia,07/29/2020,142,166.7,25498,1584138,9,10.5,1609.6
Bedford,06/09/2020,0,0.6,47,48176,0,1.2,97.6
Snyder,06/03/2020,6,1.7,53,40540,14.8,4.2,130.7
Elk,08/11/2020,4,1.1,58,30169,13.3,3.8,192.3
York,10/04/2020,21,39.9,5130,448273,4.7,8.9,1144.4
Union,10/27/2020,3,8,703,44785,6.7,17.9,1569.7
Bucks,09/24/2020,32,38.1,8728,628195,5.1,6.1,1389.4
Lehigh,11/25/2020,230,212.6,10686,368100,62.5,57.7,2903
Centre,07/01/2020,6,2.1,214,162805,3.7,1.3,131.4
York,06/12/2020,16,13.7,1168,448273,3.6,3.1,260.6
Philadelphia,06/12/2020,106,106.4,19669,1584138,6.7,6.7,1241.6
Luzerne,09/15/2020,20,11.1,3996,317646,6.3,3.5,1258
Delaware,05/06/2020,131,113.7,4719,564751,23.2,20.1,835.6
Susquehanna,06/14/2020,1,2.4,172,40589,2.5,6,423.8
Union,10/22/2020,13,5.9,672,44785,29,13.1,1500.5
Crawford,05/25/2020,0,0.1,25,85063,0,0.2,29.4
Cameron,09/16/2020,0,0,8,4492,0,0,178.1
Westmoreland,06/03/2020,1,1.7,459,350611,0.3,0.5,130.9
Bedford,06/05/2020,0,0.6,45,48176,0,1.2,93.4
Wayne,06/05/2020,1,0.6,124,51276,2,1.1,241.8
Snyder,11/16/2020,52,23.3,764,40540,128.3,57.4,1884.6
Crawford,05/11/2020,0,0.3,24,85063,0,0.3,28.2
Bucks,11/16/2020,217,265,13565,628195,34.5,42.2,2159.4
Washington,11/03/2020,48,42,2281,207346,23.1,20.3,1100.1
Clearfield,07/11/2020,5,2.3,94,79388,6.3,2.9,118.4
Warren,12/01/2020,29,19.9,333,39498,73.4,50.3,843.1
Potter,06/18/2020,0,0,13,16622,0,0,78.2
Pennsylvania,11/02/2020,2737,2363.7,215334,12807060,21.4,18.5,1681.4
Clinton,09/20/2020,8,3.7,201,38684,20.7,9.6,519.6
Dauphin,03/27/2020,8,4,28,277097,2.9,1.4,10.1
Lawrence,09/19/2020,2,2.3,502,86184,2.3,2.7,582.5
Montour,09/17/2020,0,0.7,162,18240,0,3.9,888.2
Delaware,08/23/2020,27,49.1,10112,564751,4.8,8.7,1790.5
Philadelphia,05/01/2020,421,290.3,13042,1584138,26.6,18.3,823.3
Centre,09/29/2020,35,90.4,2762,162805,21.5,55.5,1696.5
Bedford,09/04/2020,1,1.3,179,48176,2.1,2.7,371.6
Blair,07/14/2020,6,3,111,122492,4.9,2.4,90.6
Cameron,05/22/2020,0,0,2,4492,0,0,44.5
Columbia,09/17/2020,6,2.9,866,65456,9.2,4.4,1323
Lebanon,11/18/2020,76,72.9,4369,141314,53.8,51.6,3091.7
Venango,07/13/2020,8,2.9,47,51266,15.6,5.6,91.7
Cameron,06/10/2020,0,0,2,4492,0,0,44.5
Carbon,11/20/2020,19,23.6,1032,64227,29.6,36.7,1606.8
Union,08/10/2020,20,9.3,255,44785,44.7,20.7,569.4
Blair,05/11/2020,1,0.7,34,122492,0.8,0.6,27.8
Beaver,06/22/2020,6,2.4,638,164742,3.6,1.5,387.3
Mckean,05/03/2020,0,0.1,9,40968,0,0.3,22
Lawrence,03/25/2020,3,0.4,3,86184,3.5,0.5,3.5
Adams,06/21/2020,3,3,318,102811,2.9,2.9,309.3
Westmoreland,07/07/2020,28,31.7,902,350611,8,9,257.3
Adams,03/26/2020,1,0.6,8,102811,1,0.6,7.8
Elk,09/18/2020,0,0,70,30169,0,0,232
Berks,08/22/2020,31,31.4,5817,420152,7.4,7.5,1384.5
Pennsylvania,10/08/2020,1404,1142,169700,12807060,11,8.9,1325.1
Cumberland,10/17/2020,21,21.4,2251,251423,8.4,8.5,895.3
Snyder,08/17/2020,2,2.6,132,40540,4.9,6.3,325.6
Fayette,04/03/2020,3,2,27,130441,2.3,1.5,20.7
Pennsylvania,11/29/2020,4386,6580.1,361938,12807060,34.2,51.4,2826.1
Bradford,11/30/2020,91,34.4,1950,60833,149.6,56.6,3205.5
Wayne,11/29/2020,11,18,539,51276,21.5,35.1,1051.2
Wayne,06/23/2020,0,0.6,131,51276,0,1.1,255.5
Lehigh,03/22/2020,11,4.6,32,368100,3,1.2,8.7
Susquehanna,06/03/2020,12,3.1,124,40589,29.6,7.7,305.5
Clarion,07/20/2020,1,0.7,72,38779,2.6,1.8,185.7
Jefferson,06/04/2020,1,1.1,17,43641,2.3,2.6,39
York,09/22/2020,44,38.3,4606,448273,9.8,8.5,1027.5
Columbia,04/16/2020,20,12.6,173,65456,30.6,19.2,264.3
Carbon,05/15/2020,4,2.3,217,64227,6.2,3.6,337.9
Carbon,05/27/2020,0,1.4,233,64227,0,2.2,362.8
Columbia,11/29/2020,3,16.6,1484,65456,4.6,25.3,2267.2
Susquehanna,11/05/2020,3,5.4,451,40589,7.4,13.4,1111.1
Somerset,11/14/2020,33,47.1,903,73952,44.6,63.7,1221.1
Fulton,10/08/2020,0,0.7,56,14523,0,4.9,385.6
Potter,08/27/2020,0,0.3,24,16622,0,1.7,144.4
Indiana,08/03/2020,4,6.6,279,84501,4.7,7.8,330.2
Chester,08/16/2020,20,30.4,5336,522046,3.8,5.8,1022.1
Elk,10/28/2020,4,5.1,174,30169,13.3,17,576.8
Carbon,08/13/2020,3,2,382,64227,4.7,3.1,594.8
Clearfield,04/19/2020,0,0.3,16,79388,0,0.4,20.2
Beaver,03/21/2020,1,1.1,8,164742,0.6,0.7,4.9
Wyoming,03/19/2020,0,0.1,1,27046,0,0.5,3.7
Mercer,05/18/2020,2,2.6,98,110683,1.8,2.3,88.5
Pennsylvania,04/16/2020,1766,1373.4,30938,12807060,13.8,10.7,241.6
Huntingdon,11/30/2020,27,23.1,1768,45168,59.8,51.2,3914.3
Armstrong,07/29/2020,4,6.3,178,65263,6.1,9.6,272.7
Berks,09/21/2020,42,36.6,6911,420152,10,8.7,1644.9
Cameron,07/27/2020,0,0,5,4492,0,0,111.3
Mercer,11/19/2020,56,68.6,2195,110683,50.6,62,1983.1
Montgomery,07/20/2020,43,43.7,9289,828604,5.2,5.3,1121
Franklin,06/27/2020,2,5.1,919,154835,1.3,3.3,593.5
Fulton,10/16/2020,0,0.4,61,14523,0,3,420
Columbia,10/10/2020,4,6.6,1005,65456,6.1,10,1535.4
Fayette,04/20/2020,2,1.4,76,130441,1.5,1.1,58.3
