Gene_name,BMI_1,BMI_3,foldchange,ANOVA
43891_22497,7.567243544,7.647580106,-0.080336561,0.527078689
43891_22499,8.461748892,8.555140111,-0.093391219,0.239720086
43892_22498,9.082819936,9.42661089,-0.343790954,0.014696269
43892_22502,10.02461463,10.02618902,-0.001574389,0.974391828
43893_22503,6.856447085,6.889761383,-0.033314298,0.774415912
43894_22504,1.33537148,1.283796159,0.051575322,0.687930286
43895_22505,10.13887272,10.20816011,-0.069287394,0.117659523
43896_22506,13.79514033,13.79724128,-0.002100948,0.96534908
43897_22507,12.03905981,12.09100771,-0.0519479,0.251330784
43898_22508,12.69873744,12.6516292,0.047108237,0.325802715
43899_22509,10.52577303,10.5043345,0.021438527,0.729726206
43900_22500,1.119681185,1.219411396,-0.099730211,0.605499019
43901_22501,2.870531466,2.788025753,0.082505713,0.708577505
44075_49605,10.90911523,10.83615819,0.07295704,0.531496582
44076_49623,14.02131656,14.00061304,0.020703521,0.559567258
44077_49625,6.861939139,7.142636392,-0.280697253,0.133333096
44078_49626,6.80171383,6.816101922,-0.014388091,0.860819963
44079_49628,6.329521188,6.040655984,0.288865204,0.095989412
44080_49629,12.50069405,12.63720012,-0.136506073,0.152908569
44081_49630,12.28995923,12.3490882,-0.059128966,0.154166703
44082_49641,10.12121927,9.906794497,0.214424776,0.097905587
44083_49642,12.02571539,12.20160321,-0.175887814,0.208361866
44084_49606,11.16374506,11.3548632,-0.19111814,0.26896323
44085_49608,10.03786571,10.103469,-0.065603293,0.55915723
44086_49609,1.68568149,1.698060167,-0.012378677,0.886046631
44088_49610,7.03110017,7.146696687,-0.115596517,0.03827081
44089_49593,12.96185124,12.97840968,-0.016558448,0.793165752
44166_13201,6.073054894,6.061635789,0.011419105,0.82212698
5_8S_rRNA_1,0.026730983,0.064470046,-0.037739063,0.11153068
5S_rRNA_2,4.848272454,4.740790759,0.107481695,0.291280085
7SK_3,1.631050157,1.903477506,-0.272427348,0.018289867
A1BG_4,8.211932583,8.356223389,-0.144290806,0.369413595
A1BG-AS1_5,6.891209081,7.165129222,-0.273920142,0.181689183
A1CF_6,6.094216009,6.098130207,-0.003914198,0.920544512
A2M_7,8.521289575,8.332387605,0.18890197,0.415841093
A2M-AS1_8,2.808393952,2.87418834,-0.065794387,0.7027369
A2ML1_9,4.90710819,4.952041673,-0.044933483,0.235314479
A2ML1-AS1_10,0.103863759,0.077332099,0.02653166,0.413142669
A2ML1-AS2_11,0.705543743,0.622006755,0.083536988,0.283332576
A2MP1_12,2.10817463,2.138901292,-0.030726662,0.836621432
A3GALT2_13,1.869946025,1.912136288,-0.042190263,0.697101893
A4GALT_14,3.495479508,4.004510719,-0.509031211,0.052042565
A4GNT_15,0.311349336,0.266798558,0.044550778,0.554253838
AA06_16,0,0.006158721,-0.006158721,0.382428906
AAAS_17,11.11013513,11.15357264,-0.043437512,0.307407447
AACS_18,10.32845287,10.34901019,-0.020557324,0.667314699
AACSP1_19,4.865115519,4.851928272,0.013187247,0.915402228
AADAC_20,0.026192276,0.025386964,0.000805312,0.977431515
AADACL2_21,3.125801663,3.10615156,0.019650103,0.794792988
AADACL2-AS1_22,1.51710958,1.490242463,0.026867117,0.667779896
AADACL3_23,2.504266011,2.455674235,0.048591776,0.701765735
AADACL4_24,0,0.022280563,-0.022280563,0.246370064
AADACP1_25,0.357081855,0.249617112,0.107464743,0.189341961
AADAT_26,3.975654263,3.93606968,0.039584584,0.546225776
AAED1_27,9.941856538,9.911006268,0.03085027,0.697422786
AAGAB_28,11.29806237,11.25949532,0.038567046,0.359281702
AAK1_29,10.30681245,10.26937615,0.037436307,0.556504558
AAMDC_30,8.179905369,8.184811309,-0.004905941,0.945392941
AAMP_31,11.95865618,11.89802443,0.060631759,0.091790301
