SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,53,001,Washington,Adams County,1,18728,9544,9184,2015,1071,944,3135,1589,1546,1362,729,633,1871,1008,863,12917,6541,6376,12216,6155,6061,7607,3950,3657,4697,2379,2318,3733,1842,1891,1915,926,989,2015,1071,944,1811,924,887,1647,831,816,1649,907,742,1261,664,597,1242,612,630,1256,627,629,1144,587,557,1055,553,502,1037,520,517,1003,488,515,957,489,468,736,345,391,599,328,271,449,220,229,336,157,179,267,132,135,264,89,175,29.0,28.0,29.8
050,53,001,Washington,Adams County,2,18731,9545,9186,2015,1071,944,3136,1589,1547,1362,729,633,1872,1009,863,12919,6542,6377,12218,6156,6062,7609,3951,3658,4698,2379,2319,3733,1842,1891,1915,926,989,2015,1071,944,1811,924,887,1648,831,817,1649,907,742,1262,665,597,1242,612,630,1256,627,629,1145,587,558,1055,553,502,1037,520,517,1003,488,515,957,489,468,736,345,391,599,328,271,449,220,229,336,157,179,267,132,135,264,89,175,29.0,28.0,29.8
050,53,001,Washington,Adams County,3,18790,9582,9208,2070,1100,970,3169,1614,1555,1348,721,627,1872,1011,861,12902,6530,6372,12203,6147,6056,7601,3943,3658,4696,2375,2321,3734,1849,1885,1901,912,989,2070,1100,970,1828,941,887,1656,837,819,1644,900,744,1261,668,593,1237,614,623,1251,616,635,1147,591,556,1061,554,507,1032,519,513,995,491,504,972,491,481,735,348,387,597,323,274,442,213,229,331,153,178,267,132,135,264,91,173,28.8,27.7,29.8
050,53,001,Washington,Adams County,4,18877,9627,9250,2090,1101,989,3235,1642,1593,1318,699,619,1877,1026,851,12926,6558,6368,12234,6185,6049,7582,3941,3641,4695,2376,2319,3759,1870,1889,1903,913,990,2090,1101,989,1853,960,893,1690,842,848,1642,892,750,1245,673,572,1198,606,592,1230,589,641,1170,613,557,1097,568,529,1016,521,495,958,477,481,1003,492,511,782,380,402,597,317,280,446,210,236,327,157,170,261,130,131,272,99,173,28.9,27.8,29.9
050,53,001,Washington,Adams County,5,18944,9649,9295,2087,1084,1003,3261,1664,1597,1293,675,618,1912,1035,877,12947,6574,6373,12303,6226,6077,7515,3899,3616,4644,2351,2293,3769,1882,1887,1978,958,1020,2087,1084,1003,1898,986,912,1697,840,857,1565,853,712,1306,695,611,1120,568,552,1219,576,643,1197,640,557,1108,567,541,993,514,479,969,485,484,994,491,503,813,392,421,655,340,315,459,223,236,336,163,173,264,128,136,264,104,160,29.0,28.2,30.0
050,53,001,Washington,Adams County,6,19098,9726,9372,2099,1103,996,3301,1701,1600,1310,655,655,1943,1044,899,13024,6598,6426,12388,6267,6121,7556,3890,3666,4640,2354,2286,3810,1913,1897,1995,956,1039,2099,1103,996,1942,1028,914,1696,836,860,1586,829,757,1330,707,623,1142,598,544,1200,574,626,1183,600,583,1115,582,533,991,505,486,987,495,492,1001,503,498,831,410,421,675,341,334,471,237,234,335,156,179,249,119,130,265,103,162,28.9,27.9,29.9
050,53,001,Washington,Adams County,7,19177,9765,9412,2063,1066,997,3377,1765,1612,1336,650,686,1993,1076,917,13057,6614,6443,12401,6284,6117,7525,3849,3676,4534,2284,2250,3861,1944,1917,2013,980,1033,2063,1066,997,2002,1067,935,1713,859,854,1573,801,772,1418,764,654,1137,589,548,1169,568,601,1173,583,590,1055,544,511,996,512,484,995,504,491,983,484,499,887,444,443,664,329,335,483,257,226,351,169,182,249,107,142,266,118,148,28.6,27.7,29.6
050,53,001,Washington,Adams County,8,19233,9825,9408,2011,1040,971,3450,1812,1638,1343,646,697,2002,1088,914,13113,6656,6457,12429,6327,6102,7542,3870,3672,4521,2293,2228,3882,1969,1913,2024,977,1047,2011,1040,971,2035,1079,956,1739,890,849,1587,795,792,1434,782,652,1152,605,547,1195,595,600,1154,587,567,1020,506,514,1004,534,470,992,503,489,959,472,487,927,460,467,663,318,345,502,263,239,359,177,182,244,103,141,256,116,140,28.6,27.8,29.4
050,53,001,Washington,Adams County,9,19369,9864,9505,1949,977,972,3600,1902,1698,1320,634,686,2042,1096,946,13172,6670,6502,12500,6351,6149,7544,3871,3673,4507,2302,2205,3879,1959,1920,2072,994,1078,1949,977,972,2111,1131,980,1814,932,882,1598,789,809,1439,780,659,1169,614,555,1156,606,550,1136,556,580,1046,526,520,1035,546,489,980,514,466,931,447,484,933,452,481,714,337,377,501,254,247,358,181,177,237,101,136,262,121,141,28.2,27.5,29.0
050,53,001,Washington,Adams County,10,19651,9978,9673,1942,935,1007,3674,1929,1745,1374,681,693,2030,1083,947,13332,6762,6570,12661,6433,6228,7681,3959,3722,4650,2383,2267,3856,1941,1915,2125,1026,1099,1942,935,1007,2142,1122,1020,1905,995,910,1618,807,811,1413,769,644,1230,631,599,1204,650,554,1124,545,579,1092,557,535,1011,517,494,966,510,456,946,460,486,933,454,479,725,348,377,556,278,278,350,174,176,244,109,135,250,117,133,28.1,27.6,28.6
