"State","Condition","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,Preventive Care,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,85,,10/01/2019,03/31/2020
AK,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,129,"25, 26",10/01/2019,09/30/2020
AK,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),Not Available,"25, 26",10/01/2019,09/30/2020
AK,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),134,"25, 26",10/01/2019,09/30/2020
AK,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),121,"25, 26",10/01/2019,09/30/2020
AK,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),141,"25, 26",10/01/2019,09/30/2020
AK,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,172,25,10/01/2019,09/30/2020
AK,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),Not Available,25,10/01/2019,09/30/2020
AK,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),133,25,10/01/2019,09/30/2020
AK,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),178,25,10/01/2019,09/30/2020
AK,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),208,25,10/01/2019,09/30/2020
AK,Heart Attack or Chest Pain,OP_2,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,68,"25, 26",10/01/2019,09/30/2020
AK,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,1,"25, 26",01/01/2019,12/31/2019
AK,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,69,25,10/01/2019,09/30/2020
AK,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,89,26,01/01/2019,12/31/2019
AK,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,Not Available,5,01/01/2019,12/31/2019
AK,Cancer care,OP_33,Percentage of patients receiving appropriate radiation therapy for cancer that has spread to the bone Higher percentages are better,75,26,01/01/2019,12/31/2019
AK,Heart Attack or Chest Pain,OP_3b,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,136,"25, 26",10/01/2019,09/30/2020
AK,Pregnancy and Delivery Care,PC_01,"Percent of mothers whose deliveries were scheduled too early (1-2 weeks early), when a scheduled delivery was not medically necessaryLower percentages are better",4,26,10/01/2019,09/30/2020
AK,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,55,26,10/01/2019,09/30/2020
AK,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,85,26,10/01/2019,09/30/2020
AK,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,75,26,10/01/2019,09/30/2020
AK,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,77,26,10/01/2019,09/30/2020
AK,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,87,26,10/01/2019,09/30/2020
AL,Preventive Care,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,90,,10/01/2019,03/31/2020
AL,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,132,"25, 26",10/01/2019,09/30/2020
AL,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),170,"25, 26",10/01/2019,09/30/2020
AL,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),113,"25, 26",10/01/2019,09/30/2020
AL,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),139,"25, 26",10/01/2019,09/30/2020
