CHOP honest brokered variables,,,,,,,,,,,,,,,,,,,,,,,,,
Feature Name,Feature Data Type,Units/Values,Category,Simple Description,Ingredients,Technical Description,,,,,,,,,,,,,,,,,,,
index_number,categorical,,,The index number is unique for each of 35245 VDT records received from DxD inc. ,,,,,,,,,,,,,,,,,,,,,
customer_deidentified,categorical,uuid,,"This random ID was produced in the de-identification process. A ""Customer"" is a unique individual within Ohio's Bureau of Motor Vehicles Licensing System.",,A uuid operator was acted upon the distinct Customer ID set and a random alpha-numeric string was produced for each Customer ID.,,,,,,,,,,,,,,,,,,,
TestDateAge,Integer (non-negative),Years,,Age of customer at time of virtual driving test.,,A date difference function was used to calculate age in days. This utilizes the follow fields: DOB and DateStart . TestDate - DateStart = AgeAtExam. DateStart indicates the day the virtual driving test was administered.,,,,,,,,,,,,,,,,,,,
VDT_test_year,categorical,,,Indicate in which year the VDT test was performed.,,,,,,,,,,,,,,,,,,,,,
Sex,categorical,,,"Gender originates from the Ohio Driver's License System. As there are multiple entries per customer,the latest gender was taken as the correct gender.",,,,,,,,,,,,,,,,,,,,,
ManeuverScore,Integer (non-negative),,,Score is the scored result of a maneuverability or driving test. This is an numeric score stored in the Ohio licensing system. ,,,,,,,,,,,,,,,,,,,,,
ManeuverTestResults,"Binary(0,1)",,,A binary 1 or 0 field. 1 indicates Ohio deemed this test a passing exam. 0 indicates Ohio deemed this test a failure. This variables is stored in the Ohio licensing system. ,,,,,,,,,,,,,,,,,,,,,
Maneuverest_attempt,Integer (non-negative),,,"The order of Maneuver tests completed for the same customer, derived from date/time. ",,,,,,,,,,,,,,,,,,,,,
CountofManeuverTests,Integer (non-negative),,,The number of Maneuver tests a customer had taken in history up to the data pull date.,,,,,,,,,,,,,,,,,,,,,
Maneuver_examiner_id,categorical,uuid,,This is an honest brokered ID for the BMV examiner who conducted the maneuver test.,,,,,,,,,,,,,,,,,,,,,
DrivingScore,Integer (non-negative),,,Score is the scored result of a maneuverability or driving test. This is an numeric score stored in the Ohio licensing system. ,,,,,,,,,,,,,,,,,,,,,
IsDrivingPassing,"Binary(0,1)",,,A binary 1 or 0 field. 1 indicates Ohio deemed this test a passing exam. 0 indicates Ohio deemed this test a failure. This variable is stored in the Ohio licensing system. ,,,,,,,,,,,,,,,,,,,,,
Drivingtest_attempt,Integer (non-negative),,,"The order of Driving tests completed for the same customer, derived from date/time. ",,,,,,,,,,,,,,,,,,,,,
CountofDrivingTests,Integer (non-negative),,,The number of driving tests a customer has taken in history up to the data pull date.,,,,,,,,,,,,,,,,,,,,,
Driving_examiner_id,categorical,uuid,,This is an honest brokered ID for the BMV examiner who conducted the driving test.,,,,,,,,,,,,,,,,,,,,,
VDTtest_attempt,Integer (non-negative),,,"The order of VDT tests completed for the same customer, derived from date/time. ",,,,,,,,,,,,,,,,,,,,,
LicenseClass,categorical,"""D"": non-commercial;
""A"",""B"",""C"": commercial;
""M"": Motorcycle;",,Ohio driver license class indicates if it?s a non-commercial or commercial license.,,,,,,,,,,,,,,,,,,,,,
LicenseType,categorical,"""O"": full license;
""G"": temp permit;
""F"": dulplicate copy of license;
""R"": renewal of full license;",,License type indicates if it?s a temporary permit (learner permit) or full license. ,,,,,,,,,,,,,,,,,,,,,
DLIssueDateAge,Integer (non-negative),Years,,This is the date the OBMV issued a customer a full driver license (not a temporary permit license),,,,,,,,,,,,,,,,,,,,,
TimeinLearnerPermit_OREAttempt,Integer (non-negative),Days,,Indicates how many days a customer spent in the related learner?s permit as of the date they attempted an on road test.,,,,,,,,,,,,,,,,,,,,,
FirstPermitStartAge,Integer (non-negative),Years,,Customer?s age at the beginning of their first learner?s permit. ,,,,,,,,,,,,,,,,,,,,,
CurrentPermitStartAge,Integer (non-negative),Years,,Customer?s age at the issuance of their current learner?s permit as of the VDT date;,,,,,,,,,,,,,,,,,,,,,
AgeAtFirstORE_currentPermit,Integer (non-negative),Years,,Customer?s age at their first attempted on road exam in their current learner?s permit period as of the VDT date,,,,,,,,,,,,,,,,,,,,,
AgeAtLastORE_currentPermit,Integer (non-negative),Years,,Customer?s age at their last attempted on road exam in their current learner?s permit period as of the VDT date.,,,,,,,,,,,,,,,,,,,,,
CurrentPermit_seq,Integer (non-negative),,,The sequence order of current learner?s permit associated with VDT for each customer,,,,,,,,,,,,,,,,,,,,,
CountofPermit,Integer (non-negative),,,The number of temporary permits (learner permits: license type=G) the customer has been issued in the entire history of the Ohio licensing database up to the data pull date.,,,,,,,,,,,,,,,,,,,,,
AgeAtFirstORE_allPermits,Integer (non-negative),Years,,Customer?s age at their first on road exam among any of their learner?s permit periods.,,,,,,,,,,,,,,,,,,,,,
AgeAtLastORE_allPermits,Integer (non-negative),Years,,Customer?s age at their last on road exam among any of their learner?s permit period.,,,,,,,,,,,,,,,,,,,,,
PreExistingDLFlag,"Binary(0,1)",,,This flag indicates if a customer had a full license (license type O) before they took the VDT. ,,,,,,,,,,,,,,,,,,,,,
DrivingSchoolFlag,"Binary(0,1)",,,A flag indicating if this person has information on driving school name in the dataset. ,,,,,,,,,,,,,,,,,,,,,
