# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0.5 FPKM in experiment E-MTAB-5214
# Selected columns: 13/53 
# Timestamp: Fri, 16-Nov-2018 14:20:14
Gene ID	Gene Name	Brodmann (1909) area 24	Brodmann (1909) area 9	amygdala	caudate nucleus	cerebellar hemisphere	cerebellum	cerebral cortex	hippocampus proper	hypothalamus	nucleus accumbens	pituitary gland	putamen	substantia nigra
ENSG00000000003	TSPAN6	3.0	2.0	3.0	4.0	0.6	0.9	2.0	3.0	4.0	3.0	18.0	2.0	3.0
ENSG00000000419	DPM1	12.0	14.0	9.0	11.0	16.0	14.0	13.0	11.0	13.0	11.0	20.0	10.0	11.0
ENSG00000000457	SCYL3	1.0	1.0	0.8	0.9	2.0	2.0	1.0	0.9	1.0	0.9	2.0	0.8	0.9
ENSG00000000460	C1orf112					1.0	1.0					0.7		
ENSG00000000938	FGR	2.0	2.0	2.0	2.0	0.9	1.0	2.0	2.0	3.0	2.0	1.0	2.0	4.0
ENSG00000000971	CFH	2.0	1.0	2.0	3.0	0.6	0.7	2.0	2.0	2.0	2.0	4.0	2.0	4.0
ENSG00000001036	FUCA2	4.0	4.0	5.0	5.0	3.0	3.0	4.0	5.0	7.0	4.0	9.0	5.0	7.0
ENSG00000001084	GCLC	3.0	4.0	4.0	5.0	3.0	3.0	4.0	4.0	4.0	5.0	3.0	5.0	5.0
ENSG00000001167	NFYA	4.0	5.0	5.0	5.0	7.0	7.0	5.0	5.0	5.0	5.0	7.0	5.0	6.0
ENSG00000001460	STPG1	1.0	2.0	1.0	1.0	3.0	3.0	2.0	1.0	2.0	1.0	3.0	1.0	1.0
ENSG00000001461	NIPAL3	7.0	9.0	10.0	9.0	27.0	22.0	9.0	12.0	11.0	8.0	3.0	11.0	17.0
ENSG00000001497	LAS1L	10.0	11.0	9.0	10.0	32.0	38.0	16.0	10.0	12.0	11.0	9.0	11.0	10.0
ENSG00000001561	ENPP4	6.0	7.0	5.0	6.0	5.0	5.0	5.0	8.0	8.0	6.0	8.0	6.0	9.0
ENSG00000001617	SEMA3F	1.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	5.0	1.0	2.0
ENSG00000001626	CFTR													0.5
ENSG00000001629	ANKIB1	6.0	6.0	8.0	8.0	7.0	7.0	6.0	8.0	9.0	7.0	6.0	8.0	10.0
ENSG00000001630	CYP51A1					0.5								
ENSG00000001631	KRIT1	3.0	4.0	3.0	4.0	7.0	7.0	4.0	3.0	4.0	3.0	8.0	3.0	3.0
ENSG00000002016	RAD52	2.0	3.0	2.0	3.0	6.0	7.0	4.0	2.0	3.0	3.0	5.0	2.0	2.0
ENSG00000002330	BAD	24.0	23.0	19.0	17.0	13.0	13.0	25.0	20.0	18.0	19.0	15.0	18.0	19.0
ENSG00000002549	LAP3	9.0	8.0	9.0	11.0	6.0	6.0	9.0	9.0	10.0	9.0	9.0	10.0	12.0
ENSG00000002586	CD99	18.0	12.0	18.0	22.0	7.0	11.0	13.0	19.0	27.0	21.0	39.0	19.0	30.0
ENSG00000002587	HS3ST1	0.5	0.7	0.5		8.0	7.0	0.7	0.5	0.6		2.0		0.6
ENSG00000002746	HECW1	2.0	3.0	0.6	0.6	2.0	2.0	3.0		0.7	0.6		0.5	0.5
ENSG00000002822	MAD1L1	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0
ENSG00000002834	LASP1	14.0	14.0	10.0	10.0	9.0	10.0	15.0	9.0	13.0	11.0	13.0	9.0	10.0
ENSG00000002919	SNX11	5.0	5.0	4.0	5.0	5.0	5.0	6.0	5.0	6.0	6.0	6.0	5.0	5.0
ENSG00000002933	TMEM176A	3.0	3.0	5.0	5.0	0.7	1.0	3.0	4.0	5.0	5.0	3.0	4.0	6.0
ENSG00000003056	M6PR	5.0	7.0	4.0	6.0	8.0	8.0	6.0	5.0	6.0	6.0	9.0	5.0	5.0
ENSG00000003096	KLHL13	0.9	0.6	0.9	3.0	0.8	0.8	0.5	0.7	2.0	3.0	0.7	2.0	1.0
ENSG00000003137	CYP26B1	2.0	3.0	2.0	0.9	22.0	19.0	3.0	1.0	1.0	1.0	5.0	0.7	1.0
ENSG00000003147	ICA1	5.0	7.0	3.0	4.0	11.0	10.0	8.0	3.0	4.0	5.0	8.0	4.0	2.0
ENSG00000003249	DBNDD1	16.0	19.0	9.0	8.0	9.0	12.0	22.0	8.0	9.0	6.0	3.0	7.0	8.0
ENSG00000003393	ALS2	3.0	4.0	2.0	3.0	40.0	37.0	5.0	3.0	3.0	3.0	5.0	2.0	2.0
ENSG00000003400	CASP10	0.6	0.5	0.6	0.8	0.5	0.6	0.7	0.8	0.8	0.6	0.7	0.7	1.0
ENSG00000003402	CFLAR	2.0	2.0	2.0	3.0	12.0	13.0	2.0	3.0	3.0	3.0	5.0	3.0	3.0
ENSG00000003436	TFPI											1.0		
ENSG00000003509	NDUFAF7	3.0	3.0	2.0	3.0	5.0	5.0	3.0	3.0	4.0	3.0	6.0	3.0	3.0
ENSG00000003756	RBM5	8.0	9.0	8.0	10.0	22.0	23.0	12.0	9.0	10.0	10.0	28.0	8.0	10.0
ENSG00000003987	MTMR7	3.0	3.0	2.0	2.0	5.0	5.0	2.0	2.0	3.0	3.0	4.0	2.0	2.0
ENSG00000003989	SLC7A2	2.0	2.0	1.0	2.0	0.5	0.7	2.0	2.0	0.9	2.0	3.0	2.0	0.9
ENSG00000004059	ARF5	44.0	55.0	31.0	38.0	56.0	55.0	55.0	34.0	34.0	45.0	49.0	38.0	26.0
ENSG00000004139	SARM1	1.0	1.0	0.8	1.0	3.0	3.0	1.0	0.8	1.0	1.0	2.0	0.8	0.6
ENSG00000004142	POLDIP2	34.0	36.0	25.0	27.0	32.0	35.0	41.0	26.0	27.0	28.0	37.0	27.0	26.0
ENSG00000004399	PLXND1	7.0	7.0	5.0	5.0	1.0	2.0	9.0	5.0	5.0	3.0	6.0	5.0	9.0
ENSG00000004455	AK2	6.0	6.0	7.0	7.0	13.0	13.0	6.0	7.0	8.0	6.0	14.0	6.0	9.0
ENSG00000004468	CD38	1.0	1.0	1.0	3.0			1.0	1.0	2.0	2.0	1.0	2.0	1.0
ENSG00000004478	FKBP4	16.0	21.0	12.0	13.0	40.0	40.0	21.0	13.0	21.0	14.0	18.0	11.0	15.0
ENSG00000004487	KDM1A	8.0	9.0	6.0	7.0	16.0	16.0	11.0	6.0	9.0	8.0	21.0	6.0	6.0
ENSG00000004534	RBM6	14.0	14.0	13.0	14.0	37.0	34.0	16.0	14.0	16.0	13.0	39.0	12.0	13.0
ENSG00000004660	CAMKK1	12.0	21.0	5.0	10.0	18.0	17.0	23.0	7.0	4.0	12.0	10.0	9.0	2.0
ENSG00000004700	RECQL	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0
ENSG00000004766	VPS50	3.0	4.0	2.0	2.0	5.0	5.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0
ENSG00000004776	HSPB6	7.0	9.0	9.0	14.0	3.0	3.0	10.0	5.0	8.0	8.0	4.0	14.0	15.0
ENSG00000004777	ARHGAP33	17.0	14.0	12.0	14.0	19.0	22.0	22.0	12.0	13.0	17.0	23.0	13.0	9.0
ENSG00000004779	NDUFAB1	28.0	31.0	21.0	22.0	24.0	23.0	29.0	21.0	27.0	26.0	29.0	22.0	23.0
ENSG00000004799	PDK4	8.0	7.0	12.0	15.0	2.0	2.0	8.0	12.0	11.0	11.0	19.0	11.0	16.0
ENSG00000004838	ZMYND10	0.7	0.5	0.8	2.0	1.0	1.0	0.7	0.9	2.0	3.0	3.0	0.9	0.6
ENSG00000004848	ARX	6.0	4.0	3.0	3.0			5.0	2.0	2.0	3.0		3.0	
ENSG00000004864	SLC25A13	2.0	2.0	2.0	3.0	2.0	3.0	2.0	3.0	4.0	2.0	7.0	3.0	5.0
ENSG00000004866	ST7	3.0	3.0	2.0	2.0	7.0	7.0	3.0	2.0	2.0	2.0	7.0	2.0	2.0
ENSG00000004897	CDC27	5.0	6.0	4.0	5.0	8.0	7.0	5.0	5.0	7.0	5.0	7.0	4.0	5.0
ENSG00000004939	SLC4A1						0.5							
ENSG00000004948	CALCR									2.0				
ENSG00000004961	HCCS	5.0	7.0	3.0	4.0	6.0	6.0	5.0	4.0	4.0	4.0	5.0	3.0	4.0
ENSG00000004975	DVL2	3.0	4.0	3.0	4.0	10.0	12.0	6.0	3.0	4.0	4.0	14.0	3.0	3.0
ENSG00000005001	PRSS22					0.5	2.0					5.0		
ENSG00000005007	UPF1	7.0	8.0	6.0	8.0	21.0	23.0	10.0	6.0	8.0	8.0	17.0	7.0	7.0
ENSG00000005020	SKAP2	3.0	4.0	3.0	1.0	2.0	2.0	3.0	3.0	4.0	2.0	3.0	2.0	3.0
ENSG00000005022	SLC25A5	72.0	87.0	56.0	71.0	66.0	68.0	86.0	52.0	51.0	65.0	55.0	69.0	64.0
ENSG00000005059	MCUB	1.0	0.6	0.9	0.6			0.7	0.9	1.0	0.6	2.0	0.6	0.9
ENSG00000005075	POLR2J	14.0	12.0	14.0	15.0	13.0	13.0	12.0	14.0	16.0	15.0	19.0	14.0	15.0
ENSG00000005100	DHX33	3.0	3.0	2.0	3.0	6.0	6.0	4.0	2.0	2.0	3.0	3.0	2.0	2.0
ENSG00000005108	THSD7A	1.0	0.9	0.8	0.9		0.5	0.9	0.8	1.0	0.9	1.0	0.7	0.9
ENSG00000005156	LIG3	1.0	1.0	0.8	1.0	2.0	3.0	1.0	0.9	1.0	1.0	3.0	0.9	0.8
ENSG00000005175	RPAP3	3.0	3.0	2.0	3.0	5.0	4.0	3.0	2.0	4.0	3.0	4.0	2.0	3.0
ENSG00000005189	REXO5	0.7	0.7	0.5	0.5	2.0	1.0	0.8		0.6	0.8	0.6		
ENSG00000005194	CIAPIN1	7.0	10.0	5.0	6.0	10.0	10.0	10.0	5.0	8.0	6.0	9.0	5.0	6.0
ENSG00000005206	SPPL2B	7.0	6.0	6.0	7.0	20.0	22.0	10.0	6.0	8.0	8.0	31.0	7.0	7.0
ENSG00000005238	FAM214B	5.0	5.0	4.0	5.0	4.0	5.0	6.0	5.0	6.0	5.0	6.0	4.0	6.0
ENSG00000005243	COPZ2	3.0	2.0	3.0	2.0	0.8	1.0	2.0	4.0	3.0	2.0	5.0	3.0	4.0
ENSG00000005249	PRKAR2B	14.0	19.0	8.0	15.0	6.0	4.0	12.0	8.0	9.0	16.0	9.0	13.0	7.0
ENSG00000005302	MSL3	4.0	5.0	3.0	3.0	5.0	5.0	5.0	3.0	4.0	3.0	5.0	3.0	3.0
ENSG00000005339	CREBBP	4.0	4.0	3.0	4.0	11.0	12.0	5.0	3.0	3.0	4.0	7.0	3.0	3.0
ENSG00000005379	TSPOAP1	25.0	20.0	20.0	13.0	14.0	19.0	27.0	14.0	10.0	15.0	16.0	11.0	6.0
ENSG00000005381	MPO	0.6	0.7					0.8		0.5		0.9	0.5	0.5
ENSG00000005421	PON1											0.8		
ENSG00000005436	GCFC2	2.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0
ENSG00000005448	WDR54	4.0	5.0	3.0	5.0	7.0	7.0	6.0	4.0	5.0	6.0	13.0	4.0	2.0
ENSG00000005469	CROT	2.0	2.0	2.0	2.0	3.0	3.0	2.0	1.0	2.0	2.0	3.0	2.0	2.0
ENSG00000005483	KMT2E	6.0	8.0	6.0	7.0	19.0	16.0	7.0	7.0	7.0	6.0	10.0	6.0	7.0
ENSG00000005486	RHBDD2	83.0	89.0	57.0	81.0	27.0	33.0	98.0	68.0	123.0	114.0	161.0	77.0	50.0
ENSG00000005513	SOX8	12.0	11.0	19.0	22.0	4.0	5.0	14.0	24.0	21.0	21.0	1.0	23.0	29.0
ENSG00000005700	IBTK	3.0	4.0	3.0	4.0	8.0	7.0	4.0	4.0	4.0	4.0	7.0	4.0	4.0
ENSG00000005801	ZNF195	3.0	4.0	3.0	3.0	7.0	7.0	4.0	3.0	4.0	3.0	4.0	3.0	3.0
ENSG00000005810	MYCBP2	6.0	9.0	4.0	4.0	11.0	11.0	9.0	4.0	5.0	6.0	6.0	4.0	4.0
ENSG00000005812	FBXL3	5.0	6.0	4.0	5.0	8.0	7.0	5.0	4.0	5.0	4.0	4.0	4.0	4.0
ENSG00000005844	ITGAL								0.5	0.5		0.7		0.7
ENSG00000005882	PDK2	7.0	8.0	5.0	7.0	22.0	23.0	10.0	4.0	4.0	9.0	3.0	6.0	4.0
ENSG00000005884	ITGA3	3.0	3.0	2.0	2.0	8.0	8.0	3.0	2.0	4.0	2.0	13.0	2.0	2.0
ENSG00000005889	ZFX	2.0	2.0	2.0	2.0	4.0	4.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0
ENSG00000005893	LAMP2	13.0	16.0	22.0	28.0	8.0	8.0	14.0	29.0	19.0	17.0	16.0	28.0	34.0
ENSG00000005961	ITGA2B	0.5	0.8			2.0	3.0	1.0		0.7	0.5	2.0		
ENSG00000005981	ASB4			0.6	0.8				0.5	0.6	0.5	5.0	0.8	1.0
ENSG00000006007	GDE1	14.0	16.0	13.0	14.0	9.0	10.0	16.0	15.0	9.0	14.0	11.0	15.0	14.0
ENSG00000006015	REX1BD	13.0	14.0	10.0	10.0	24.0	25.0	16.0	10.0	12.0	13.0	13.0	10.0	10.0
ENSG00000006016	CRLF1	7.0	9.0	3.0	6.0	1.0	2.0	11.0	2.0	2.0	14.0	4.0	3.0	0.5
ENSG00000006025	OSBPL7	4.0	4.0	3.0	3.0	6.0	8.0	6.0	3.0	4.0	3.0	6.0	3.0	3.0
ENSG00000006042	TMEM98	3.0	3.0	6.0	7.0	3.0	3.0	4.0	8.0	5.0	6.0	5.0	7.0	8.0
ENSG00000006047	YBX2	0.7	0.7					1.0				1.0		
ENSG00000006062	MAP3K14	1.0	2.0	1.0	3.0	4.0	4.0	2.0	2.0	2.0	3.0	6.0	3.0	1.0
ENSG00000006071	ABCC8	7.0	8.0	3.0	5.0	33.0	40.0	12.0	5.0	4.0	5.0	25.0	3.0	3.0
ENSG00000006116	CACNG3	20.0	25.0	9.0	14.0	0.6	0.8	25.0	14.0	3.0	15.0		11.0	1.0
ENSG00000006118	TMEM132A	18.0	19.0	14.0	14.0	20.0	23.0	22.0	9.0	14.0	12.0	6.0	13.0	10.0
ENSG00000006125	AP2B1	36.0	39.0	26.0	31.0	34.0	36.0	43.0	29.0	33.0	31.0	33.0	27.0	29.0
ENSG00000006128	TAC1	9.0	6.0	3.0	62.0			4.0	6.0	15.0	47.0		54.0	4.0
ENSG00000006194	ZNF263	3.0	3.0	2.0	3.0	6.0	6.0	4.0	3.0	3.0	3.0	7.0	3.0	3.0
ENSG00000006210	CX3CL1	14.0	18.0	7.0	14.0	2.0	3.0	19.0	12.0	11.0	14.0	4.0	14.0	6.0
ENSG00000006282	SPATA20	14.0	13.0	10.0	9.0	22.0	26.0	15.0	8.0	13.0	9.0	17.0	8.0	10.0
ENSG00000006283	CACNA1G	2.0	4.0	1.0	0.7	3.0	11.0	5.0	0.7	4.0	0.6		0.6	1.0
ENSG00000006327	TNFRSF12A	0.6	0.5	0.7	0.6	0.6	0.7	0.6	0.8	2.0	0.5	19.0	0.6	1.0
ENSG00000006377	DLX6	0.8	0.6		4.0			0.6		1.0	4.0		4.0	
ENSG00000006432	MAP3K9	4.0	5.0	2.0	2.0	11.0	12.0	5.0	2.0	3.0	2.0	3.0	1.0	2.0
ENSG00000006451	RALA	10.0	11.0	10.0	11.0	9.0	8.0	9.0	11.0	11.0	12.0	7.0	10.0	13.0
ENSG00000006453	BAIAP2L1											7.0		0.5
ENSG00000006459	KDM7A	1.0	1.0	1.0	1.0	4.0	3.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0
ENSG00000006468	ETV1	4.0	3.0	4.0	4.0	53.0	39.0	2.0	3.0	2.0	4.0	3.0	3.0	2.0
ENSG00000006530	AGK	5.0	6.0	4.0	5.0	10.0	10.0	6.0	5.0	5.0	5.0	6.0	4.0	4.0
ENSG00000006534	ALDH3B1	0.6	0.5	0.5	0.7			0.5	0.7	0.7	0.8	3.0	0.7	1.0
