# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0.5 TPM in experiment E-MTAB-5214
# Selected columns: 13/53 
# Timestamp: Fri, 23-Nov-2018 13:00:15
Gene ID	Gene Name	Brodmann (1909) area 24	Brodmann (1909) area 9	amygdala	caudate nucleus	cerebellar hemisphere	cerebellum	cerebral cortex	hippocampus proper	hypothalamus	nucleus accumbens	pituitary gland	putamen	substantia nigra
ENSG00000000003	TSPAN6	6.0	5.0	7.0	7.0	2.0	3.0	5.0	6.0	9.0	7.0	51.0	4.0	6.0
ENSG00000000419	DPM1	26.0	35.0	18.0	22.0	50.0	43.0	30.0	24.0	29.0	24.0	56.0	19.0	23.0
ENSG00000000457	SCYL3	2.0	3.0	2.0	2.0	7.0	6.0	3.0	2.0	2.0	2.0	6.0	2.0	2.0
ENSG00000000460	C1orf112	0.5	0.7	0.6	0.7	3.0	4.0	0.9	0.7	0.8	0.7	2.0	0.6	0.9
ENSG00000000938	FGR	5.0	5.0	5.0	4.0	3.0	4.0	6.0	5.0	6.0	3.0	4.0	4.0	8.0
ENSG00000000971	CFH	4.0	3.0	4.0	5.0	2.0	2.0	4.0	4.0	4.0	4.0	10.0	4.0	8.0
ENSG00000001036	FUCA2	9.0	9.0	9.0	11.0	10.0	10.0	9.0	11.0	16.0	10.0	27.0	10.0	16.0
ENSG00000001084	GCLC	7.0	9.0	8.0	10.0	9.0	8.0	9.0	8.0	9.0	10.0	9.0	9.0	10.0
ENSG00000001167	NFYA	10.0	12.0	10.0	11.0	22.0	21.0	12.0	11.0	11.0	11.0	21.0	10.0	13.0
ENSG00000001460	STPG1	3.0	5.0	2.0	3.0	9.0	9.0	5.0	3.0	4.0	3.0	7.0	2.0	3.0
ENSG00000001461	NIPAL3	16.0	23.0	21.0	18.0	86.0	67.0	21.0	26.0	24.0	17.0	9.0	21.0	37.0
ENSG00000001497	LAS1L	22.0	27.0	18.0	21.0	104.0	116.0	38.0	21.0	26.0	24.0	26.0	21.0	23.0
ENSG00000001561	ENPP4	14.0	18.0	11.0	12.0	17.0	16.0	13.0	16.0	17.0	12.0	22.0	11.0	20.0
