fips2010,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state,metro_code,areaname,county,cousub,countyname,county_town_name,pop2010,acs_2018_2,state_alpha,fmr_type,metro,fmr_pct_chg,fmr_dollar_chg
0100199999,581,696,825,1043,1436,1,METRO33860M33860,"Montgomery, AL MSA",1,99999,Autauga County,Autauga County,54571,829,AL,50,1,-0.00482509,-4
0100399999,756,773,888,1252,1501,1,METRO19300M19300,"Daphne-Fairhope-Foley, AL MSA",3,99999,Baldwin County,Baldwin County,182265,879,AL,50,1,0.010238908,9
0100599999,500,503,666,838,941,1,NCNTY01005N01005,"Barbour County, AL",5,99999,Barbour County,Barbour County,27457,657,AL,50,0,0.01369863,9
0100799999,706,763,873,1154,1282,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",7,99999,Bibb County,Bibb County,22915,882,AL,50,1,-0.010204082,-9
0100999999,706,763,873,1154,1282,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",9,99999,Blount County,Blount County,57322,882,AL,50,1,-0.010204082,-9
0101199999,492,501,628,832,887,1,NCNTY01011N01011,"Bullock County, AL",11,99999,Bullock County,Bullock County,10914,606,AL,50,0,0.03630363,22
0101399999,473,476,628,814,1103,1,NCNTY01013N01013,"Butler County, AL",13,99999,Butler County,Butler County,20947,606,AL,50,0,0.03630363,22
0101599999,457,513,676,886,1031,1,METRO11500M11500,"Anniston-Oxford-Jacksonville, AL MSA",15,99999,Calhoun County,Calhoun County,118572,679,AL,50,1,-0.004418262,-3
0101799999,467,579,691,868,958,1,NCNTY01017N01017,"Chambers County, AL",17,99999,Chambers County,Chambers County,34215,676,AL,50,0,0.022189349,15
0101999999,472,475,628,846,849,1,NCNTY01019N01019,"Cherokee County, AL",19,99999,Cherokee County,Cherokee County,25989,606,AL,50,0,0.03630363,22
0102199999,517,549,628,908,1103,1,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",21,99999,Chilton County,Chilton County,43643,633,AL,50,1,-0.007898894,-5
0102399999,498,501,663,831,937,1,NCNTY01023N01023,"Choctaw County, AL",23,99999,Choctaw County,Choctaw County,13859,677,AL,50,0,-0.020679468,-14
0102599999,492,538,628,908,927,1,NCNTY01025N01025,"Clarke County, AL",25,99999,Clarke County,Clarke County,25833,606,AL,50,0,0.03630363,22
0102799999,535,549,628,908,1103,1,NCNTY01027N01027,"Clay County, AL",27,99999,Clay County,Clay County,13932,606,AL,50,0,0.03630363,22
0102999999,472,475,628,824,1103,1,NCNTY01029N01029,"Cleburne County, AL",29,99999,Cleburne County,Cleburne County,14972,633,AL,50,0,-0.007898894,-5
0103199999,555,558,680,983,1194,1,NCNTY01031N01031,"Coffee County, AL",31,99999,Coffee County,Coffee County,49948,619,AL,50,0,0.098546042,61
