fips2010,rent50_0,rent50_1,rent50_2,rent50_3,rent50_4,state,cbsasub21,areaname21,county,cousub,cntyname,name,pop2017,hu2017,state_alpha
0100199999,685,820,972,1229,1628,1,METRO33860M33860,"Montgomery, AL MSA",1,99999,Autauga County,Autauga County,55035,23152,AL
0100399999,821,827,1054,1428,1810,1,METRO19300M19300,"Daphne-Fairhope-Foley, AL MSA",3,99999,Baldwin County,Baldwin County,203360,110023,AL
0100599999,519,523,689,857,965,1,NCNTY01005N01005,"Barbour County, AL",5,99999,Barbour County,Barbour County,26200,11918,AL
0100799999,891,950,1093,1421,1537,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",7,99999,Bibb County,Bibb County,22580,9112,AL
0100999999,891,950,1093,1421,1537,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",9,99999,Blount County,Blount County,57665,24161,AL
0101199999,554,571,734,913,1077,1,NCNTY01011N01011,"Bullock County, AL",11,99999,Bullock County,Bullock County,10480,4516,AL
0101399999,523,608,693,862,1017,1,NCNTY01013N01013,"Butler County, AL",13,99999,Butler County,Butler County,20125,10008,AL
0101599999,510,580,764,998,1156,1,METRO11500M11500,"Anniston-Oxford-Jacksonville, AL MSA",15,99999,Calhoun County,Calhoun County,115525,53655,AL
0101799999,592,688,825,1060,1160,1,NCNTY01017N01017,"Chambers County, AL",17,99999,Chambers County,Chambers County,33895,16989,AL
0101999999,503,505,666,921,925,1,NCNTY01019N01019,"Cherokee County, AL",19,99999,Cherokee County,Cherokee County,25855,16466,AL
0102199999,657,691,788,1128,1172,1,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",21,99999,Chilton County,Chilton County,43805,19518,AL
0102399999,494,496,654,813,939,1,NCNTY01023N01023,"Choctaw County, AL",23,99999,Choctaw County,Choctaw County,13190,7329,AL
0102599999,479,493,634,907,930,1,NCNTY01025N01025,"Clarke County, AL",25,99999,Clarke County,Clarke County,24625,12704,AL
0102799999,479,556,634,868,1060,1,NCNTY01027N01027,"Clay County, AL",27,99999,Clay County,Clay County,13405,6797,AL
0102999999,479,481,634,892,930,1,NCNTY01029N01029,"Cleburne County, AL",29,99999,Cleburne County,Cleburne County,14940,6781,AL
0103199999,562,593,744,1065,1273,1,NCNTY01031N01031,"Coffee County, AL",31,99999,Coffee County,Coffee County,51075,23038,AL
0103399999,562,621,801,1010,1299,1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",33,99999,Colbert County,Colbert County,54435,26333,AL
0103599999,479,532,634,907,930,1,NCNTY01035N01035,"Conecuh County, AL",35,99999,Conecuh County,Conecuh County,12650,7125,AL
0103799999,549,552,727,904,1067,1,NCNTY01037N01037,"Coosa County, AL",37,99999,Coosa County,Coosa County,10955,6527,AL
0103999999,487,507,645,861,1062,1,NCNTY01039N01039,"Covington County, AL",39,99999,Covington County,Covington County,37520,18890,AL
