SRA_ID	Sample	GEO_ID	Donor	Tissue	Treatment	Disease	ERCC_Mix
SRX6072819	SRR9304146	GSM3891506	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072819	SRR9304147	GSM3891506	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072820	SRR9304148	GSM3891507	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072820	SRR9304149	GSM3891507	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072821	SRR9304150	GSM3891508	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072821	SRR9304151	GSM3891508	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072822	SRR9304152	GSM3891509	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072822	SRR9304153	GSM3891509	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072823	SRR9304154	GSM3891510	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072823	SRR9304155	GSM3891510	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072824	SRR9304156	GSM3891511	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072824	SRR9304157	GSM3891511	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072825	SRR9304158	GSM3891512	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072825	SRR9304159	GSM3891512	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072826	SRR9304160	GSM3891513	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072826	SRR9304161	GSM3891513	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072827	SRR9304162	GSM3891514	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072827	SRR9304163	GSM3891514	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072828	SRR9304164	GSM3891515	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072828	SRR9304165	GSM3891515	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072829	SRR9304166	GSM3891516	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072829	SRR9304167	GSM3891516	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072830	SRR9304168	GSM3891517	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072830	SRR9304169	GSM3891517	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072831	SRR9304170	GSM3891518	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072831	SRR9304171	GSM3891518	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072832	SRR9304172	GSM3891519	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072832	SRR9304173	GSM3891519	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072833	SRR9304174	GSM3891520	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072833	SRR9304175	GSM3891520	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
