REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2014,40,X,1.73174,220,26,12704
States,Alaska,2014,40,X,0.437445,5,7,1143
States,Arizona,2014,40,X,1.02937,299,59,29047
States,Arkansas,2014,40,X,1.07239,48,17,4476
States,California,2014,40,X,1.9089,831,129,43533
States,Colorado,2014,40,X,0.466945,19,6,4069
States,Connecticut,2014,40,X,1.48994,60,17,4027
States,Delaware,2014,40,X,0.0629723,1,7,1588
States,District of Columbia,2014,40,X,5.85054,119,2,2034
States,Florida,2014,40,X,1.25024,266,65,21276
States,Georgia,2014,40,X,0.396825,95,34,23940
States,Hawaii,2014,40,X,4.81841,134,20,2781
States,Idaho,2014,40,X,1.14723,30,9,2615
States,Illinois,2014,40,X,1.47637,853,93,57777
States,Indiana,2014,40,X,0.514369,46,35,8943
States,Iowa,2014,40,X,0.254043,82,16,32278
States,Kansas,2014,40,X,0.498433,35,29,7022
States,Kentucky,2014,40,X,0.100271,20,17,19946
States,Louisiana,2014,40,X,1.7935,823,75,45888
States,Maine,2014,40,X,1.30226,76,29,5836
States,Maryland,2014,40,X,1.01115,107,20,10582
States,Massachusetts,2014,40,X,0.618429,170,47,27489
States,Michigan,2014,40,X,0.320957,51,42,15890
States,Minnesota,2014,40,X,0.766983,42,16,5476
States,Mississippi,2014,40,X,2.26715,453,50,19981
States,Missouri,2014,40,X,1.03915,86,23,8276
States,Montana,2014,40,X,0.096401,3,12,3112
States,Nebraska,2014,40,X,0.630564,17,16,2696
States,Nevada,2014,40,X,0.494334,65,29,13149
States,New Hampshire,2014,40,X,0.0233372,1,22,4285
States,New Jersey,2014,40,X,1.4055,114,22,8111
States,New Mexico,2014,40,X,1.34435,148,25,11009
States,New York,2014,40,X,0.693823,124,153,17872
States,North Carolina,2014,40,X,0.557937,82,44,14697
States,North Dakota,2014,40,X,0.416089,6,7,1442
States,Ohio,2014,40,X,0.392734,56,46,14259
States,Oklahoma,2014,40,X,1.85456,38,14,2049
States,Oregon,2014,40,X,0.223499,7,13,3132
States,Pennsylvania,2014,40,X,0.937714,137,38,14610
States,Rhode Island,2014,40,X,0.0433839,3,20,6915
States,South Carolina,2014,40,X,0.229709,15,15,6530
States,South Dakota,2014,40,X,0.820531,47,24,5728
States,Tennessee,2014,40,X,0.235632,23,48,9761
States,Texas,2014,40,X,1.61545,623,95,38565
States,Utah,2014,40,X,1.15574,200,45,17305
States,Vermont,2014,40,X,1.33929,42,11,3136
States,Virginia,2014,40,X,1.43013,1166,121,81531
States,Washington,2014,40,X,0.443718,19,26,4282
States,West Virginia,2014,40,X,0.913293,162,46,17738
States,Wisconsin,2014,40,X,0.783875,35,29,4465
States,Wyoming,2014,40,X,0.519785,31,25,5964
States,Puerto Rico,2014,40,X,6.77821,397,6,5857
States,Virgin Islands,2014,40,X,1.40845,5,1,355
States,New York City,2014,40,X,1.54549,1613,94,104368
States,Alabama,2014,41,X,2.06627,270,27,13067
States,Alaska,2014,41,X,0.412939,6,8,1453
States,Arizona,2014,41,X,0.830861,238,59,28645
States,Arkansas,2014,41,X,1.24595,77,19,6180
States,California,2014,41,X,2.01872,936,136,46366
States,Colorado,2014,41,X,0.427594,15,6,3508
States,Connecticut,2014,41,X,1.59107,67,18,4211
States,Delaware,2014,41,X,0.113314,2,7,1765
States,District of Columbia,2014,41,X,5.46912,116,2,2121
States,Florida,2014,41,X,1.816,424,65,23348
States,Georgia,2014,41,X,0.500595,101,34,20176
States,Hawaii,2014,41,X,4.95225,140,20,2827
States,Idaho,2014,41,X,1.28079,39,9,3045
States,Illinois,2014,41,X,1.4802,831,93,56141
States,Indiana,2014,41,X,0.791997,76,38,9596
States,Iowa,2014,41,X,0.315731,102,16,32306
States,Kansas,2014,41,X,0.600515,42,30,6994
States,Kentucky,2014,41,X,0.0897384,20,17,22287
States,Louisiana,2014,41,X,2.072,1009,79,48697
States,Maine,2014,41,X,1.25817,77,30,6120
States,Maryland,2014,41,X,0.966228,105,21,10867
States,Massachusetts,2014,41,X,0.706026,185,46,26203
States,Michigan,2014,41,X,0.270187,44,45,16285
States,Minnesota,2014,41,X,0.754446,42,16,5567
States,Mississippi,2014,41,X,2.87785,528,52,18347
States,Missouri,2014,41,X,1.28882,105,23,8147
States,Montana,2014,41,X,0,0,11,3426
States,Nebraska,2014,41,X,0.741565,20,15,2697
States,Nevada,2014,41,X,0.587345,66,31,11237
States,New Hampshire,2014,41,X,0.281577,14,26,4972
States,New Jersey,2014,41,X,2.17104,181,24,8337
States,New Mexico,2014,41,X,1.55445,181,26,11644
States,New York,2014,41,X,0.609081,110,155,18060
States,North Carolina,2014,41,X,0.660579,102,48,15441
States,North Dakota,2014,41,X,0.664011,10,8,1506
States,Ohio,2014,41,X,0.576121,87,52,15101
States,Oklahoma,2014,41,X,2.47019,58,17,2348
States,Oregon,2014,41,X,0.418535,14,13,3345
States,Pennsylvania,2014,41,X,1.1936,159,40,13321
States,Rhode Island,2014,41,X,0.152184,10,19,6571
States,South Carolina,2014,41,X,0.225802,15,15,6643
States,South Dakota,2014,41,X,0.781793,45,24,5756
States,Tennessee,2014,41,X,0.468272,49,48,10464
States,Texas,2014,41,X,1.73191,672,94,38801
States,Utah,2014,41,X,1.29199,230,42,17802
States,Vermont,2014,41,X,1.06727,33,11,3092
States,Virginia,2014,41,X,1.77161,1166,118,65816
States,Washington,2014,41,X,1.45322,64,26,4404
States,West Virginia,2014,41,X,1.09747,194,44,17677
States,Wisconsin,2014,41,X,0.783972,36,27,4592
States,Wyoming,2014,41,X,0.470793,27,24,5735
States,Puerto Rico,2014,41,X,4.16171,210,5,5046
States,Virgin Islands,2014,41,X,1.63043,6,1,368
States,New York City,2014,41,X,1.61982,1621,80,100073
States,Alabama,2014,42,X,1.73504,214,28,12334
States,Alaska,2014,42,X,0.364631,4,7,1097
States,Arizona,2014,42,X,0.969776,283,60,29182
States,Arkansas,2014,42,X,1.21241,77,21,6351
States,California,2014,42,X,1.88158,886,139,47088
States,Colorado,2014,42,X,0.472813,18,6,3807
States,Connecticut,2014,42,X,1.55388,62,16,3990
States,Delaware,2014,42,X,0,0,7,1677
States,District of Columbia,2014,42,X,5.03445,95,2,1887
States,Florida,2014,42,X,1.96097,405,63,20653
States,Georgia,2014,42,X,0.535943,155,35,28921
States,Hawaii,2014,42,X,4.42924,123,20,2777
States,Idaho,2014,42,X,1.48213,51,10,3441
States,Illinois,2014,42,X,1.64143,929,94,56597
States,Indiana,2014,42,X,0.688047,59,36,8575
States,Iowa,2014,42,X,0.275115,95,14,34531
States,Kansas,2014,42,X,0.875099,55,30,6285
States,Kentucky,2014,42,X,0.048178,11,19,22832
States,Louisiana,2014,42,X,2.6345,1307,83,49611
States,Maine,2014,42,X,1.13998,68,31,5965
States,Maryland,2014,42,X,0.857064,93,21,10851
States,Massachusetts,2014,42,X,0.784763,178,46,22682
States,Michigan,2014,42,X,0.394187,67,47,16997
States,Minnesota,2014,42,X,0.892164,46,15,5156
States,Mississippi,2014,42,X,2.48465,441,53,17749
States,Missouri,2014,42,X,1.40453,116,23,8259
States,Montana,2014,42,X,0.0597907,2,11,3345
States,Nebraska,2014,42,X,0.855545,26,16,3039
