"Notes"	"County"	"County Code"	Deaths	Births	Death Rate
	"Jefferson County, AL"	"01073"	1067	100285	10.64
	"Madison County, AL"	"01089"	352	45993	7.65
	"Mobile County, AL"	"01097"	552	63392	8.71
	"Unidentified Counties, AL"	"01999"	3814	455345	8.38
	"Anchorage Borough, AK"	"02020"	257	50572	5.08
	"Unidentified Counties, AK"	"02999"	443	73134	6.06
	"Maricopa County, AZ"	"04013"	3602	619778	5.81
	"Pima County, AZ"	"04019"	741	133964	5.53
	"Pinal County, AZ"	"04021"	105	17804	5.90
	"Unidentified Counties, AZ"	"04999"	1343	207366	6.48
	"Pulaski County, AR"	"05119"	520	62274	8.35
	"Unidentified Counties, AR"	"05999"	2735	366206	7.47
	"Alameda County, CA"	"06001"	919	217480	4.23
	"Contra Costa County, CA"	"06013"	565	137618	4.11
	"Fresno County, CA"	"06019"	1206	175253	6.88
	"Kern County, CA"	"06029"	1001	157904	6.34
	"Los Angeles County, CA"	"06037"	6526	1458287	4.48
	"Marin County, CA"	"06041"	17	9178	1.85 (Unreliable)
	"Merced County, CA"	"06047"	62	16587	3.74
	"Monterey County, CA"	"06053"	349	73736	4.73
	"Orange County, CA"	"06059"	1593	430436	3.70
	"Placer County, CA"	"06061"	52	14799	3.51
	"Riverside County, CA"	"06065"	1683	341815	4.92
	"Sacramento County, CA"	"06067"	1147	221087	5.19
	"San Bernardino County, CA"	"06071"	2117	346345	6.11
	"San Diego County, CA"	"06073"	2072	488358	4.24
	"San Francisco County, CA"	"06075"	330	98638	3.35
	"San Joaquin County, CA"	"06077"	667	114652	5.82
	"San Luis Obispo County, CA"	"06079"	50	10395	4.81
	"San Mateo County, CA"	"06081"	309	101053	3.06
	"Santa Barbara County, CA"	"06083"	288	64153	4.49
	"Santa Clara County, CA"	"06085"	886	266944	3.32
	"Santa Cruz County, CA"	"06087"	140	34152	4.10
	"Solano County, CA"	"06095"	342	58156	5.88
	"Sonoma County, CA"	"06097"	216	57548	3.75
	"Stanislaus County, CA"	"06099"	483	86545	5.58
	"Tulare County, CA"	"06107"	481	86504	5.56
	"Ventura County, CA"	"06111"	575	117964	4.87
	"Unidentified Counties, CA"	"06999"	2095	425541	4.92
	"Adams County, CO"	"08001"	425	75236	5.65
	"Arapahoe County, CO"	"08005"	508	84633	6.00
	"Boulder County, CO"	"08013"	155	32977	4.70
	"Denver County, CO"	"08031"	657	113404	5.79
	"Douglas County, CO"	"08035"	44	13705	3.21
	"El Paso County, CO"	"08041"	605	100823	6.00
	"Jefferson County, CO"	"08059"	289	64414	4.49
	"Larimer County, CO"	"08069"	151	37497	4.03
	"Weld County, CO"	"08123"	84	16796	5.00
	"Unidentified Counties, CO"	"08999"	991	194993	5.08
	"Fairfield County, CT"	"09001"	515	114894	4.48
	"Hartford County, CT"	"09003"	654	106296	6.15
	"New Haven County, CT"	"09009"	613	101532	6.04
	"New London County, CT"	"09011"	162	30553	5.30
	"Unidentified Counties, CT"	"09999"	255	58560	4.35
	"New Castle County, DE"	"10003"	644	74642	8.63
	"Unidentified Counties, DE"	"10999"	310	49637	6.25
	"District of Columbia, DC"	"11001"	890	102686	8.67
	"Brevard County, FL"	"12009"	363	57574	6.30
	"Broward County, FL"	"12011"	1362	241166	5.65
	"Collier County, FL"	"12021"	218	37267	5.85
	"Duval County, FL"	"12031"	1205	142549	8.45
	"Escambia County, FL"	"12033"	371	43830	8.46
	"Hillsborough County, FL"	"12057"	1454	187211	7.77
	"Lake County, FL"	"12069"	96	12884	7.45
	"Lee County, FL"	"12071"	441	73311	6.02
	"Leon County, FL"	"12073"	81	12256	6.61
	"Manatee County, FL"	"12081"	266	39142	6.80
	"Marion County, FL"	"12083"	314	38287	8.20
	"Miami-Dade County, FL"	"12086"	1775	353849	5.02
	"Orange County, FL"	"12095"	1260	177504	7.10
	"Osceola County, FL"	"12097"	88	17093	5.15
	"Palm Beach County, FL"	"12099"	838	160265	5.23
	"Pasco County, FL"	"12101"	337	54986	6.13
	"Pinellas County, FL"	"12103"	673	95089	7.08
	"Polk County, FL"	"12105"	637	84052	7.58
	"St. Lucie County, FL"	"12111"	67	12089	5.54
	"Sarasota County, FL"	"12115"	165	32358	5.10
	"Seminole County, FL"	"12117"	297	50162	5.92
	"Volusia County, FL"	"12127"	345	54207	6.36
	"Unidentified Counties, FL"	"12999"	3147	464344	6.78
	"Chatham County, GA"	"13051"	138	15857	8.70
	"Clayton County, GA"	"13063"	145	15044	9.64
	"Cobb County, GA"	"13067"	677	108438	6.24
	"DeKalb County, GA"	"13089"	875	122021	7.17
	"Fulton County, GA"	"13121"	1059	152301	6.95
	"Gwinnett County, GA"	"13135"	767	128841	5.95
	"Unidentified Counties, GA"	"13999"	7130	943634	7.56
	"Honolulu County, HI"	"15003"	876	147283	5.95
	"Unidentified Counties, HI"	"15999"	295	58679	5.03
	"Ada County, ID"	"16001"	271	57117	4.74
	"Unidentified Counties, ID"	"16999"	1110	198003	5.61
	"Cook County, IL"	"17031"	5511	785908	7.01
	"DuPage County, IL"	"17043"	554	119236	4.65
	"Kane County, IL"	"17089"	440	78688	5.59
	"Lake County, IL"	"17097"	462	91577	5.04
	"McHenry County, IL"	"17111"	155	37679	4.11
	"Madison County, IL"	"17119"	215	34867	6.17
	"St. Clair County, IL"	"17163"	311	38404	8.10
	"Will County, IL"	"17197"	571	92129	6.20
	"Winnebago County, IL"	"17201"	296	41424	7.15
	"Unidentified Counties, IL"	"17999"	3226	471994	6.83
	"Allen County, IN"	"18003"	455	58186	7.82
	"Hamilton County, IN"	"18057"	84	15353	5.47
	"Lake County, IN"	"18089"	580	68141	8.51
	"Marion County, IN"	"18097"	1412	162076	8.71
	"St. Joseph County, IN"	"18141"	335	39306	8.52
	"Unidentified Counties, IN"	"18999"	3956	589568	6.71
	"Polk County, IA"	"19153"	431	74706	5.77
	"Unidentified Counties, IA"	"19999"	1742	357836	4.87
	"Johnson County, KS"	"20091"	406	82389	4.93
	"Sedgwick County, KS"	"20173"	629	84997	7.40
	"Unidentified Counties, KS"	"20999"	1832	270267	6.78
	"Fayette County, KY"	"21067"	264	44305	5.96
	"Jefferson County, KY"	"21111"	719	111773	6.43
	"Unidentified Counties, KY"	"21999"	3217	464157	6.93
	"Caddo Parish, LA"	"22017"	521	41069	12.69
	"East Baton Rouge Parish, LA"	"22033"	730	67891	10.75
	"Jefferson Parish, LA"	"22051"	429	64791	6.62
	"Orleans Parish, LA"	"22071"	384	51397	7.47
	"Unidentified Counties, LA"	"22999"	3653	474891	7.69
	"Cumberland County, ME"	"23005"	178	30962	5.75
	"Unidentified Counties, ME"	"23999"	710	111793	6.35
	"Anne Arundel County, MD"	"24003"	427	76127	5.61
	"Baltimore County, MD"	"24005"	720	109554	6.57
	"Howard County, MD"	"24027"	78	14215	5.49
	"Montgomery County, MD"	"24031"	747	146078	5.11
	"Prince George's County, MD"	"24033"	1209	135069	8.95
	"Baltimore city, MD"	"24510"	1045	98937	10.56
	"Unidentified Counties, MD"	"24999"	1403	234507	5.98
	"Bristol County, MA"	"25005"	309	64433	4.80
	"Essex County, MA"	"25009"	407	94415	4.31
	"Hampden County, MA"	"25013"	343	59223	5.79
	"Middlesex County, MA"	"25017"	670	194041	3.45
	"Norfolk County, MA"	"25021"	276	80247	3.44
	"Plymouth County, MA"	"25023"	241	58021	4.15
	"Suffolk County, MA"	"25025"	533	104485	5.10
	"Worcester County, MA"	"25027"	532	97743	5.44
	"Unidentified Counties, MA"	"25999"	238	53074	4.48
	"Genesee County, MI"	"26049"	472	56706	8.32
	"Ingham County, MI"	"26065"	250	37213	6.72
	"Kalamazoo County, MI"	"26077"	76	12508	6.08
	"Kent County, MI"	"26081"	600	97987	6.12
	"Macomb County, MI"	"26099"	642	102806	6.24
	"Oakland County, MI"	"26125"	895	148649	6.02
	"Ottawa County, MI"	"26139"	58	13396	4.33
	"Washtenaw County, MI"	"26161"	224	41184	5.44
	"Wayne County, MI"	"26163"	2581	264859	9.74
	"Unidentified Counties, MI"	"26999"	3093	495921	6.24
	"Anoka County, MN"	"27003"	206	46576	4.42
	"Dakota County, MN"	"27037"	229	58336	3.93
	"Hennepin County, MN"	"27053"	944	181101	5.21
	"Ramsey County, MN"	"27123"	534	84668	6.31
