"Notes"	"County"	"County Code"	"Year of Death"	"Year of Death Code"	Deaths	Births	Death Rate
	"Jefferson County, AL"	"01073"	"2007"	"2007"	121	9705	12.47
	"Jefferson County, AL"	"01073"	"2008"	"2008"	118	9577	12.32
	"Jefferson County, AL"	"01073"	"2009"	"2009"	94	10448	9.00
	"Jefferson County, AL"	"01073"	"2010"	"2010"	102	8894	11.47
	"Jefferson County, AL"	"01073"	"2011"	"2011"	81	8916	9.08
	"Jefferson County, AL"	"01073"	"2012"	"2012"	94	9027	10.41
	"Jefferson County, AL"	"01073"	"2013"	"2013"	99	8640	11.46
	"Jefferson County, AL"	"01073"	"2014"	"2014"	93	8925	10.42
	"Jefferson County, AL"	"01073"	"2015"	"2015"	91	8792	10.35
	"Jefferson County, AL"	"01073"	"2016"	"2016"	89	8655	10.28
	"Jefferson County, AL"	"01073"	"2017"	"2017"	84	8706	9.65
	"Madison County, AL"	"01089"	"2007"	"2007"	28	4236	6.61
	"Madison County, AL"	"01089"	"2008"	"2008"	48	4221	11.37
	"Madison County, AL"	"01089"	"2009"	"2009"	36	4265	8.44
	"Madison County, AL"	"01089"	"2010"	"2010"	28	4195	6.67
	"Madison County, AL"	"01089"	"2011"	"2011"	29	4150	6.99
	"Madison County, AL"	"01089"	"2012"	"2012"	26	3926	6.62
	"Madison County, AL"	"01089"	"2013"	"2013"	35	4106	8.52
	"Madison County, AL"	"01089"	"2014"	"2014"	36	4254	8.46
	"Madison County, AL"	"01089"	"2015"	"2015"	33	4159	7.93
	"Madison County, AL"	"01089"	"2016"	"2016"	33	4228	7.81
	"Madison County, AL"	"01089"	"2017"	"2017"	20	4253	4.70
	"Mobile County, AL"	"01097"	"2007"	"2007"	68	6270	10.85
	"Mobile County, AL"	"01097"	"2008"	"2008"	40	6206	6.45
	"Mobile County, AL"	"01097"	"2009"	"2009"	43	6057	7.10
	"Mobile County, AL"	"01097"	"2010"	"2010"	42	5707	7.36
	"Mobile County, AL"	"01097"	"2011"	"2011"	48	5623	8.54
	"Mobile County, AL"	"01097"	"2012"	"2012"	59	5495	10.74
	"Mobile County, AL"	"01097"	"2013"	"2013"	56	5578	10.04
	"Mobile County, AL"	"01097"	"2014"	"2014"	58	5682	10.21
	"Mobile County, AL"	"01097"	"2015"	"2015"	43	5663	7.59
	"Mobile County, AL"	"01097"	"2016"	"2016"	54	5504	9.81
	"Mobile County, AL"	"01097"	"2017"	"2017"	40	5607	7.13
	"Unidentified Counties, AL"	"01999"	"2007"	"2007"	427	44593	9.58
	"Unidentified Counties, AL"	"01999"	"2008"	"2008"	405	44542	9.09
	"Unidentified Counties, AL"	"01999"	"2009"	"2009"	344	41705	8.25
	"Unidentified Counties, AL"	"01999"	"2010"	"2010"	352	41254	8.53
	"Unidentified Counties, AL"	"01999"	"2011"	"2011"	330	40665	8.12
	"Unidentified Counties, AL"	"01999"	"2012"	"2012"	340	40000	8.50
	"Unidentified Counties, AL"	"01999"	"2013"	"2013"	310	39843	7.78
	"Unidentified Counties, AL"	"01999"	"2014"	"2014"	328	40561	8.09
	"Unidentified Counties, AL"	"01999"	"2015"	"2015"	329	41043	8.02
	"Unidentified Counties, AL"	"01999"	"2016"	"2016"	358	40764	8.78
	"Unidentified Counties, AL"	"01999"	"2017"	"2017"	291	40375	7.21
	"Anchorage Borough, AK"	"02020"	"2007"	"2007"	21	4480	4.69
	"Anchorage Borough, AK"	"02020"	"2008"	"2008"	20	4657	4.29
	"Anchorage Borough, AK"	"02020"	"2009"	"2009"	30	4743	6.33
	"Anchorage Borough, AK"	"02020"	"2010"	"2010"	19	4575	4.15 (Unreliable)
	"Anchorage Borough, AK"	"02020"	"2011"	"2011"	17	4792	3.55 (Unreliable)
	"Anchorage Borough, AK"	"02020"	"2012"	"2012"	20	4613	4.34
	"Anchorage Borough, AK"	"02020"	"2013"	"2013"	26	4778	5.44
	"Anchorage Borough, AK"	"02020"	"2014"	"2014"	26	4691	5.54
	"Anchorage Borough, AK"	"02020"	"2015"	"2015"	28	4589	6.10
	"Anchorage Borough, AK"	"02020"	"2016"	"2016"	26	4518	5.75
	"Anchorage Borough, AK"	"02020"	"2017"	"2017"	23	4136	5.56
	"Unidentified Counties, AK"	"02999"	"2007"	"2007"	52	6572	7.91
	"Unidentified Counties, AK"	"02999"	"2008"	"2008"	49	6785	7.22
	"Unidentified Counties, AK"	"02999"	"2009"	"2009"	48	6581	7.29
	"Unidentified Counties, AK"	"02999"	"2010"	"2010"	22	6896	3.19
	"Unidentified Counties, AK"	"02999"	"2011"	"2011"	27	6664	4.05
	"Unidentified Counties, AK"	"02999"	"2012"	"2012"	37	6574	5.63
	"Unidentified Counties, AK"	"02999"	"2013"	"2013"	40	6668	6.00
	"Unidentified Counties, AK"	"02999"	"2014"	"2014"	50	6701	7.46
	"Unidentified Counties, AK"	"02999"	"2015"	"2015"	50	6693	7.47
	"Unidentified Counties, AK"	"02999"	"2016"	"2016"	32	6691	4.78
	"Unidentified Counties, AK"	"02999"	"2017"	"2017"	37	6309	5.86
	"Maricopa County, AZ"	"04013"	"2007"	"2007"	429	66001	6.50
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	375	62680	5.98
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	326	57718	5.65
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	318	54348	5.85
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	310	53467	5.80
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	324	54644	5.93
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	284	54015	5.26
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	336	55410	6.06
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	292	54736	5.33
	"Maricopa County, AZ"	"04013"	"2016"	"2016"	296	54126	5.47
	"Maricopa County, AZ"	"04013"	"2017"	"2017"	311	52633	5.91
	"Pima County, AZ"	"04019"	"2007"	"2007"	102	13819	7.38
	"Pima County, AZ"	"04019"	"2008"	"2008"	104	13521	7.69
	"Pima County, AZ"	"04019"	"2009"	"2009"	83	12868	6.45
	"Pima County, AZ"	"04019"	"2010"	"2010"	74	12184	6.07
	"Pima County, AZ"	"04019"	"2011"	"2011"	59	11893	4.96
	"Pima County, AZ"	"04019"	"2012"	"2012"	59	11917	4.95
	"Pima County, AZ"	"04019"	"2013"	"2013"	58	11994	4.84
	"Pima County, AZ"	"04019"	"2014"	"2014"	63	11864	5.31
	"Pima County, AZ"	"04019"	"2015"	"2015"	45	11500	3.91
	"Pima County, AZ"	"04019"	"2016"	"2016"	51	11421	4.47
	"Pima County, AZ"	"04019"	"2017"	"2017"	41	10983	3.73
	"Pinal County, AZ"	"04021"	"2007"	"2007"	Missing County	Missing County	Missing County
	"Pinal County, AZ"	"04021"	"2008"	"2008"	Missing County	Missing County	Missing County
	"Pinal County, AZ"	"04021"	"2009"	"2009"	Missing County	Missing County	Missing County
	"Pinal County, AZ"	"04021"	"2010"	"2010"	Missing County	Missing County	Missing County
	"Pinal County, AZ"	"04021"	"2011"	"2011"	Missing County	Missing County	Missing County
	"Pinal County, AZ"	"04021"	"2012"	"2012"	Missing County	Missing County	Missing County
	"Pinal County, AZ"	"04021"	"2013"	"2013"	Missing County	Missing County	Missing County
	"Pinal County, AZ"	"04021"	"2014"	"2014"	30	4491	6.68
	"Pinal County, AZ"	"04021"	"2015"	"2015"	27	4451	6.07
	"Pinal County, AZ"	"04021"	"2016"	"2016"	22	4470	4.92
	"Pinal County, AZ"	"04021"	"2017"	"2017"	25	4392	5.69
	"Unidentified Counties, AZ"	"04999"	"2007"	"2007"	176	23161	7.60
	"Unidentified Counties, AZ"	"04999"	"2008"	"2008"	156	23241	6.71
	"Unidentified Counties, AZ"	"04999"	"2009"	"2009"	145	22212	6.53
	"Unidentified Counties, AZ"	"04999"	"2010"	"2010"	127	20945	6.06
