"pathway","pval","padj","ES","NES","nMoreExtreme","size","main_pathway","leadingEdge"
"KEGG_CELL_CYCLE","0.000160205062479974","0.00676054620824189","0.476566953094841","1.91819065063057","0","118","main","TGFB2,CDKN2B,TFDP2,SFN,E2F1,YWHAH,CDK1,GADD45B,GADD45G,DBF4,ORC6,E2F2,MDM2,CCND2,ORC4,CCND1,CCND3,CCNA2,CDC14B,CCNB1,CDC27,CHEK1,YWHAZ,RB1,CDC6,ANAPC10,ORC1,PCNA,CHEK2,E2F5,SMC3,RBL1,YWHAE,YWHAQ,MCM5,ORC2,CDKN2D,RBX1,TFDP1,TTK,CDC7,ANAPC4,CDC25C,PKMYT1,PLK1,SKP2,MCM4,YWHAB,CCNB2,CDC16,CCNH"
"KEGG_FOCAL_ADHESION","0.000153468385512584","0.00676054620824189","0.442385119698296","1.89766190097123","0","185","main","ITGB6,LAMC2,ITGB3,CAV2,CAV1,ITGA3,LAMA3,COL5A2,VEGFA,CAPN2,PDGFB,THBS3,FLNC,AKT3,IGF1R,PAK3,PDGFA,ARHGAP5,COL4A6,FLNA,THBS1,PIK3CB,PDGFC,PGF,ROCK1,LAMC1,EGFR,LAMA5,ITGAV,VCL,COL4A1,RAP1B,BRAF,CCND2,LAMB2,ITGB1,RAP1A,PARVA,COL4A4,ITGA2,COL4A2,CCND1,ITGB5,ITGA7,ROCK2,CCND3,RASGRF1,COMP,PDGFD,TLN1,MYL9,ACTN1,ITGA6,ACTB,CDC42,PPP1CB,RHOA"
"REACTOME_APOPTOSIS","0.000155400155400155","0.00676054620824189","0.417242315098885","1.7580741036946","0","160","REACTOME_PROGRAMMED_CELL_DEATH","GSN,TJP1,TFDP2,AKT3,SFN,E2F1,OCLN,YWHAH,BID,LMNA,SPTAN1,ROCK1,FAS,TP53BP2,APAF1,PLEC,PSMC6,PSMD14,DAPK2,PSMB7,PSME2,PSMD6,DNM1L,PSMC3,CYCS,PSMC1,PSMD12,PSMA2,PSMA3,PSMC5,PSMD13,DYNLL1,BAK1,PSMA4,YWHAZ,APPL1,PSMA7,LMNB1,PSMC2,BCL2L1,CASP8,BCAP31,TJP2,PSMA5,CASP3,BAX,PSMB2,PSMA6,PSMD11,GAS2,PPP3R1,PSMB4,PPP3CC,BIRC2,DFFA,MAPK8,CLSPN,PSMA1,YWHAE,YWHAQ"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","0.0001476450612727","0.00676054620824189","0.419204179243193","1.86985775682437","0","257","main","ITGB6,LAMC2,COL12A1,ITGB3,LOX,PCOLCE,FBLN5,TGFB2,ITGA3,LAMA3,SPARC,COL5A2,ICAM1,AGRN,PXDN,CAPN2,PLOD2,P4HA3,PDGFB,ADAM9,DDR1,BMP4,HTRA1,PDGFA,HSPG2,DAG1,SERPINH1,COL4A6,COL4A5,MMP11,THBS1,NTN4,ADAM10,MMP14,LAMC1,LAMA5,ITGAV,EFEMP1,PLEC,COL4A1,MMP19,MATN3,MMP3,ITGB2,P3H2,P3H1,LAMB2,COL4A3,ITGB1,F11R,COL4A4,TIMP2,ITGA2,COL4A2,FGG,COLGALT1,ITGB5,ICAM4,ITGA7,COLGALT2,CMA1,MMP13,LOXL3,COMP,MATN4,MFAP3,TIMP1,COL6A5,CAST,LRP4,CAPNS2,ADAM12,SERPINE1,ACTN1,ITGA6"
"REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1","0.000169606512890095","0.00676054620824189","0.509156997729791","1.8788498834115","0","70","REACTOME_CELL_CYCLE_MITOTIC","PSMC6,PSMD14,PSMB7,PSME2,PSMD6,PSMC3,PSMC1,PSMD12,CDC27,PSMA2,PSMA3,PSMC5,PSMD13,PSMA4,PSMA7,RB1,PSMC2,PSMA5,ANAPC10,PSMB2,PSMA6,AURKA,PSMD11,UBE2C,PSMB4,UBE2E1,PSMA1,PSMD2,ANAPC4,PSMB3,ANAPC16,PSMB8,PLK1,SKP2,PSME4,UBE2S,CDC16"
"REACTOME_SEPARATION_OF_SISTER_CHROMATIDS","0.000154130702836005","0.00676054620824189","0.473430061996878","2.01345451507447","0","172","REACTOME_CELL_CYCLE_MITOTIC","TUBA1A,TUBA8,TUBB2B,TUBB6,PSMC6,PSMD14,CENPC,CENPT,PSMB7,PSME2,PSMD6,DYNC1I2,PSMC3,CENPE,XPO1,NUF2,HDAC8,PSMC1,PSMD12,SEC13,CDC27,PSMA2,PSMA3,PSMC5,CENPH,PSMD13,PPP2CB,DYNLL1,CENPF,PSMA4,PAFAH1B1,SKA1,MAPRE1,PSMA7,NDE1,PPP2CA,ZWILCH,PSMC2,SKA2,CENPQ,PSMA5,ANAPC10,NUP160,RANBP2,PSMB2,BIRC5,MIS12,PSMA6,PSMD11,RANGAP1,UBE2C,SMC3,PSMB4,UBE2E1,DYNC1LI2,CLASP2,PSMA1,SPDL1,TAOK1,PPP2R5A,TUBA1B,CLIP1,PSMD2,CENPA,CENPL,KIF18A,SPC25,ANAPC4,PSMB3,ANAPC16,PSMB8,PLK1,NUP37,PSME4,CENPI,UBE2S,CDC16,ERCC6L,TUBA1C,NSL1"
"REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION","0.000160410651267244","0.00676054620824189","0.469447109426932","1.87409493514374","0","111","REACTOME_CELL_CYCLE_MITOTIC","TUBA1A,TUBA8,TUBB2B,TUBB6,CDK1,CENPC,CENPT,DYNC1I2,CENPE,XPO1,NUF2,HDAC8,CCNB1,SEC13,CENPH,PPP2CB,DYNLL1,CENPF,PAFAH1B1,SKA1,MAPRE1,NDE1,PPP2CA,ZWILCH,SKA2,CENPQ,NUP160,RANBP2,BIRC5,MIS12,RANGAP1,SMC3,DYNC1LI2,CLASP2,SPDL1,TAOK1,PPP2R5A,TUBA1B,CLIP1,CENPA,CENPL,KIF18A,SPC25,PLK1,NUP37,CENPI,CCNB2,ERCC6L,TUBA1C,NSL1,CDCA8,AURKB,ZWINT"
"REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE","0.000151103052281656","0.00676054620824189","0.463640485580619","2.02450644607459","0","214","REACTOME_CELL_CYCLE_MITOTIC","TUBA1A,TUBA8,TUBB2B,TUBB6,LMNA,CDK1,PSMC6,PSMD14,CENPC,CENPT,CHMP4C,PSMB7,PSME2,PSMD6,DYNC1I2,PSMC3,CENPE,XPO1,NUF2,HDAC8,CHMP2B,PSMC1,PSMD12,CCNB1,SEC13,CDC27,PSMA2,PSMA3,PSMC5,CENPH,PSMD13,PPP2CB,DYNLL1,CENPF,PSMA4,PAFAH1B1,SUMO1,SKA1,MAPRE1,PSMA7,NDE1,PPP2CA,ZWILCH,LMNB1,PSMC2,SKA2,CENPQ,PSMA5,ANAPC10,NUP160,RANBP2,PSMB2,BIRC5,MIS12,IST1,PSMA6,PSMD11,RANGAP1,UBE2C,SMC3,NUP93,TNPO1,PSMB4,UBE2E1,DYNC1LI2,CLASP2,NUP58,PSMA1,SPDL1,TAOK1,PPP2R5A,TUBA1B,CLIP1,PSMD2,NUP35,CENPA,CENPL,KIF18A,SPC25,ANAPC4,PSMB3,ANAPC16,PSMB8,PLK1,NUP37,NUP155,PSME4,BANF1,CENPI,CCNB2,UBE2S,CDC16,ERCC6L,TUBA1C,NSL1"
"REACTOME_LAMININ_INTERACTIONS","0.000180603214737222","0.00676054620824189","0.662490378910361","2.03776139898358","0","29","REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS","LAMC2,ITGA3,LAMA3,HSPG2,COL4A6,COL4A5,LAMC1,LAMA5,ITGAV,COL4A1,LAMB2,COL4A3,ITGB1,COL4A4,ITGA2,COL4A2,ITGA7"
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS","0.000171585449553878","0.00676054620824189","0.623293243898749","2.22007050443756","0","58","main","LAMC2,ITGB3,LAMA3,COL5A2,AGRN,PDGFB,DDR1,PDGFA,HSPG2,DAG1,COL4A6,COL4A5,THBS1,NTN4,LAMC1,LAMA5,ITGAV,COL4A1,LAMB2,COL4A3,ITGB1,COL4A4,ITGA2,COL4A2,ITGB5"
"REACTOME_ECM_PROTEOGLYCANS","0.000169204737732657","0.00676054620824189","0.514238978000082","1.89133493056406","0","68","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ITGB6,ITGB3,TGFB2,LAMA3,SPARC,COL5A2,AGRN,HSPG2,DAG1,COL4A6,COL4A5,LAMC1,LAMA5,ITGAV,COL4A1,MATN3,LAMB2,COL4A3,ITGB1,COL4A4,ITGA2,COL4A2,ITGB5,ITGA7,COMP,MATN4,COL6A5,LRP4,SERPINE1"
"REACTOME_MITOTIC_G2_G2_M_PHASES","0.000153209744139727","0.00676054620824189","0.461719125732306","1.98188298147518","0","186","main","AJUBA,TUBA1A,TUBA8,E2F1,TUBB2B,TUBB6,CEP290,CDK1,HMMR,CNTRL,PSMC6,PSMD14,CENPJ,PSMB7,HAUS3,PSME2,HSP90AA1,PSMD6,PLK4,DYNC1I2,PSMC3,DCTN3,XPO1,FBXL7,NINL,PSMC1,MYBL2,CCNA2,HAUS2,PCM1,MNAT1,PSMD12,CCNB1,PPP1R12B,PSMA2,PSMA3,CEP78,PSMC5,AKAP9,PSMD13,PPP2CB,DYNLL1,CENPF,PSMA4,BORA,PAFAH1B1,NEK2,PPP1CB,MAPRE1,PSMA7,NDE1,PPP2CA,PSMC2,LIN9,PSMA5,PSMB2,PSMA6,AURKA,PSMD11,MZT1,PSMB4,PSMA1,CEP135,SDCCAG8,YWHAE,HAUS6,TUBA1B,RBX1,PSMD2,FOXM1,PSMB3,PPME1,CDC25C,NME7,CSNK1E,PKMYT1,PSMB8,OFD1,PLK1,CEP76"
