Gene	gene_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
F3	F3	8020.63477404898	2.29122803016623	0.271716163250703	8.43243185372154	3.38554948874057e-17	5.62068926120709e-13
Rgcc	Rgcc	10009.4864303335	1.83634818915368	0.268099311375058	6.84950729539442	7.41047703063074e-12	6.15143698312657e-08
Nt5e	Nt5e	4272.46926795193	2.12643461071678	0.327905294708405	6.48490477290936	8.87878458871441e-11	4.91351939139456e-07
Pfkfb3	Pfkfb3	1730.09408769591	1.84660246458177	0.287251447696049	6.42852274337612	1.288499771965e-10	5.34791830354073e-07
Itgb6	Itgb6	6850.61406838283	1.93428245325525	0.304046726594241	6.36179338262241	1.99411574331215e-10	5.38754104600939e-07
Anxa8	Anxa8	1686.3301871257	1.95359637950946	0.307311038812231	6.35706542485486	2.05644422496061e-10	5.38754104600939e-07
Prkcdbp	Prkcdbp	865.909301338834	1.97621886664552	0.311620042678168	6.34175789741002	2.27158097350113e-10	5.38754104600939e-07
S100a6	S100a6	12635.0420778793	1.89623315962501	0.315853581214057	6.0035195812452	1.93085467649254e-09	4.00700616739114e-06
Ctgf	Ctgf	10510.1763097512	1.90369572062634	0.320115458091502	5.94690344532563	2.73262487995221e-09	4.82495065262868e-06
Map6	Map6	3790.6377073481	1.69318541994851	0.285201309843454	5.9368080072209	2.90624662849577e-09	4.82495065262868e-06
Fam46b	Fam46b	980.030834282461	1.90208845064792	0.322030058348187	5.9065556190762	3.49334391369219e-09	5.27240869591979e-06
Tnfrsf12a	Tnfrsf12a	3919.29822132559	1.63379522351693	0.280712530435738	5.82017204925215	5.87870825681836e-09	8.1331928733082e-06
Cyr61	Cyr61	17965.4126129962	1.76061057013414	0.313947590316962	5.60797605854093	2.04706335432191e-08	2.36832168977975e-05
Gcnt2	Gcnt2	1773.8715336022	1.60965912688819	0.287128941359964	5.60604973941033	2.06996498847837e-08	2.36832168977975e-05
2200002D01Rik	2200002D01Rik	2659.89759194392	1.71593169780905	0.306399873100822	5.60030159426475	2.13979191342587e-08	2.36832168977975e-05
Trim16	Trim16	2811.98250742816	1.63362818994166	0.293366898106258	5.56854982783355	2.56868176383083e-08	2.66532841519496e-05
Gramd2	Gramd2	3894.75830665855	1.53118669309574	0.276224136456616	5.54327624203191	2.96863961049629e-08	2.80711945983675e-05
S100a14	S100a14	2348.53373373701	1.73662170238527	0.313530976129199	5.5389158794621	3.04349778804129e-08	2.80711945983675e-05
Zfp365	Zfp365	1105.109338192	1.74126063361861	0.315869172518893	5.51260073825173	3.53569694236723e-08	3.08945477037794e-05
Lamc2	Lamc2	23928.6944390118	1.39980744954962	0.257289502029109	5.44059294495137	5.31035254415681e-08	4.40812364690457e-05
Tacstd2	Tacstd2	5532.91460979528	1.43163402224492	0.264627534212401	5.40999645598416	6.30259962818774e-08	4.98265519177014e-05
Anxa1	Anxa1	13959.278820758	1.39498725403936	0.259309327477048	5.37962620786493	7.46406527656335e-08	5.63265507825021e-05
Col12a1	Col12a1	2089.18301207037	1.5095703497901	0.281799209839046	5.35690057701834	8.4661676016771e-08	6.11110063143666e-05
Gm26705	Gm26705	152.729510675663	2.82409787218798	0.530398115141512	5.32448700620759	1.01238338227801e-07	7.0031620469081e-05
2310007B03Rik	2310007B03Rik	2924.30152669931	1.46594475010678	0.27600121668257	5.31137060816933	1.08803808863048e-07	7.22544333897731e-05
Fam198b	Fam198b	1068.1405446377	1.62530779623301	0.307716077558402	5.28184230453329	1.27891260076077e-07	8.16634884531938e-05
Sphk1	Sphk1	1915.24208082023	1.98254086138795	0.384520720530748	5.15587523775436	2.52448948270815e-07	0.00015522805330341
Slc39a2	Slc39a2	794.734958346098	2.0034437054253	0.390240002776934	5.13387579737819	2.83835443858236e-07	0.000168294144247658
Adh1	Adh1	2549.06711443781	-1.41161552261909	0.276351283522963	-5.10804764364987	3.2550458609995e-07	0.000186345763394185
Igfals	Igfals	665.54360752998	-1.98169531133605	0.392030615201773	-5.05495039033137	4.30502658874851e-07	0.000238240171421343
Krt7	Krt7	30679.6746601529	1.26734763828409	0.256817152490483	4.93482474201585	8.02227632027768e-07	0.000429631714416936
Hbegf	Hbegf	1697.5572827651	1.39552798934239	0.28565388008501	4.88538082845955	1.03229128982988e-06	0.000533636389392115
Pdpn	Pdpn	5837.15089320936	1.61458419452813	0.330855617210842	4.88002654493007	1.0607156276316e-06	0.000533636389392115
Ehd2	Ehd2	11642.2034546835	1.38707284003519	0.287203858139051	4.82957592917722	1.36824133632971e-06	0.00066810419605135
Scnn1b	Scnn1b	8951.34627376454	1.36207023539543	0.289129665951236	4.71093213805724	2.46586342084365e-06	0.00116966470036704
Slc27a6	Slc27a6	511.28382840223	-1.71500986203011	0.365226103533836	-4.69574831983834	2.65632446976547e-06	0.00122107600260263
Flrt3	Flrt3	4426.35321469307	1.75846395483578	0.375159430807784	4.68724443645066	2.76908161024704e-06	0.00122107600260263
