##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	927-1-GFP-TdT_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	106851634
Sequences flagged as poor quality	0
Sequence length	150
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.28246694851667	37.0	37.0	37.0	37.0	37.0
2	36.206708808964024	37.0	37.0	37.0	37.0	37.0
3	36.353926585717915	37.0	37.0	37.0	37.0	37.0
4	36.388894006057036	37.0	37.0	37.0	37.0	37.0
5	36.41476299744747	37.0	37.0	37.0	37.0	37.0
6	36.38847527591389	37.0	37.0	37.0	37.0	37.0
7	36.31719366125931	37.0	37.0	37.0	37.0	37.0
8	36.408987905603766	37.0	37.0	37.0	37.0	37.0
9	36.40426490810613	37.0	37.0	37.0	37.0	37.0
10-14	36.41344339198407	37.0	37.0	37.0	37.0	37.0
15-19	36.401681879754875	37.0	37.0	37.0	37.0	37.0
20-24	36.39671709653031	37.0	37.0	37.0	37.0	37.0
25-29	36.333713713727576	37.0	37.0	37.0	37.0	37.0
30-34	36.26971164147101	37.0	37.0	37.0	37.0	37.0
35-39	36.227272447700706	37.0	37.0	37.0	37.0	37.0
40-44	36.190735649395876	37.0	37.0	37.0	37.0	37.0
45-49	36.12597013163131	37.0	37.0	37.0	37.0	37.0
50-54	36.127238986349994	37.0	37.0	37.0	37.0	37.0
55-59	36.143753054819925	37.0	37.0	37.0	37.0	37.0
60-64	36.08124191905198	37.0	37.0	37.0	37.0	37.0
65-69	36.050744455625264	37.0	37.0	37.0	37.0	37.0
70-74	36.0094099131886	37.0	37.0	37.0	37.0	37.0
75-79	36.03588167870227	37.0	37.0	37.0	37.0	37.0
80-84	36.02721598623377	37.0	37.0	37.0	37.0	37.0
85-89	36.00104917440944	37.0	37.0	37.0	37.0	37.0
90-94	35.9587695233561	37.0	37.0	37.0	37.0	37.0
95-99	35.928884026237725	37.0	37.0	37.0	37.0	37.0
100-104	35.90929175495809	37.0	37.0	37.0	37.0	37.0
105-109	35.869890341592715	37.0	37.0	37.0	37.0	37.0
110-114	35.827711690398665	37.0	37.0	37.0	37.0	37.0
115-119	35.78504371959347	37.0	37.0	37.0	37.0	37.0
120-124	35.70893381752122	37.0	37.0	37.0	37.0	37.0
125-129	35.639197721580935	37.0	37.0	37.0	37.0	37.0
130-134	35.52423583339867	37.0	37.0	37.0	37.0	37.0
135-139	35.389281315061595	37.0	37.0	37.0	37.0	37.0
140-144	35.24444786497135	37.0	37.0	37.0	32.2	37.0
145-149	35.12389780581175	37.0	37.0	37.0	27.4	37.0
150	35.012986614692295	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.007778559891406189
1101	2	-0.036593760669013875
1101	3	7.365593093524581E-4
1101	4	-0.019694333084970594
1101	5	0.00827818349663545
1101	6	-0.030378003246902097
1101	7	-0.003931418880227966
1101	8	0.004328459664385775
1101	9	-7.028781827855823E-4
1101	10-14	-0.016112048812601643
1101	15-19	-0.045819206006200375
1101	20-24	-0.0188063018538287
1101	25-29	-0.011633522233942983
1101	30-34	-0.038177681392724594
1101	35-39	-0.06108547665514408
1101	40-44	-0.04021849766336061
1101	45-49	-0.06412401336227447
1101	50-54	-0.04496374231464273
1101	55-59	-0.06497839405826511
1101	60-64	-0.12563907846261202
1101	65-69	-0.1144984270405871
1101	70-74	-0.08004404964140832
1101	75-79	-0.16227153291895746
1101	80-84	-0.1032261610542875
1101	85-89	-0.10708564048593416
1101	90-94	-0.07171583035366069
1101	95-99	-0.12519234167248072
1101	100-104	-0.1705045377689487
1101	105-109	-0.11862849848279211
1101	110-114	-0.09767952695276705
1101	115-119	-0.09298241662997953
1101	120-124	-0.18888447940742736
1101	125-129	-0.17872955171480953
1101	130-134	-0.16893812683095177
1101	135-139	-0.2259371070251177
1101	140-144	-0.3467357116549934
1101	145-149	-0.3640209176714322
1101	150	-0.32618087229791115
1102	1	0.014944675287665632
1102	2	-0.003113973420745708
1102	3	0.014851420144289307
1102	4	-0.016177078724119553
1102	5	-0.0014246895418494887
1102	6	-0.051004185285087544
1102	7	-0.0506027357693668
1102	8	0.01315829877253094
1102	9	-0.002189826657691185
1102	10-14	0.006236264147595705
1102	15-19	-0.020697084429826873
1102	20-24	-0.019655506818153867
1102	25-29	-0.018055328104253476
1102	30-34	-0.012413260459389619
1102	35-39	-0.03369737786952243
1102	40-44	-0.06672594744692617
1102	45-49	0.0037033433944557714
1102	50-54	-0.03597098746003269
1102	55-59	-0.060364791314746924
1102	60-64	-0.07492846240480588
1102	65-69	-0.06259134795114818
1102	70-74	-0.04116416580559701
1102	75-79	-0.12102106136336488
1102	80-84	-0.04586939893358988
1102	85-89	-0.03863414177443758
1102	90-94	-0.04987677343964947
1102	95-99	-0.025680433577846884
1102	100-104	-0.09246764327136958
1102	105-109	-0.08291190913755742
1102	110-114	-0.06113213748272983
1102	115-119	-0.02671381316574184
1102	120-124	-0.157283083512894
1102	125-129	-0.111288434154595
1102	130-134	-0.1384567973132107
1102	135-139	-0.19033074426830154
1102	140-144	-0.25603140180032824
1102	145-149	-0.34314612558628
1102	150	-0.3746386868101226
1103	1	0.05421966863343641
1103	2	0.007264237468795898
1103	3	0.01653687978743079
1103	4	0.07194992575062287
1103	5	0.04730957454810891
1103	6	0.001383101615452631
1103	7	-0.029278824586320695
1103	8	2.3148813578899308E-4
1103	9	0.04136720814602057
1103	10-14	-0.01560154452808149
1103	15-19	0.01058746236044783
1103	20-24	-0.017022651992554927
1103	25-29	-0.0268346380457416
1103	30-34	-0.044764763718468714
1103	35-39	-0.037909415639276745
1103	40-44	-0.0389620430911819
1103	45-49	-0.0434573475950657
1103	50-54	-0.04142549819214025
1103	55-59	-0.060635770638292286
1103	60-64	-0.09617426546586927
1103	65-69	-0.09177570054534812
1103	70-74	-0.14101509912842403
1103	75-79	-0.14489515976001854
1103	80-84	-0.10106169124703968
1103	85-89	-0.13416543575053907
1103	90-94	-0.11706466620331213
1103	95-99	-0.1830048066778147
1103	100-104	-0.14635953800205215
1103	105-109	-0.08705264818075165
1103	110-114	-0.07134496540495405
1103	115-119	-0.1316390411104038
1103	120-124	-0.12255122807498964
1103	125-129	-0.1449075949935832
1103	130-134	-0.13575762697329452
1103	135-139	-0.2151319946666561
1103	140-144	-0.2533333056857998
1103	145-149	-0.27256927848556955
1103	150	-0.32080155370285013
1104	1	0.07183372022438306
1104	2	-0.02285196167473913
1104	3	0.015284560988433782
1104	4	-0.006016995320145213
1104	5	0.04047517342559104
1104	6	-0.008532232378620108
1104	7	-0.022900961536144848
1104	8	0.054342599197312325
1104	9	-0.019680434573821515
1104	10-14	-0.014926078808528587
1104	15-19	-0.008600219084506477
1104	20-24	0.0029931896941093328
1104	25-29	-0.010137283131420816
1104	30-34	-0.041697221162714015
1104	35-39	-0.044909566916246035
1104	40-44	-0.02663658315049844
1104	45-49	-0.027401386130371463
1104	50-54	-0.003844409209307287
1104	55-59	-0.010063954173979539
1104	60-64	-0.04347819930622876
1104	65-69	-0.060094106249906076
1104	70-74	-0.043670049789383825
1104	75-79	-0.03827564925772009
1104	80-84	-0.04700272239060155
1104	85-89	-0.03664536924222972
1104	90-94	-0.04400417282625568
1104	95-99	-0.01571075864492144
1104	100-104	-0.11845991211873041
1104	105-109	-0.06213509263184136
1104	110-114	-0.10464387542253206
1104	115-119	-0.06558632384465568
1104	120-124	-0.08956236589632738
1104	125-129	-0.10230225484281874
1104	130-134	-0.14468421659729813
1104	135-139	-0.17549883458038806
1104	140-144	-0.13559521294456545
1104	145-149	-0.20778319108615761
1104	150	-0.16272347605359982
1105	1	-0.0017256398161862307
1105	2	0.03181345847742989
1105	3	0.021879464663697945
1105	4	0.0456716431683688
1105	5	-0.012812079528643494
