##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	980-3-GFP_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	132311812
Sequences flagged as poor quality	0
Sequence length	150
%GC	52
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.03202178200084	37.0	37.0	37.0	37.0	37.0
2	35.86162478826909	37.0	37.0	37.0	37.0	37.0
3	36.04424670716474	37.0	37.0	37.0	37.0	37.0
4	36.020010881568155	37.0	37.0	37.0	37.0	37.0
5	36.064743433488765	37.0	37.0	37.0	37.0	37.0
6	36.025795013675726	37.0	37.0	37.0	37.0	37.0
7	35.96678597372697	37.0	37.0	37.0	37.0	37.0
8	36.038286679952655	37.0	37.0	37.0	37.0	37.0
9	36.03196224838943	37.0	37.0	37.0	37.0	37.0
10-14	35.992728055148994	37.0	37.0	37.0	37.0	37.0
15-19	36.00084017442071	37.0	37.0	37.0	37.0	37.0
20-24	35.972766174496954	37.0	37.0	37.0	37.0	37.0
25-29	35.91845973812225	37.0	37.0	37.0	37.0	37.0
30-34	35.86021784358905	37.0	37.0	37.0	37.0	37.0
35-39	35.830528548728516	37.0	37.0	37.0	37.0	37.0
40-44	35.806009717409054	37.0	37.0	37.0	37.0	37.0
45-49	35.78273585430151	37.0	37.0	37.0	37.0	37.0
50-54	35.75060691935804	37.0	37.0	37.0	37.0	37.0
55-59	35.73929937260628	37.0	37.0	37.0	37.0	37.0
60-64	35.72501079948931	37.0	37.0	37.0	37.0	37.0
65-69	35.68557211354645	37.0	37.0	37.0	37.0	37.0
70-74	35.640933107317736	37.0	37.0	37.0	37.0	37.0
75-79	35.5991209930675	37.0	37.0	37.0	37.0	37.0
80-84	35.588891783902106	37.0	37.0	37.0	37.0	37.0
85-89	35.601275536911245	37.0	37.0	37.0	37.0	37.0
90-94	35.57007758611907	37.0	37.0	37.0	37.0	37.0
95-99	35.52890594378679	37.0	37.0	37.0	37.0	37.0
100-104	35.445951622217976	37.0	37.0	37.0	37.0	37.0
105-109	35.407031766748084	37.0	37.0	37.0	37.0	37.0
110-114	35.328560416057186	37.0	37.0	37.0	37.0	37.0
115-119	35.22958818824128	37.0	37.0	37.0	37.0	37.0
120-124	35.0942561061744	37.0	37.0	37.0	27.4	37.0
125-129	34.92363146987965	37.0	37.0	37.0	25.0	37.0
130-134	34.66943513705337	37.0	37.0	37.0	25.0	37.0
135-139	34.4559331543279	37.0	37.0	37.0	25.0	37.0
140-144	34.089679728670035	37.0	37.0	37.0	25.0	37.0
145-149	33.62308389216225	37.0	37.0	37.0	25.0	37.0
150	33.45419984120541	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.11243351048958772
1101	2	-0.05109018232430884
1101	3	-0.009515598097159739
1101	4	-0.08658771841020041
1101	5	-0.03933498212234099
1101	6	-0.030030582967626174
1101	7	0.004422929787324392
1101	8	0.01530846515330353
1101	9	0.0388491260190591
1101	10-14	0.040792097720981246
1101	15-19	0.023077780591933106
1101	20-24	0.012635472143976756
1101	25-29	0.020497568319420623
1101	30-34	0.027151703229357338
1101	35-39	0.035891609422044723
1101	40-44	0.0486961427838537
1101	45-49	0.018197528413594455
1101	50-54	0.0017131606881193306
1101	55-59	0.02293420361541365
1101	60-64	0.00352761126435297
1101	65-69	0.021827567884720622
1101	70-74	0.0078057027111739785
1101	75-79	0.004053946321754154
1101	80-84	0.0030222193245066364
1101	85-89	-0.031729224239633425
1101	90-94	2.838519088470548E-4
1101	95-99	-0.017392191376934818
1101	100-104	-0.02860319457693805
1101	105-109	-0.004460176124133852
1101	110-114	-0.009797005866971631
1101	115-119	0.006784369080463648
1101	120-124	-0.0018796209472711212
1101	125-129	-0.041076809385877766
1101	130-134	-0.09229281087844754
1101	135-139	-0.1421498278540696
1101	140-144	-0.10558575901708167
1101	145-149	-0.19253476482062837
1101	150	-0.11834077582408042
1102	1	-0.1422512751738978
1102	2	-0.06433086678818256
1102	3	-0.08726954997382563
1102	4	-0.028263466178330532
1102	5	-0.07063119005184149
1102	6	-0.06318199690051074
1102	7	-0.003992280474150789
1102	8	-0.018187114296985385
1102	9	-0.07459868423973859
1102	10-14	-0.022096068934324364
1102	15-19	-0.040125334349077946
1102	20-24	-0.02562192266589136
1102	25-29	-0.04322260581921711
1102	30-34	-0.04376880646438508
1102	35-39	-0.055659128629301335
1102	40-44	-0.04354683356073963
1102	45-49	-0.019956641800440877
1102	50-54	-0.07953340511187434
1102	55-59	-0.05684619603056973
1102	60-64	-0.08179989452699488
1102	65-69	-0.08082895588116656
1102	70-74	-0.0868784761849355
1102	75-79	-0.02995344388973109
1102	80-84	-0.07862558924028207
1102	85-89	-0.04851527863483085
1102	90-94	-0.06775524814067069
1102	95-99	-0.07940549700528976
1102	100-104	-0.06849387554002107
1102	105-109	-0.08418445478864811
1102	110-114	-0.06887466533497388
1102	115-119	-0.0427817443035039
1102	120-124	-0.12999145835158288
1102	125-129	-0.11584617914598283
1102	130-134	-0.09896179336589483
1102	135-139	-0.1460363431463776
1102	140-144	-0.15817422802381742
1102	145-149	-0.16988104169098506
1102	150	-0.23568343512241796
1103	1	-0.07235285582562767
1103	2	-0.047638817390605936
1103	3	-0.07649573910331497
1103	4	0.002775337438968961
1103	5	-0.029806491539901003
1103	6	6.778781739669171E-4
1103	7	0.04388586977139397
1103	8	7.709452642927772E-4
1103	9	0.05530451098091049
1103	10-14	0.060437447385204734
1103	15-19	0.029935330295472795
1103	20-24	0.016124339403830845
