Insert_Size	DF_927_1_GFP
54	1
55	4
56	4
57	6
58	6
59	6
60	13
61	8
62	21
63	20
64	31
65	23
66	31
67	69
68	50
69	58
70	59
71	93
72	123
73	126
74	194
75	159
76	244
77	280
78	252
79	285
80	365
81	472
82	447
83	428
84	427
85	460
86	596
87	617
88	596
89	697
90	736
91	727
92	957
93	923
94	930
95	1015
96	1035
97	1662
98	1281
99	1431
100	176375
101	191521
102	223236
103	227410
104	231723
105	233200
106	227653
107	231463
108	231334
109	230591
110	232808
111	236558
112	238151
113	240756
114	236992
115	231582
116	224897
117	218849
118	218609
119	213487
120	213042
121	216271
122	217939
123	217891
124	214889
125	209763
126	203183
127	196416
128	192920
129	194953
130	189491
131	187551
132	192091
133	189481
134	189350
135	182938
136	177576
137	172981
138	167494
139	162633
140	161172
141	159939
142	162229
143	161504
144	158028
145	155582
146	156715
147	149197
148	147767
149	146664
150	236778
151	235060
152	236149
153	235423
154	235169
155	229861
156	224232
157	215605
158	205000
159	198644
160	193548
161	188644
162	188869
163	190285
164	191131
165	187775
166	185828
167	177047
168	168913
169	163415
170	158848
171	156250
172	156257
173	156353
174	157355
175	157116
176	155172
177	152497
178	148107
179	141464
180	136861
181	134367
182	132455
183	134032
184	137651
185	137766
186	136962
187	135173
188	130298
189	126527
190	123034
191	120817
192	119068
193	120804
194	122007
195	124717
196	123996
197	122863
198	120191
199	116994
200	111536
201	109665
202	108916
203	109112
204	109235
205	111354
206	112433
207	112653
208	112319
209	109116
210	106933
211	103061
212	100361
213	100834
214	100808
215	102029
216	103094
217	103713
218	104457
219	101710
220	99508
221	97115
222	94279
223	93332
224	92683
225	93000
226	94231
227	96421
228	96949
229	95339
230	93780
231	91150
232	89691
233	87615
234	86106
235	87724
236	87204
237	89928
238	90182
239	89833
240	89697
241	87427
242	84810
243	81884
244	81261
245	80809
246	81823
247	83436
248	82835
249	83560
250	82115
251	80500
252	77309
253	76680
254	74721
255	73571
256	74531
257	75055
258	76282
259	76248
260	76323
261	73704
262	72036
263	73166
264	70021
265	68883
266	69026
267	69079
268	70393
269	70492
270	69948
271	69004
272	67733
273	66742
274	64703
275	64115
276	62955
277	62681
278	64258
279	64198
280	64639
281	64169
282	62151
283	61210
284	60570
285	59242
286	59163
287	58605
288	59098
289	59676
290	59391
291	58880
292	58635
293	57325
294	55829
295	54525
296	54861
297	54834
298	54542
299	55221
300	55528
301	55645
302	55609
303	55209
304	55289
305	53625
306	52602
307	51885
308	52506
309	52568
310	52891
311	54831
312	53221
313	52724
314	54208
315	50200
316	50450
317	50408
318	50694
319	51855
320	50151
321	50646
322	52453
323	50874
324	51799
325	50149
326	49021
327	49695
328	50428
329	49466
330	50593
331	48179
332	48942
333	50242
334	48749
335	49608
336	47665
337	47744
338	47317
339	48838
340	48237
341	50302
342	49344
343	51764
344	51500
345	48022
346	48675
347	48525
348	47134
349	47263
350	49557
351	50513
352	49011
353	49097
354	46831
355	45605
356	45651
357	45948
358	47969
359	46074
360	46811
361	46430
362	45514
363	45152
364	43144
365	42467
366	41853
367	39988
368	40489
369	41376
370	40841
371	39416
372	40019
373	40988
374	39592
375	38719
376	38227
377	38358
378	36454
379	36486
380	36104
381	36010
382	35452
383	36494
384	36974
385	36007
386	34847
387	34739
388	34917
389	34579
390	34192
391	35600
392	33836
393	35463
394	35265
395	33642
396	33779
397	33164
398	34691
399	33327
400	33293
401	33672
402	33683
403	32064
404	31519
405	31149
406	32694
407	31002
408	33122
409	32701
410	32273
411	30935
412	30415
413	32242
414	31096
415	30398
416	29775
417	28356
418	27596
419	28521
420	28199
421	28283
422	27346
423	27301
424	27283
425	27430
426	27715
427	27441
428	27343
429	27440
430	26212
431	29227
432	27805
433	27213
434	28783
435	28639
436	28549
437	34819
438	32124
439	30579
440	31835
441	32357
442	31704
443	33669
444	32793
445	34154
446	41974
447	34880
448	34156
449	34179
450	32923
451	31468
452	32473
453	31322
454	29764
455	31523
456	31556
457	30051
458	31183
459	30187
460	30144
461	28614
462	30803
463	29963
464	30726
465	32020
466	29315
467	31226
468	32565
469	30332
470	30917
471	30598
472	28883
473	28726
474	27973
475	30177
476	29926
477	28544
478	30168
479	35412
480	28579
481	27802
482	27692
483	27484
484	28283
485	30799
486	31952
487	26874
488	29005
489	30984
490	32953
491	34971
492	31423
493	28129
494	29616
495	28742
496	28330
497	29695
498	28807
499	26724
500	30049
501	25934
502	26887
503	28348
504	26208
505	24579
506	24612
507	23880
508	24842
509	25386
510	26635
511	25904
512	23119
513	23006
514	21509
515	22452
516	22906
517	25651
518	23301
519	21615
520	23702
521	24580
522	20617
523	21668
524	21894
525	20990
526	21483
527	23919
528	22150
529	19437
530	20036
531	22348
532	23032
533	21863
534	20087
535	18345
536	19470
537	19042
538	19736
539	18421
540	19058
541	19243
542	17378
543	18765
544	18434
545	18974
546	16922
547	17378
548	17162
549	18171
550	18352
551	20388
552	20088
553	19059
554	17180
555	17597
556	16961
557	18269
558	18157
559	21764
560	17234
561	17196
562	16459
563	16275
564	17777
565	18552
566	17040
567	16302
568	15807
569	15597
570	15610
571	15850
572	16312
573	16807
574	18742
575	16063
576	15964
577	14859
578	15854
579	15109
580	15546
581	15707
582	16411
583	15095
584	14564
585	14564
586	14503
587	14526
588	14674
589	13949
590	14444
591	14035
592	13623
593	13783
594	13655
595	13534
596	13226
597	13001
598	13055
599	13002
600	13169
601	13032
602	13049
603	13238
604	13311
605	13178
606	13044
607	13497
608	12835
609	12850
610	12964
611	12590
612	12913
613	12744
614	12188
615	12639
616	12650
617	12255
618	12529
619	12662
620	12458
621	12262
622	12482
623	12116
624	11804
625	11977
626	12071
627	12017
628	12229
629	11976
630	12007
631	12425
632	12553
633	12662
634	12196
635	11994
636	12939
637	12729
638	12528
639	12774
640	12961
641	12714
642	13186
643	12675
644	12496
645	12097
646	12267
647	12730
648	12706
649	12070
650	13219
651	12851
652	12127
653	11969
654	12490
655	12281
656	12563
657	12007
658	11991
659	11645
660	11625
661	11900
662	11430
663	11769
