Insert_Size	DF_927_1_GFP_tdt
54	7
55	8
56	4
57	17
58	23
59	19
60	22
61	26
62	49
63	38
64	54
65	44
66	63
67	96
68	101
69	94
70	96
71	170
72	208
73	164
74	277
75	216
76	324
77	344
78	425
79	398
80	528
81	708
82	669
83	577
84	619
85	620
86	823
87	822
88	778
89	870
90	961
91	884
92	1191
93	1157
94	1210
95	1318
96	1364
97	1872
98	1514
99	1705
100	183564
101	198214
102	229584
103	234848
104	240732
105	243623
106	244876
107	246766
108	248493
109	246237
110	249558
111	250441
112	253214
113	255934
114	255302
115	249005
116	246431
117	241950
118	242614
119	237082
120	236588
121	238711
122	238139
123	238936
124	237341
125	234164
126	230020
127	225768
128	222963
129	223382
130	218378
131	217052
132	220202
133	217803
134	216492
135	213047
136	209725
137	205585
138	200672
139	197793
140	196536
141	194734
142	197377
143	195009
144	193468
145	191039
146	192638
147	187657
148	190423
149	189540
150	308956
151	306568
152	305640
153	302713
154	302144
155	297800
156	291242
157	284988
158	276938
159	270838
160	265537
161	261937
162	259845
163	259826
164	258682
165	254708
166	251765
167	244026
168	236695
169	230753
170	225476
171	223375
172	222682
173	220253
174	219344
175	217112
176	214316
177	212417
178	206869
179	201929
180	194681
181	192300
182	188657
183	190024
184	190188
185	189248
186	185674
187	183086
188	178239
189	174856
190	170746
191	167017
192	163828
193	163701
194	164526
195	163927
196	163131
197	161677
198	158129
199	155743
200	151090
201	147938
202	146055
203	143182
204	142955
205	144249
206	143266
207	143472
208	141676
209	138914
210	136357
211	132737
212	129982
213	127983
214	127889
215	127759
216	127329
217	127483
218	127836
219	124749
220	121594
221	120668
222	119365
223	115814
224	114470
225	114001
226	114307
227	116211
228	116685
229	115032
230	113351
231	110769
232	109434
233	106906
234	105432
235	105824
236	105507
237	106260
238	107184
239	107023
240	106360
241	104383
242	101472
243	99260
244	98609
245	98452
246	97967
247	98015
248	99003
249	97729
250	98156
251	96613
252	94057
253	93633
254	91088
255	89731
256	90046
257	90143
258	90600
259	90957
260	91060
261	90399
262	88405
263	87114
264	85790
265	84602
266	84754
267	84821
268	84284
269	84662
270	83844
271	84566
272	83556
273	81397
274	79799
275	79281
276	76721
277	76926
278	78259
279	78639
280	78688
281	77790
282	76377
283	75646
284	74211
285	73042
286	73063
287	72324
288	72746
289	72952
290	72844
291	73008
292	71587
293	70670
294	69554
295	69473
296	68187
297	69053
298	68757
299	68461
300	68662
301	68413
302	67887
303	68221
304	66963
305	66902
306	66449
307	65712
308	65766
309	65203
310	65312
311	66953
312	64743
313	64551
314	65757
315	63333
316	63283
317	63026
318	63749
319	62629
320	62169
321	65134
322	62339
323	61907
324	61900
325	60398
326	60496
327	60707
328	61121
329	61646
330	60459
331	61155
332	59645
333	60140
334	59611
335	60839
336	58708
337	59345
338	58632
339	59174
340	59653
341	59781
342	59020
343	60535
344	60352
345	57748
346	58232
347	58064
348	56961
349	56364
350	57744
351	57735
352	56864
353	57609
354	56805
355	55981
