Type	DF_927_1_GFP_tdt	DF_927_1_GFP	DF_980_3_GFP_tdt	DF_980_3_GFP
Total reads	145377312	120260078	163282682	176520660
Mapped reads	145377312	120260078	163282682	176520660
Forward strand	72688656	60130039	81641341	88260330
Reverse strand	72688656	60130039	81641341	88260330
Failed QC	0	0	0	0
Duplicates	0	0	0	0
Paired-end reads	145377312	120260078	163282682	176520660
'Proper-pairs'	145377312	120260078	163282682	176520660
Both pairs mapped	145377312	120260078	163282682	176520660
Read 1	72688656	60130039	81641341	88260330
Read 2	72688656	60130039	81641341	88260330
Singletons	0	0	0	0
Junction Spanning Reads	62089756	56467551	82939981	91985560
