Read_Number	DF_927_1_GFP_tdt_R1	DF_927_1_GFP_tdt_R2	DF_927_1_GFP_R1	DF_927_1_GFP_R2	DF_980_3_GFP_tdt_R1	DF_980_3_GFP_tdt_R2	DF_980_3_GFP_R1	DF_980_3_GFP_R2
Total Deduplicated Percentage	31.443906719998317	32.811883471106015	26.984510093837734	28.15677885614497	23.40027382890745	25.926272442688358	23.387226311889155	25.611572888139012
1	19.47658611864835	20.879300169255135	16.13309812464243	17.327462144834346	13.855728358044816	16.534239946276863	14.331431870032304	16.704841284709723
2	10.434138209215298	10.516491325677121	9.114298602793463	9.182524182153141	7.92977762623107	7.903536873130615	7.719643880129999	7.602258907017981
3	6.684653875747133	6.741812183965538	6.2698526708059035	6.119295755868373	5.4538301107641995	5.316119142509749	4.995394803341367	5.053721374642445
4	4.764251210152284	4.680119803609398	4.424569560538883	4.4320138671411895	3.896582306261112	3.8160469965916834	3.6347781176900305	3.5107716487948757
5	3.7704377005583463	3.6000442528990746	3.4038963252763987	3.4854584922032	2.9868957751273277	2.9156897167322646	2.7544707634787433	2.6724064462185573
6	2.9017802285653085	2.941076205560363	2.7282273402239325	2.659374147494405	2.3229748081118844	2.2757333577859757	2.2649930604545068	2.1407971843548492
7	2.451051091297673	2.421295258877301	2.2197307194552933	2.3526857392869145	1.969026403794328	1.9364889211698446	1.8929205049406927	1.8020268242300013
8	2.126211098789884	2.0670591325347374	1.9885360960436387	1.9061807815902994	1.7037539717557542	1.6334133674945128	1.59368795908716	1.6283927788770727
9	1.8186811045569165	1.774062168799011	1.6698364433601725	1.604734193779556	1.4768653085680812	1.4838435412147173	1.4048471196452514	1.355746274256302
>10	20.682030677466056	20.264708167698547	19.4931414952185	19.17152739321587	18.34683728515004	17.8620489373212	17.095175563955166	16.681950670444223
>50	5.715002121200977	5.596287154392525	5.910813133434396	5.740383761636376	6.094890949898623	5.975864344726626	5.585619786885138	5.436708603101913
>100	9.638192980109224	9.45501132796552	10.765924942037438	10.675914409963188	12.693997633427548	12.141811300646701	12.300570123647468	11.922040027925371
>500	2.8078805911456586	2.6626420101582142	3.5274810826507195	3.5158028905215257	4.679330596214692	4.46765158306643	4.65882445115289	4.6045917776155
>1k	3.960301580204615	3.857066119716811	6.004366087182836	5.853266522513229	7.595323203557687	7.257383280819636	7.931733641539249	7.652799370101983
>5k	1.0200626611062162	0.9849148027563103	2.00398634871821	2.0455493273563694	2.3776294595366565	2.3664464004682095	2.396500234801815	2.4208076186734755
>10k+	1.7487387512359305	1.5581099161344774	4.3422410276175505	3.927826390442387	6.616556203556131	6.113682290044819	9.439408119218298	8.810139209035832
