Gene	count_DF_927_1_GFP_tdt	count_DF_927_1_GFP	count_DF_980_3_GFP_tdt	count_DF_980_3_GFP
0610005C13Rik	11	7	8	6
0610007P14Rik	1959	1378	2024	2297
0610009B22Rik	793	525	1256	1375
0610009L18Rik	185	137	163	326
0610009O20Rik	2635	2806	2074	2614
0610010B08Rik	1	0	0	0
0610010F05Rik	1235	623	1230	1053
0610010K14Rik	1691	1257	1992	3229
0610011F06Rik	2043	1829	3184	3412
0610012G03Rik	1977	1364	2873	3848
0610030E20Rik	3473	2200	2139	2981
0610031O16Rik	1	0	0	1
0610037L13Rik	1906	1257	2247	2168
0610038B21Rik	6	6	11	24
0610039H22Rik	2	0	1	6
0610039K10Rik	9	11	10	16
0610040B10Rik	38	22	50	52
0610040F04Rik	5	3	0	3
0610040J01Rik	3325	4169	4334	3310
0610043K17Rik	23	1	6	13
1010001N08Rik	623	159	185	282
1110001J03Rik	795	517	1335	1936
1110002L01Rik	147	91	147	189
1110004E09Rik	1796	1382	2569	2893
1110004F10Rik	5748	3696	6170	6378
1110006O24Rik	70	77	57	70
1110007C09Rik	1336	867	1454	1680
1110008F13Rik	4011	2280	6086	6557
1110008L16Rik	553	500	537	635
1110008P14Rik	2078	1927	4295	3600
1110012L19Rik	744	525	971	830
1110015O18Rik	0	0	0	0
1110017D15Rik	19	25	15	40
1110019D14Rik	72	60	108	145
1110020A21Rik	102	60	73	117
1110025L11Rik	0	0	0	0
1110028F11Rik	58	14	10	21
1110028F18Rik	2	4	0	4
1110032A03Rik	1031	822	886	1065
1110032F04Rik	4	5	3	5
1110034G24Rik	329	201	327	527
1110036E04Rik	4	6	6	1
1110037F02Rik	4329	3731	3769	3628
1110038B12Rik	1192	957	3027	2274
1110038F14Rik	1319	986	1272	1599
1110046J04Rik	97	25	31	22
1110051M20Rik	796	440	464	462
1110058D11Rik	2	0	1	0
1110059E24Rik	1669	1215	2502	2016
1110059G10Rik	1192	747	1389	1354
1110065P20Rik	464	275	719	843
1190002F15Rik	26	20	58	28
1190002N15Rik	6539	2033	1604	2043
1190003K10Rik	0	0	0	0
1190005I06Rik	5	6	5	4
1190007I07Rik	305	210	235	347
1200014J11Rik	3067	2767	2969	3840
1300002E11Rik	864	533	741	883
1300017J02Rik	18	16	25	8
1500004A13Rik	264	141	60	14
1500009C09Rik	0	0	0	0
1500009L16Rik	30	43	84	45
1500011B03Rik	714	383	647	705
1500011K16Rik	1081	759	1899	3407
1500012F01Rik	3108	1919	3740	7530
1500012K07Rik	0	0	0	0
1500015A07Rik	788	651	353	1263
1500015L24Rik	5	0	0	1
1500015O10Rik	7	11	10	11
1500017E21Rik	7	1	1	1
1500026H17Rik	30	18	10	23
1600002D24Rik	12	10	11	10
1600002H07Rik	497	359	486	567
1600002K03Rik	224	199	501	506
1600010M07Rik	0	2	0	0
1600012H06Rik	2223	1345	1996	1922
1600014C10Rik	840	651	995	1186
1600014C23Rik	1	4	0	3
1600014K23Rik	0	0	0	0
1600015I10Rik	0	0	0	0
1600019K03Rik	0	0	0	0
1600020E01Rik	528	236	458	511
1600023N17Rik	3	3	9	7
1600025M17Rik	0	0	0	0
1600027J07Rik	0	0	0	0
1600029I14Rik	3	0	0	0
1600029O15Rik	0	1	0	0
1700001C02Rik	12	2	0	2
1700001C19Rik	7	4	4	4
1700001D01Rik	3	0	1	0
1700001F09Rik	0	0	0	0
1700001G01Rik	2	0	0	0
1700001G11Rik	0	0	2	2
1700001G17Rik	29	17	68	132
1700001J03Rik	8	3	1	5
1700001J11Rik	5	2	1	4
1700001K19Rik	58	32	33	33
1700001K23Rik	5	0	4	1
1700001L05Rik	206	201	168	269
1700001L19Rik	16	6	7	11
1700001O22Rik	113	76	97	109
1700001P01Rik	19	11	31	35
1700003C15Rik	0	0	0	0
1700003D09Rik	3	0	0	11
1700003E16Rik	233	334	319	522
1700003E24Rik	0	0	0	0
1700003F12Rik	12	4	15	39
1700003G13Rik	0	1	0	0
1700003G18Rik	0	0	3	1
1700003H04Rik	0	0	0	0
1700003I22Rik	0	0	0	0
1700003L19Rik	0	0	0	0
1700003M02Rik	26	24	24	32
1700003M07Rik	12	11	8	2
1700003P14Rik	0	0	0	0
1700006A11Rik	0	0	0	0
1700006E09Rik	0	0	0	0
1700006F04Rik	0	1	0	0
1700006H21Rik	5	0	0	0
1700007B14Rik	0	0	0	0
1700007F19Rik	0	0	0	0
1700007G11Rik	9	3	0	2
1700007J10Rik	79	12	15	15
1700007K09Rik	3	4	0	2
1700007K13Rik	53	33	165	143
1700007L15Rik	66	49	95	150
1700007P06Rik	0	0	0	0
