Insert_Size	DF_927_1_GFP_tdt	DF_927_1_GFP	DF_980_3_GFP_tdt	DF_980_3_GFP
0	NA	NA	NA	NA
1	NA	NA	NA	NA
54	7	1	2	7
55	8	4	4	13
56	4	4	3	8
57	17	6	5	22
58	23	6	22	30
59	19	6	36	39
60	22	13	23	27
61	26	8	19	40
62	49	21	34	59
63	38	20	33	51
64	54	31	60	74
65	44	23	32	62
66	63	31	59	55
67	96	69	84	100
68	101	50	69	104
69	94	58	60	110
70	96	59	91	149
71	170	93	181	204
72	208	123	254	243
73	164	126	163	231
74	277	194	293	351
75	216	159	239	328
76	324	244	333	386
77	344	280	421	438
78	425	252	401	462
79	398	285	448	536
80	528	365	521	638
81	708	472	700	787
82	669	447	691	754
83	577	428	619	743
84	619	427	659	715
85	620	460	692	815
86	823	596	872	993
87	822	617	840	1038
88	778	596	864	974
89	870	697	1052	1146
90	961	736	1039	1131
91	884	727	1119	1330
92	1191	957	1473	1581
93	1157	923	1381	1589
94	1210	930	1486	1716
95	1318	1015	1528	1727
96	1364	1035	1469	1677
97	1872	1662	2760	2787
98	1514	1281	1952	2054
99	1705	1431	2158	2404
100	183564	176375	189357	224120
101	198214	191521	207522	243519
102	229584	223236	253377	293629
103	234848	227410	255475	296031
104	240732	231723	265037	305568
105	243623	233200	267944	309169
106	244876	227653	265167	309739
107	246766	231463	267297	311443
108	248493	231334	269048	314148
109	246237	230591	267120	310470
110	249558	232808	275643	320462
111	250441	236558	280208	320277
112	253214	238151	278474	322736
113	255934	240756	281846	325596
114	255302	236992	277920	318661
115	249005	231582	270703	312315
116	246431	224897	264780	304287
117	241950	218849	261971	299553
118	242614	218609	261533	300995
119	237082	213487	253970	292318
120	236588	213042	252534	293070
121	238711	216271	257531	295352
122	238139	217939	256474	292335
123	238936	217891	255147	292578
124	237341	214889	253533	286861
125	234164	209763	249924	284807
126	230020	203183	244543	280434
127	225768	196416	235204	269470
128	222963	192920	232725	265533
129	223382	194953	235428	270324
130	218378	189491	229611	259684
131	217052	187551	225138	257346
132	220202	192091	231549	263548
133	217803	189481	226744	257330
134	216492	189350	226265	256853
135	213047	182938	218820	250274
136	209725	177576	213886	248641
137	205585	172981	205809	238224
138	200672	167494	202544	236225
139	197793	162633	196413	230355
140	196536	161172	193381	229744
141	194734	159939	193358	226123
142	197377	162229	195097	230275
143	195009	161504	196667	226299
144	193468	158028	188937	219663
145	191039	155582	186746	216810
146	192638	156715	186507	217903
147	187657	149197	179178	212467
148	190423	147767	180588	213513
149	189540	146664	176622	212167
150	308956	236778	271811	317169
151	306568	235060	267009	312109
152	305640	236149	267873	310428
153	302713	235423	266961	307600
154	302144	235169	265077	305473
155	297800	229861	259413	299284
156	291242	224232	254597	293787
157	284988	215605	245318	285526
158	276938	205000	234751	277820
159	270838	198644	225655	268823
160	265537	193548	219526	261977
161	261937	188644	217450	258251
162	259845	188869	214886	255353
163	259826	190285	216939	255884
164	258682	191131	216227	255457
165	254708	187775	212018	247760
166	251765	185828	209229	245259
167	244026	177047	201454	235959
168	236695	168913	194018	228058
169	230753	163415	188054	223119
170	225476	158848	182513	219203
171	223375	156250	181666	215724
172	222682	156257	179530	212866
173	220253	156353	179729	210923
174	219344	157355	180202	211913
175	217112	157116	176991	206578
176	214316	155172	177202	205578
177	212417	152497	171843	201450
178	206869	148107	170132	197001
179	201929	141464	160767	190031
180	194681	136861	156320	183455
181	192300	134367	153395	181868
182	188657	132455	151682	177495
183	190024	134032	153204	179281
184	190188	137651	156808	181168
185	189248	137766	156315	179807
186	185674	136962	154946	176397
187	183086	135173	150842	172823
188	178239	130298	147752	168641
189	174856	126527	143800	163868
190	170746	123034	141741	161380
191	167017	120817	138603	159432
192	163828	119068	135267	156163
193	163701	120804	137440	156790
194	164526	122007	137533	156434
195	163927	124717	139586	157379
196	163131	123996	139856	156465
197	161677	122863	139129	154719
198	158129	120191	136074	151631
199	155743	116994	132902	147913
200	151090	111536	130153	145122
201	147938	109665	126806	142270
202	146055	108916	127095	142361
203	143182	109112	125558	138119
204	142955	109235	125357	138057
205	144249	111354	127624	138520
206	143266	112433	127600	138281
207	143472	112653	127663	138181
208	141676	112319	126421	136609
209	138914	109116	123255	131881
210	136357	106933	121596	132114
211	132737	103061	118975	130280
212	129982	100361	115495	125324
213	127983	100834	115204	124205
214	127889	100808	115982	123003
215	127759	102029	115705	123771
216	127329	103094	117797	123668
217	127483	103713	118475	123833
218	127836	104457	117583	123107
219	124749	101710	116520	121555
220	121594	99508	112922	118202
221	120668	97115	110787	116259
222	119365	94279	108590	115699
223	115814	93332	107021	113821
224	114470	92683	107956	111157
225	114001	93000	108523	111617
226	114307	94231	108014	110904
227	116211	96421	110711	112954
228	116685	96949	110899	111977
229	115032	95339	110033	111159
230	113351	93780	108625	110077
231	110769	91150	105608	106843
232	109434	89691	104936	107079
233	106906	87615	101717	103735
234	105432	86106	100989	103110
235	105824	87724	100870	102942
236	105507	87204	102088	101778
237	106260	89928	104751	103719
238	107184	90182	105444	105111
239	107023	89833	103948	103606
240	106360	89697	103952	103821
241	104383	87427	102814	102084
242	101472	84810	99941	99023
243	99260	81884	97083	96492
244	98609	81261	95693	96717
245	98452	80809	96014	95568
246	97967	81823	97417	96859
247	98015	83436	98508	97126
248	99003	82835	98514	96177
249	97729	83560	97672	95218
250	98156	82115	96864	95322
251	96613	80500	95951	94321
252	94057	77309	93865	93074
253	93633	76680	93022	92791
254	91088	74721	89580	89694
255	89731	73571	88734	88134
256	90046	74531	88477	88503
257	90143	75055	89155	88729
258	90600	76282	91034	89716
259	90957	76248	91409	88815
260	91060	76323	91450	89067
261	90399	73704	89776	87777
262	88405	72036	88203	87906
263	87114	73166	88919	86963
264	85790	70021	84539	83577
265	84602	68883	84094	83041
266	84754	69026	83862	83445
267	84821	69079	83891	82684
268	84284	70393	85879	83048
269	84662	70492	85737	82986
270	83844	69948	85027	82113
271	84566	69004	83699	81169
272	83556	67733	82588	80456
273	81397	66742	82262	79539
274	79799	64703	79224	78064
275	79281	64115	78702	77513
276	76721	62955	77949	75018
277	76926	62681	76879	74795
278	78259	64258	78539	75713
279	78639	64198	78976	76232
280	78688	64639	80034	75700
281	77790	64169	78884	75684
282	76377	62151	77312	73494
283	75646	61210	75755	73510
284	74211	60570	74770	72085
285	73042	59242	75327	72526
286	73063	59163	74011	71825
287	72324	58605	74127	70661
288	72746	59098	74444	71996
289	72952	59676	74537	71287
290	72844	59391	75451	71308
291	73008	58880	74585	70844
292	71587	58635	73475	70433
293	70670	57325	72099	69467
294	69554	55829	69776	68070
295	69473	54525	70021	67229
296	68187	54861	69611	66785
297	69053	54834	69807	66605
298	68757	54542	70056	66750
