Type	DF_927_1_GFP_tdt	DF_927_1_GFP	DF_980_3_GFP_tdt	DF_980_3_GFP
MEDIAN_INSERT_SIZE	365	378	477	461
MODE_INSERT_SIZE	150	113	113	113
MEDIAN_ABSOLUTE_DEVIATION	233	251	344	327
MIN_INSERT_SIZE	54	54	54	54
MAX_INSERT_SIZE	3229961	3257249	3259003	3257208
MEAN_INSERT_SIZE	546.186117	591.63787	775.86194	727.237432
STANDARD_DEVIATION	596.131317	643.240058	861.304713	804.213105
READ_PAIRS	72688656	60130039	81641341	88260330
PAIR_ORIENTATION	FR	FR	FR	FR
WIDTH_OF_10_PERCENT	141	151	193	167
WIDTH_OF_20_PERCENT	259	275	379	351
WIDTH_OF_30_PERCENT	349	373	523	503
WIDTH_OF_40_PERCENT	411	443	621	591
WIDTH_OF_50_PERCENT	467	503	689	655
WIDTH_OF_60_PERCENT	523	555	749	711
WIDTH_OF_70_PERCENT	1607	1607	1743	1591
WIDTH_OF_80_PERCENT	3685	3307	3493	3089
WIDTH_OF_90_PERCENT	9697	8547	8895	8083
WIDTH_OF_95_PERCENT	19887	17437	17947	17065
WIDTH_OF_99_PERCENT	75669	66467	64607	64881
SAMPLE				
LIBRARY				
READ_GROUP				
