Normalized_Position	DF_927_1_GFP_tdt	DF_927_1_GFP	DF_980_3_GFP_tdt	DF_980_3_GFP
0	0.123404	0.122419	0.119482	0.11857
1	0.249514	0.241668	0.234448	0.229741
2	0.458446	0.442852	0.432291	0.424449
3	0.65816	0.636591	0.622262	0.616815
4	0.832415	0.803122	0.798891	0.795692
5	0.972378	0.933122	0.957251	0.960678
6	1.078705	1.032942	1.082136	1.089882
7	1.149947	1.100067	1.16704	1.184147
8	1.199501	1.153611	1.228798	1.250914
9	1.23626	1.193522	1.274201	1.300542
10	1.260245	1.219377	1.310101	1.338811
11	1.282476	1.241349	1.335313	1.367149
12	1.299078	1.267414	1.356368	1.388272
13	1.307142	1.278808	1.36338	1.394839
14	1.319775	1.293728	1.370855	1.403816
15	1.327383	1.309884	1.378138	1.412671
16	1.334517	1.323823	1.387531	1.421335
17	1.337367	1.329227	1.395166	1.42567
18	1.338466	1.327274	1.39796	1.431945
19	1.335874	1.327859	1.39973	1.434382
20	1.335928	1.329484	1.399195	1.433709
21	1.333581	1.327896	1.399585	1.435518
22	1.334914	1.328048	1.397749	1.435799
23	1.329208	1.324389	1.387499	1.424947
24	1.321384	1.322213	1.379845	1.414256
25	1.313243	1.322424	1.370659	1.405196
26	1.300025	1.316861	1.355185	1.393299
27	1.290536	1.311954	1.340021	1.380638
28	1.289088	1.31353	1.333037	1.370605
29	1.288046	1.308661	1.327796	1.360664
30	1.281831	1.300026	1.315518	1.345757
31	1.27608	1.294143	1.307127	1.337422
32	1.274656	1.292475	1.304103	1.331296
33	1.270268	1.283713	1.296782	1.32047
34	1.261662	1.273106	1.288309	1.307044
35	1.26363	1.274684	1.286616	1.300457
36	1.259916	1.269076	1.278611	1.29258
37	1.247511	1.258144	1.267178	1.280763
38	1.23577	1.247572	1.256421	1.272626
39	1.224602	1.240166	1.24754	1.262473
40	1.214707	1.235305	1.240054	1.250887
41	1.207506	1.224768	1.229174	1.234867
42	1.2018	1.218678	1.226373	1.229773
43	1.189337	1.202052	1.211978	1.216607
44	1.182889	1.191814	1.196169	1.207256
45	1.173113	1.181562	1.186245	1.195336
46	1.165062	1.177431	1.177823	1.184827
47	1.155149	1.166451	1.168032	1.17548
48	1.146739	1.161998	1.162953	1.168173
49	1.142068	1.163636	1.157404	1.160121
50	1.132456	1.15457	1.147264	1.148046
51	1.124879	1.148745	1.139802	1.140718
52	1.114333	1.137227	1.125741	1.128318
53	1.110473	1.130485	1.117298	1.120449
54	1.102348	1.119817	1.108372	1.111875
55	1.088368	1.108369	1.096415	1.099406
56	1.080295	1.10725	1.089623	1.091645
57	1.074068	1.104129	1.080486	1.080978
58	1.076279	1.10709	1.077011	1.074671
59	1.074357	1.092073	1.072393	1.065428
60	1.066664	1.077449	1.067578	1.057642
61	1.056118	1.064097	1.058107	1.049649
62	1.043265	1.043651	1.042367	1.030668
63	1.038286	1.035925	1.03251	1.025139
64	1.033104	1.029801	1.023207	1.015496
65	1.02965	1.025217	1.016585	1.00378
66	1.019286	1.011094	1.005315	0.990026
67	1.009474	0.997648	0.990748	0.976056
68	0.993537	0.981446	0.973597	0.958198
69	0.981163	0.972903	0.961849	0.944319
70	0.971475	0.962782	0.948955	0.931856
71	0.961088	0.952418	0.932606	0.917992
72	0.949292	0.941636	0.917432	0.902987
73	0.938709	0.931753	0.905051	0.891497
74	0.925515	0.919269	0.888139	0.875173
75	0.913826	0.903294	0.872221	0.859077
76	0.900182	0.886323	0.855397	0.84186
77	0.885707	0.871415	0.839541	0.825724
78	0.869434	0.857495	0.823069	0.805833
79	0.856694	0.84351	0.811065	0.78755
80	0.835798	0.824241	0.792993	0.766932
81	0.816716	0.805615	0.7795	0.747439
82	0.799431	0.789778	0.762857	0.726427
83	0.779648	0.772525	0.73897	0.702111
84	0.758983	0.755219	0.712367	0.674985
85	0.735322	0.735714	0.68242	0.64697
86	0.7087	0.713049	0.653333	0.616033
87	0.674277	0.677531	0.615616	0.579083
88	0.64115	0.639033	0.57757	0.544292
89	0.609761	0.602875	0.540506	0.507134
90	0.581298	0.573051	0.509072	0.472778
91	0.54688	0.541435	0.473589	0.434441
92	0.505736	0.502604	0.433377	0.390998
93	0.46033	0.462373	0.390291	0.345351
94	0.411076	0.419903	0.342839	0.297183
95	0.356468	0.371035	0.292135	0.249443
96	0.299608	0.317006	0.24059	0.201576
97	0.236495	0.261186	0.191006	0.153146
98	0.178917	0.207006	0.146398	0.111139
99	0.122413	0.149973	0.102389	0.073622
100	0.072276	0.089335	0.060309	0.043671
