Type	DF_927_1_GFP_tdt	DF_927_1_GFP	DF_980_3_GFP_tdt	DF_980_3_GFP
PF_BASES	21806596800	18039011700	24492402300	26478099000
PF_ALIGNED_BASES	20602440551	16870742078	23014062175	24756010509
RIBOSOMAL_BASES				
CODING_BASES	11442931723	10142923467	14225131567	15755400447
UTR_BASES	5682951269	4497703540	5564096961	5615200571
INTRONIC_BASES	1581108028	615053095	1030416733	1135769560
INTERGENIC_BASES	1895449531	1615061976	2194416914	2249639931
IGNORED_READS	0	0	0	0
CORRECT_STRAND_READS	0	0	0	0
INCORRECT_STRAND_READS	0	0	0	0
NUM_R1_TRANSCRIPT_STRAND_READS	28826896	24736909	33208952	36123071
NUM_R2_TRANSCRIPT_STRAND_READS	28754824	24916715	33184312	36032566
NUM_UNEXPLAINED_READS	959877	833163	1137741	1166280
PCT_R1_TRANSCRIPT_STRAND_READS	0.500626	0.498189	0.500186	0.500627
PCT_R2_TRANSCRIPT_STRAND_READS	0.499374	0.501811	0.499814	0.499373
PCT_RIBOSOMAL_BASES				
PCT_CODING_BASES	0.555416	0.601214	0.618106	0.636427
PCT_UTR_BASES	0.275839	0.266598	0.241769	0.226822
PCT_INTRONIC_BASES	0.076744	0.036457	0.044773	0.045879
PCT_INTERGENIC_BASES	0.092001	0.095732	0.095351	0.090872
PCT_MRNA_BASES	0.831255	0.867812	0.859876	0.863249
PCT_USABLE_BASES	0.785353	0.811609	0.807974	0.807105
PCT_CORRECT_STRAND_READS	0	0	0	0
MEDIAN_CV_COVERAGE	0.48559	0.495652	0.504529	0.551877
MEDIAN_5PRIME_BIAS	0.524614	0.460868	0.569403	0.536401
MEDIAN_3PRIME_BIAS	0.192399	0.224245	0.19098	0.151715
MEDIAN_5PRIME_TO_3PRIME_BIAS	2.644611	2.112771	2.956235	3.543793
SAMPLE				
LIBRARY				
READ_GROUP				
