Sample	Gene	gene_symbol	count	Status
DF_927_1_GFP	1700003F12Rik	1700003F12Rik	4.72504382352135	AT2
DF_927_1_GFP	Agtr2	Agtr2	11.8126095588034	AT2
DF_927_1_GFP	Brwd3	Brwd3	1964.436969629	AT2
DF_927_1_GFP	3930402G23Rik	3930402G23Rik	242.158495955469	AT2
DF_927_1_GFP	Cox16	Cox16	314.21541426417	AT2
DF_927_1_GFP	Nrbp2	Nrbp2	6390.62177131263	AT2
DF_927_1_GFP	2410003L11Rik	2410003L11Rik	2.36252191176068	AT2
DF_927_1_GFP	Nudt16	Nudt16	334.296850514136	AT2
DF_927_1_GFP	Col9a3	Col9a3	5.90630477940169	AT2
DF_927_1_GFP	Mbl2	Mbl2	7.08756573528203	AT2
DF_927_1_GFP	Cep104	Cep104	1976.24957918781	AT2
DF_927_1_GFP	Dsn1	Dsn1	216.170754926102	AT2
DF_927_1_GFP	Cyp4f15	Cyp4f15	4.72504382352135	AT2
DF_927_1_GFP	Cdc6	Cdc6	148.838880440923	AT2
DF_927_1_GFP	Etl4	Etl4	4173.39495712523	AT2
DF_927_1_GFP	Tbx5	Tbx5	285.865151323042	AT2
DF_927_1_GFP	Gm8787	Gm8787	24.8064800734871	AT2
DF_927_1_GFP	Tmem54	Tmem54	42.5253944116922	AT2
DF_927_1_GFP	Bfsp1	Bfsp1	751.281967939895	AT2
DF_927_1_GFP	Lama3	Lama3	12459.9405626258	AT2
DF_927_1_GFP	Lppr1	Lppr1	4.72504382352135	AT2
DF_927_1_GFP	Rbl1	Rbl1	1014.70316110121	AT2
DF_927_1_GFP	Ace3	Ace3	8.26882669116236	AT2
DF_927_1_GFP	Bnip3l	Bnip3l	8723.61215917629	AT2
DF_927_1_GFP	Clec5a	Clec5a	22.4439581617264	AT2
DF_927_1_GFP	9230104L09Rik	9230104L09Rik	2.36252191176068	AT2
DF_927_1_GFP	Mmgt2	Mmgt2	936.739938013108	AT2
DF_927_1_GFP	Bend7	Bend7	8305.44578079465	AT2
DF_927_1_GFP	D6Ertd527e	D6Ertd527e	41.3441334558118	AT2
DF_927_1_GFP	Map7	Map7	6681.21196645919	AT2
DF_927_1_GFP	Cpeb2	Cpeb2	669.774961984151	AT2
DF_927_1_GFP	Atp4a	Atp4a	2.36252191176068	AT2
DF_927_1_GFP	Erich6	Erich6	1.18126095588034	AT2
DF_927_1_GFP	Dbf4	Dbf4	824.520147204476	AT2
DF_927_1_GFP	Irak3	Irak3	111.038529852752	AT2
DF_927_1_GFP	Fbxl3	Fbxl3	4390.74697300722	AT2
DF_927_1_GFP	Pi4k2b	Pi4k2b	30758.8540301681	AT2
DF_927_1_GFP	Atp13a3	Atp13a3	39543.8917590502	AT2
DF_927_1_GFP	5330417C22Rik	5330417C22Rik	15619.8136196057	AT2
DF_927_1_GFP	AI837181	AI837181	2967.32752117141	AT2
DF_927_1_GFP	Hs2st1	Hs2st1	10360.8398440264	AT2
DF_927_1_GFP	A930041C12Rik	A930041C12Rik	10.631348602923	AT2
DF_927_1_GFP	A430078I02Rik	A430078I02Rik	11.8126095588034	AT2
DF_927_1_GFP	Was	Was	37.8003505881708	AT2
DF_927_1_GFP	Anapc15	Anapc15	320.121719043571	AT2
DF_927_1_GFP	Rsbn1	Rsbn1	1202.52365308618	AT2
DF_927_1_GFP	Ap1g1	Ap1g1	7638.03334072226	AT2
DF_927_1_GFP	Hars2	Hars2	1100.93521088047	AT2
DF_927_1_GFP	Mus81	Mus81	2408.59108904001	AT2
DF_927_1_GFP	Dmd	Dmd	778.450969925143	AT2
DF_927_1_GFP	Gdf7	Gdf7	1.18126095588034	AT2
DF_927_1_GFP	Evc2	Evc2	422.891422205161	AT2
DF_927_1_GFP	Btbd7	Btbd7	3615.83978594971	AT2
DF_927_1_GFP	Ythdf2	Ythdf2	4951.84592705038	AT2
DF_927_1_GFP	Mlst8	Mlst8	441.791597499246	AT2
DF_927_1_GFP	Fez2	Fez2	1059.59107742466	AT2
DF_927_1_GFP	Gatad1	Gatad1	4962.4772756533	AT2
DF_927_1_GFP	Dock1	Dock1	8798.03159939675	AT2
DF_927_1_GFP	Cacnb2	Cacnb2	63.7880916175382	AT2
DF_927_1_GFP	Stk25	Stk25	6934.00181101758	AT2
DF_927_1_GFP	Ank3	Ank3	27118.2077641449	AT2
DF_927_1_GFP	Kcnj8	Kcnj8	20.0814362499657	AT2
DF_927_1_GFP	Cep76	Cep76	653.237308601827	AT2
DF_927_1_GFP	Nsmf	Nsmf	2301.0963420549	AT2
DF_927_1_GFP	9530026P05Rik	9530026P05Rik	165.376533823247	AT2
DF_927_1_GFP	Pfdn2	Pfdn2	2308.18390779018	AT2
DF_927_1_GFP	Ccdc184	Ccdc184	23.6252191176068	AT2
DF_927_1_GFP	4921504A21Rik	4921504A21Rik	1.18126095588034	AT2
DF_927_1_GFP	Izumo1	Izumo1	4.72504382352135	AT2
DF_927_1_GFP	Ikbkap	Ikbkap	2445.2101786723	AT2
DF_927_1_GFP	Adamtsl2	Adamtsl2	170.101577646769	AT2
DF_927_1_GFP	Fnip2	Fnip2	3855.63575999342	AT2
DF_927_1_GFP	Fam101a	Fam101a	33.0753067646495	AT2
DF_927_1_GFP	Acbd7	Acbd7	11.8126095588034	AT2
DF_927_1_GFP	Cbfa2t3	Cbfa2t3	350.83450389646	AT2
DF_927_1_GFP	Gc	Gc	327.209284778854	AT2
DF_927_1_GFP	6030469F06Rik	6030469F06Rik	3.54378286764101	AT2
DF_927_1_GFP	2310034G01Rik	2310034G01Rik	53.1567430146152	AT2
DF_927_1_GFP	Aim1l	Aim1l	33.0753067646495	AT2
DF_927_1_GFP	BC005537	BC005537	9780.8407146892	AT2
DF_927_1_GFP	Pmm2	Pmm2	2243.21455521676	AT2
DF_927_1_GFP	Amigo3	Amigo3	127.576183235076	AT2
DF_927_1_GFP	Exoc3l	Exoc3l	219.714537793743	AT2
DF_927_1_GFP	4930578M01Rik	4930578M01Rik	1.18126095588034	AT2
DF_927_1_GFP	Ctsz	Ctsz	14225.9256916669	AT2
DF_927_1_GFP	Nfatc4	Nfatc4	2344.80299742247	AT2
DF_927_1_GFP	Kbtbd8	Kbtbd8	68.5131354410596	AT2
DF_927_1_GFP	Helz2	Helz2	3627.65239550852	AT2
DF_927_1_GFP	5730480H06Rik	5730480H06Rik	25.9877410293674	AT2
DF_927_1_GFP	Slc26a7	Slc26a7	5.90630477940169	AT2
DF_927_1_GFP	Postn	Postn	1125.74169095396	AT2
DF_927_1_GFP	Aamp	Aamp	9170.12880049906	AT2
DF_927_1_GFP	Zfp646	Zfp646	2995.67778411254	AT2
DF_927_1_GFP	Slc39a13	Slc39a13	1556.90193985029	AT2
DF_927_1_GFP	Caap1	Caap1	877.676890219091	AT2
DF_927_1_GFP	Arl2bp	Arl2bp	2920.07708293619	AT2
DF_927_1_GFP	Abra	Abra	9.4500876470427	AT2
DF_927_1_GFP	A930016O22Rik	A930016O22Rik	4.72504382352135	AT2
DF_927_1_GFP	4930445N18Rik	4930445N18Rik	2.36252191176068	AT2
DF_927_1_GFP	Cd3g	Cd3g	8.26882669116236	AT2
DF_927_1_GFP	Cd8a	Cd8a	7.08756573528203	AT2
DF_927_1_GFP	2900009J06Rik	2900009J06Rik	11.8126095588034	AT2
DF_927_1_GFP	Sdhaf3	Sdhaf3	122.851139411555	AT2
DF_927_1_GFP	Fbln1	Fbln1	322.484240955332	AT2
DF_927_1_GFP	Il2	Il2	8.26882669116236	AT2
DF_927_1_GFP	Acsbg1	Acsbg1	4.72504382352135	AT2
DF_927_1_GFP	Nudt11	Nudt11	361.465852499383	AT2
DF_927_1_GFP	Scimp	Scimp	2.36252191176068	AT2
DF_927_1_GFP	Fam19a1	Fam19a1	7.08756573528203	AT2
DF_927_1_GFP	Aaas	Aaas	1510.83276257095	AT2
DF_927_1_GFP	Epn3	Epn3	12029.9615746854	AT2
DF_927_1_GFP	Cachd1	Cachd1	6083.49392278374	AT2
DF_927_1_GFP	Rap1a	Rap1a	3523.70143139105	AT2
DF_927_1_GFP	Nr1h5	Nr1h5	2.36252191176068	AT2
DF_927_1_GFP	Fhl2	Fhl2	34.2565677205298	AT2
DF_927_1_GFP	Gm5176	Gm5176	1.18126095588034	AT2
DF_927_1_GFP	Arpc5l	Arpc5l	2361.3406508048	AT2
DF_927_1_GFP	L3mbtl3	L3mbtl3	1302.93083433601	AT2
DF_927_1_GFP	Mkrn3	Mkrn3	125.213661323316	AT2
DF_927_1_GFP	Fabp1	Fabp1	14.1751314705641	AT2
DF_927_1_GFP	Itpr2	Itpr2	1514.37654543859	AT2
DF_927_1_GFP	Ap5z1	Ap5z1	812.707537645672	AT2
DF_927_1_GFP	B3gntl1	B3gntl1	168.920316690888	AT2
DF_927_1_GFP	Cyp2t4	Cyp2t4	48.4316991910938	AT2
DF_927_1_GFP	Serpina3n	Serpina3n	179.551665293811	AT2
DF_927_1_GFP	Dyrk3	Dyrk3	698.12522492528	AT2
DF_927_1_GFP	Npc1l1	Npc1l1	5.90630477940169	AT2
DF_927_1_GFP	1200014J11Rik	1200014J11Rik	3268.54906492089	AT2
DF_927_1_GFP	Capzb	Capzb	13280.9169269626	AT2
DF_927_1_GFP	Ltb4r2	Ltb4r2	81.5070059557433	AT2
DF_927_1_GFP	Ccdc167	Ccdc167	305.946587573007	AT2
DF_927_1_GFP	2510002D24Rik	2510002D24Rik	1071.40368698347	AT2
DF_927_1_GFP	Abcb1a	Abcb1a	163.014011911487	AT2
DF_927_1_GFP	Cenpv	Cenpv	702.850268748801	AT2
DF_927_1_GFP	1810008I18Rik	1810008I18Rik	15.3563924264444	AT2
DF_927_1_GFP	Tbc1d4	Tbc1d4	2034.13136602594	AT2
DF_927_1_GFP	Mir466i	Mir466i	8.26882669116236	AT2
DF_927_1_GFP	Npm2	Npm2	14.1751314705641	AT2
DF_927_1_GFP	Pold4	Pold4	167.739055735008	AT2
DF_927_1_GFP	2610306M01Rik	2610306M01Rik	212.626972058461	AT2
DF_927_1_GFP	Cd151	Cd151	8747.2373782939	AT2
DF_927_1_GFP	Cebpd	Cebpd	17167.2654718089	AT2
DF_927_1_GFP	Axl	Axl	426.435205072802	AT2
DF_927_1_GFP	Eri1	Eri1	1512.01402352683	AT2
DF_927_1_GFP	Bloc1s1	Bloc1s1	1939.63048955551	AT2
DF_927_1_GFP	Klhl34	Klhl34	4.72504382352135	AT2
DF_927_1_GFP	Lmo4	Lmo4	6482.76012587129	AT2
DF_927_1_GFP	Sod3	Sod3	387.453593528751	AT2
DF_927_1_GFP	2610020H08Rik	2610020H08Rik	105.13222507335	AT2
DF_927_1_GFP	Armcx4	Armcx4	468.960599484494	AT2
DF_927_1_GFP	Gm6213	Gm6213	0	AT2
DF_927_1_GFP	Parp16	Parp16	544.561300660836	AT2
DF_927_1_GFP	Cntnap1	Cntnap1	81.5070059557433	AT2
DF_927_1_GFP	Nsmce4a	Nsmce4a	3888.71106675807	AT2
DF_927_1_GFP	Akap9	Akap9	6174.45101638653	AT2
DF_927_1_GFP	Ogdh	Ogdh	26729.5729096603	AT2
DF_927_1_GFP	Angel2	Angel2	3166.96062271519	AT2
DF_927_1_GFP	9530068E07Rik	9530068E07Rik	17151.9090793825	AT2
DF_927_1_GFP	Lgr6	Lgr6	27.1690019852478	AT2
DF_927_1_GFP	Gid8	Gid8	4459.26010844827	AT2
DF_927_1_GFP	Dlk1	Dlk1	3967.85555080205	AT2
DF_927_1_GFP	Ptx3	Ptx3	77.9632230881023	AT2
DF_927_1_GFP	Cym	Cym	8.26882669116236	AT2
DF_927_1_GFP	Ctgf	Ctgf	5003.82140910911	AT2
