"pathway","pval","padj","ES","NES","nMoreExtreme","size","main_pathway","leadingEdge"
"KEGG_FOCAL_ADHESION","0.000155086848635236","0.00790653935185185","0.448186481388988","1.92400943957755","0","184","main","ITGB6,LAMC2,ITGB3,CAV2,CAV1,ITGA3,LAMA3,COL5A2,VEGFA,CAPN2,PDGFB,THBS3,MYL12A,FLNC,AKT3,IGF1R,PAK3,PDGFA,ARHGAP5,COL4A6,FLNA,THBS1,PIK3CB,PDGFC,PGF,ROCK1,LAMC1,EGFR,LAMA5,ITGAV,VCL,COL4A1,RAP1B,BRAF,CCND2,LAMB2,ITGB1,RAP1A,PARVA,COL4A4,ITGA2,COL4A2,CCND1,ITGB5,ROCK2,CCND3,RASGRF1,COMP,PDGFD,TLN1,MYL9,ACTN1,ITGA6,ACTB,CDC42,PPP1CB,RHOA,COL11A2,TNN,CAV3,CRK,MYL12B,VTN,HRAS,MYLK3"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","0.000148500148500148","0.00790653935185185","0.410624041078708","1.83059110295846","0","254","main","ITGB6,LAMC2,COL12A1,ITGB3,LOX,PCOLCE,FBLN5,TGFB2,ITGA3,LAMA3,SPARC,COL5A2,ICAM1,AGRN,PXDN,CAPN2,PLOD2,P4HA3,PDGFB,DDR1,BMP4,HTRA1,PDGFA,HSPG2,DAG1,SERPINH1,COL4A6,COL4A5,MMP11,THBS1,NTN4,ADAM10,MMP14,LAMC1,LAMA5,ITGAV,EFEMP1,PLEC,COL4A1,MATN3,MMP3,ITGB2,P3H2,P3H1,LAMB2,COL4A3,ITGB1,F11R,COL4A4,TIMP2,ITGA2,COL4A2,FGG,COLGALT1,ITGB5,ICAM4,COLGALT2,CMA1,MMP13,LOXL3,COMP,MATN4,MFAP3,TIMP1,COL6A5,CAST,LRP4,CAPNS2,ADAM12,SERPINE1,ACTN1,ITGA6"
"REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1","0.000167700821734027","0.00790653935185185","0.520798362899297","1.91993801545669","0","68","REACTOME_CELL_CYCLE_MITOTIC","PSMC6,PSMD14,PSMB7,PSME2,PSMD6,PSMC3,PSMC1,PSMD12,CDC27,PSMA2,PSMA3,PSMC5,PSMD13,PSMA4,PSMA7,RB1,PSMC2,PSMA5,ANAPC10,PSMB2,PSMA6,AURKA,PSMD11,UBE2C,PSMB4,UBE2E1,PSMD2,ANAPC4,PSMB3,ANAPC16,PSMB8,PLK1,SKP2,PSME4,UBE2S,CDC16"
"REACTOME_SEPARATION_OF_SISTER_CHROMATIDS","0.000156494522691706","0.00790653935185185","0.476252930766401","2.02367408170164","0","169","REACTOME_CELL_CYCLE_MITOTIC","TUBA1A,TUBA8,TUBB2B,TUBB6,PSMC6,PSMD14,CENPC,CENPT,PSMB7,PSME2,PSMD6,DYNC1I2,PSMC3,CENPE,XPO1,NUF2,HDAC8,PSMC1,PSMD12,SEC13,CDC27,PSMA2,PSMA3,PSMC5,CENPH,PSMD13,PPP2CB,CENPF,PSMA4,PAFAH1B1,SKA1,MAPRE1,PSMA7,NDE1,PPP2CA,ZWILCH,PSMC2,SKA2,CENPQ,PSMA5,ANAPC10,NUP160,RANBP2,PSMB2,BIRC5,MIS12,PSMA6,PSMD11,RANGAP1,UBE2C,SMC3,PSMB4,UBE2E1,DYNC1LI2,CLASP2,SPDL1,TAOK1,PPP2R5A,TUBA1B,CLIP1,PSMD2,CENPA,CENPL,KIF18A,SPC25,ANAPC4,PSMB3,ANAPC16,PSMB8,PLK1,NUP37,PSME4,CENPI,UBE2S,CDC16,ERCC6L,TUBA1C,NSL1"
"REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE","0.000153045607591062","0.00790653935185185","0.459451762662266","2.00324144392148","0","208","REACTOME_CELL_CYCLE_MITOTIC","TUBA1A,TUBA8,TUBB2B,TUBB6,LMNA,PSMC6,PSMD14,CENPC,CENPT,CHMP4C,PSMB7,PSME2,PSMD6,DYNC1I2,PSMC3,CENPE,XPO1,NUF2,HDAC8,CHMP2B,PSMC1,PSMD12,CCNB1,SEC13,CDC27,PSMA2,PSMA3,PSMC5,CENPH,PSMD13,PPP2CB,CENPF,PSMA4,PAFAH1B1,SKA1,MAPRE1,PSMA7,NDE1,PPP2CA,ZWILCH,LMNB1,PSMC2,SKA2,CENPQ,PSMA5,ANAPC10,NUP160,RANBP2,PSMB2,BIRC5,MIS12,IST1,PSMA6,PSMD11,RANGAP1,UBE2C,SMC3,NUP93,TNPO1,PSMB4,UBE2E1,DYNC1LI2,CLASP2,NUP58,SPDL1,TAOK1,PPP2R5A,TUBA1B,CLIP1,PSMD2,NUP35,CENPA,CENPL,KIF18A,SPC25,ANAPC4,PSMB3,ANAPC16,PSMB8,PLK1,NUP37,NUP155,PSME4,CENPI,CCNB2,UBE2S,CDC16,ERCC6L,TUBA1C,NSL1"
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS","0.00016914749661705","0.00790653935185185","0.628006852545136","2.24490223958933","0","57","main","LAMC2,ITGB3,LAMA3,COL5A2,AGRN,PDGFB,DDR1,PDGFA,HSPG2,DAG1,COL4A6,COL4A5,THBS1,NTN4,LAMC1,LAMA5,ITGAV,COL4A1,LAMB2,COL4A3,ITGB1,COL4A4,ITGA2,COL4A2,ITGB5"
"REACTOME_MITOTIC_G2_G2_M_PHASES","0.000155496812315348","0.00790653935185185","0.459056409737778","1.96396318269957","0","178","main","AJUBA,TUBA1A,TUBA8,E2F1,TUBB2B,TUBB6,CEP290,HMMR,CNTRL,PSMC6,PSMD14,CENPJ,PSMB7,HAUS3,PSME2,PSMD6,PLK4,DYNC1I2,PSMC3,DCTN3,XPO1,FBXL7,NINL,PSMC1,MYBL2,CCNA2,HAUS2,PCM1,MNAT1,PSMD12,CCNB1,PPP1R12B,PSMA2,PSMA3,CEP78,PSMC5,AKAP9,PSMD13,PPP2CB,CENPF,PSMA4,BORA,PAFAH1B1,NEK2,PPP1CB,MAPRE1,PSMA7,NDE1,PPP2CA,PSMC2,LIN9,PSMA5,PSMB2,PSMA6,AURKA,PSMD11,MZT1,PSMB4,CEP135,SDCCAG8,YWHAE,HAUS6,TUBA1B,RBX1,PSMD2,FOXM1,PSMB3,PPME1,CDC25C,NME7,CSNK1E,PKMYT1,PSMB8,OFD1,PLK1,CEP76"
"REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION","0.00016","0.00790653935185185","0.492831723235519","2.03117451057157","0","137","main","CDKN2B,TFDP2,AKT3,E2F1,DHFR,DBF4,ORC6,E2F2,PSMC6,PSMD14,PSMB7,PSME2,PSMD6,CCND2,ORC4,GMNN,PSMC3,CCND1,TOP2A,MAX,CCND3,PRIM2,PSMC1,MYBL2,CCNA2,MNAT1,PSMD12,CCNB1,PSMA2,PSMA3,PSMC5,PSMD13,PPP2CB,PSMA4,POLE4,PSMA7,RB1,PPP2CA,MCM8,PSMC2,TK1,RPA3,CDC6,LIN9,RRM2,CKS1B,PSMA5,POLE,ORC1,PCNA,PSMB2,PSMA6,PSMD11,E2F5,PSMB4,POLA1,RBL1,MCM5,ORC2,CDKN2D,TFDP1,PSMD2,MCM10,CDC7,SRC,PSMB3,PSMB8,SKP2,RPA2"
"REACTOME_PROGRAMMED_CELL_DEATH","0.000155496812315348","0.00790653935185185","0.42109879787864","1.80157060825076","0","178","main","GSN,TJP1,TFDP2,AKT3,SFN,E2F1,OCLN,YWHAH,FLOT1,BID,LMNA,SPTAN1,ROCK1,OGT,FAS,TP53BP2,PLEC,PSMC6,PSMD14,DAPK2,CHMP4C,PSMB7,PSME2,PSMD6,DNM1L,PSMC3,CHMP2B,CYCS,PSMC1,PSMD12,PSMA2,PSMA3,PSMC5,PSMD13,BAK1,PSMA4,YWHAZ,APPL1,PSMA7,LMNB1,PSMC2,BCL2L1,CASP8,BCAP31,TJP2,PSMA5,CASP3,SDCBP,BAX,PSMB2,PSMA6,PSMD11,GAS2,PPP3R1,PSMB4,PPP3CC,BIRC2,PELI1,DFFA,MAPK8,CLSPN"
"REACTOME_KERATINIZATION","0.000173611111111111","0.00790653935185185","0.570847879762072","1.9141130276254","0","42","main","KRT7,KRT19,KRT80,KAZN,EVPL,KRT8,PKP2,PERP,KRTAP1-1,KRTAP1-3,KRTAP1-4,KRTAP1-5,PPL,KRT18,CDSN,KRT28,PKP3,JUP,TGM1"
