pathway,pval,padj,ES,NES,nMoreExtreme,size,main_pathway,leadingEdge
KEGG_CELL_CYCLE,0.0002,0.0061,0.47,1.884,0,117,main,"TGFB2,CDKN2B,TFDP2,SFN,E2F1"
REACTOME_PROGRAMMED_CELL_DEATH,0.0002,0.0061,0.421,1.792,0,178,main,"GSN,TJP1,TFDP2,AKT3,SFN"
REACTOME_DNA_REPLICATION,0.0002,0.0061,0.52,2.082,0,117,main,"E2F1,DBF4,ORC6,E2F2,PSMC6"
REACTOME_CELL_CYCLE_CHECKPOINTS,0.0002,0.0061,0.462,2.033,0,234,main,"SFN,YWHAH,DBF4,ORC6,PSMC6"
KEGG_FOCAL_ADHESION,0.0002,0.0061,0.448,1.917,0,184,main,"ITGB6,LAMC2,ITGB3,CAV2,CAV1"
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.0001,0.0061,0.411,1.82,0,254,main,"ITGB6,LAMC2,COL12A1,ITGB3,LOX"
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,0.0002,0.0061,0.628,2.225,0,57,main,"LAMC2,ITGB3,LAMA3,COL5A2,AGRN"
REACTOME_CELL_JUNCTION_ORGANIZATION,0.0002,0.0061,0.493,1.831,0,73,main,"LAMC2,CDH13,LAMA3,FLNC,PARD6B"
REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION,0.0011,0.0179,-0.652,-1.904,4,19,main,"FZD4,FZD8,LRP5,RSPO4,LGR5"
REACTOME_DEACTIVATION_OF_THE_BETA_CATENIN_TRANSACTIVATING_COMPLEX,0.0023,0.031,-0.517,-1.789,9,38,main,"PYGO1,LEF1,SOX13,SOX9,BCL9"
