,APOBEC 2 ,Background  
MMRF_1796_1_BM,1,1.60E-21
MMRF_1290_1_BM,0.991227423,0.008772577
MMRF_1625_1_BM,0.989251391,0.010748609
MMRF_1772_1_BM,0.985836304,0.014163696
MMRF_1971_1_BM,0.984877074,0.015122926
MMRF_1971_2_BM,0.983933654,0.016066346
MMRF_1986_1_BM,0.979060904,0.020939096
MMRF_1912_1_PB,0.972949852,0.027050148
MMRF_2739_1_BM,0.96927268,0.03072732
MMRF_1328_1_BM,0.967039544,0.032960456
MMRF_1912_1_BM,0.960501314,0.039498686
MMRF_1912_3_PB,0.960426215,0.039573785
MMRF_2166_1_BM,0.955947792,0.044052208
MMRF_1801_1_BM,0.953673565,0.046326435
MMRF_1078_1_BM,0.952031442,0.047968558
MMRF_1602_1_BM,0.949463911,0.050536089
MMRF_2041_1_BM,0.949097078,0.050902922
MMRF_2796_1_BM,0.945641717,0.054358283
MMRF_2455_1_BM,0.942938847,0.057061153
MMRF_2535_1_BM,0.91638817,0.08361183
MMRF_1965_1_BM,0.912064761,0.087935239
MMRF_1965_1_PB,0.908545037,0.091454963
MMRF_1193_5_BM,0.90110287,0.09889713
MMRF_2650_1_BM,0.90087717,0.09912283
MMRF_1496_1_PB,0.876015669,0.123984331
MMRF_2300_1_BM,0.874728188,0.125271812
MMRF_2091_1_BM,0.861055134,0.138944866
MMRF_1352_2_BM,0.857508561,0.142491439
MMRF_1491_1_BM,0.852900544,0.147099456
MMRF_2106_1_BM,0.849327044,0.150672956
MMRF_2761_1_BM,0.843019908,0.156980092
MMRF_1855_1_BM,0.842521687,0.157478313
MMRF_1403_1_BM,0.838963807,0.161036193
MMRF_2039_2_BM,0.817068079,0.182931921
MMRF_1242_4_BM,0.811442264,0.188557736
MMRF_1778_1_BM,0.799356487,0.200643513
MMRF_1180_1_BM,0.79356838,0.20643162
MMRF_1242_1_BM,0.781341851,0.218658149
MMRF_1778_1_PB,0.778645154,0.221354846
MMRF_1496_1_BM,0.774098642,0.225901358
MMRF_2776_1_BM,0.76767001,0.23232999
MMRF_1389_1_BM,0.743754589,0.256245411
MMRF_2185_1_BM,0.743654918,0.256345082
MMRF_1683_1_BM,0.739377343,0.260622657
MMRF_2762_1_BM,0.728909514,0.271090486
MMRF_1670_5_BM,0.705512892,0.294487108
MMRF_2794_1_BM,0.702219042,0.297780958
MMRF_1461_1_BM,0.701314235,0.298685765
MMRF_2652_1_BM,0.699481293,0.300518707
MMRF_2039_1_BM,0.697936961,0.302063039
MMRF_1683_2_BM,0.697123578,0.302876422
MMRF_1670_3_BM,0.682381624,0.317618376
MMRF_1951_1_BM,0.674319879,0.325680121
MMRF_1670_1_BM,0.670072901,0.329927099
MMRF_2905_1_BM,0.653071812,0.346928188
MMRF_2306_1_BM,0.645657307,0.354342693
MMRF_2225_1_BM,0.624986587,0.375013413
MMRF_1715_1_BM,0.600589219,0.399410781
MMRF_2695_1_BM,0.58648244,0.41351756
MMRF_1518_3_BM,0.574605238,0.425394762
MMRF_1518_2_BM,0.574238258,0.425761742
MMRF_2373_2_BM,0.573822227,0.426177773
MMRF_2736_1_BM,0.546901533,0.453098467
MMRF_2076_1_BM,0.544332546,0.455667454
MMRF_1999_1_BM,0.537919012,0.462080988
MMRF_2715_1_BM,0.531835662,0.468164338
MMRF_1454_1_BM,0.515165406,0.484834594
MMRF_2194_2_BM,0.511448396,0.488551604
MMRF_2076_2_BM,0.504680718,0.495319282
MMRF_2535_2_BM,0.501492268,0.498507732
MMRF_2401_1_PB,0.496519821,0.503480179
MMRF_1033_1_BM,0.494016282,0.505983718
MMRF_2124_1_BM,0.492640597,0.507359403
MMRF_2181_1_BM,0.478628225,0.521371775
MMRF_2368_1_BM,0.471712754,0.528287246
MMRF_2671_1_BM,0.464295911,0.535704089
MMRF_1251_1_BM,0.462342645,0.537657355
MMRF_2194_1_BM,0.452526585,0.547473415
MMRF_2401_2_BM,0.439262993,0.560737007
MMRF_2200_1_BM,0.432501661,0.567498339
MMRF_1462_2_BM,0.431939957,0.568060043
MMRF_1845_1_BM,0.427063803,0.572936197
MMRF_2781_1_BM,0.422740466,0.577259534
MMRF_2401_1_BM,0.417391577,0.582608423
MMRF_1680_1_BM,0.416946813,0.583053187
MMRF_1917_1_BM,0.411317878,0.588682122
MMRF_1164_1_BM,0.406860435,0.593139565
MMRF_1038_1_BM,0.406492707,0.593507293
MMRF_1824_1_BM,0.405849538,0.594150462
MMRF_1555_1_BM,0.395786026,0.604213974
MMRF_1269_3_BM,0.39393936,0.60606064
MMRF_2198_2_BM,0.388948302,0.611051698
MMRF_2531_1_BM,0.388571913,0.611428087
MMRF_2198_1_BM,0.388456027,0.611543973
MMRF_1496_3_PB,0.388308458,0.611691542
MMRF_1873_1_BM,0.388016797,0.611983203
MMRF_2554_1_BM,0.387811997,0.612188003
MMRF_1897_1_PB,0.386446424,0.613553576
MMRF_2531_1_PB,0.38354344,0.61645656
MMRF_1923_1_BM,0.370321127,0.629678873
MMRF_1723_1_BM,0.366999281,0.633000719
MMRF_2548_1_BM,0.365964839,0.634035161
MMRF_2196_1_BM,0.364737907,0.635262093
MMRF_1542_1_BM,0.364260664,0.635739336
MMRF_2394_1_BM,0.362793571,0.637206429
MMRF_1032_1_BM,0.362070434,0.637929566
MMRF_2778_1_BM,0.361099512,0.638900488
MMRF_2711_1_BM,0.360752368,0.639247632
MMRF_2732_1_BM,0.358077294,0.641922706
MMRF_2373_1_BM,0.356781072,0.643218928
MMRF_2568_1_BM,0.355564242,0.644435758
MMRF_1128_1_BM,0.354120075,0.645879925
MMRF_2651_1_BM,0.352320721,0.647679279
MMRF_1189_1_BM,0.351996964,0.648003036
MMRF_1889_3_BM,0.346882646,0.653117354
MMRF_2573_1_BM,0.346705072,0.653294928
MMRF_2407_1_BM,0.338365737,0.661634263
MMRF_2035_1_BM,0.337272601,0.662727399
MMRF_1974_1_BM,0.337162166,0.662837834
MMRF_2770_1_BM,0.33579828,0.66420172
MMRF_1451_1_BM,0.335305132,0.664694868
MMRF_1309_1_BM,0.335120393,0.664879607
MMRF_2753_1_BM,0.332012922,0.667987078
MMRF_1496_3_BM,0.330488447,0.669511553
MMRF_2379_1_BM,0.326750672,0.673249328
MMRF_1077_1_BM,0.324552799,0.675447201
MMRF_1361_1_BM,0.324324907,0.675675093
MMRF_2546_1_BM,0.324247492,0.675752508
MMRF_1267_1_BM,0.322476541,0.677523459
MMRF_2119_1_BM,0.32053466,0.67946534
MMRF_2531_2_BM,0.31951956,0.68048044
MMRF_2062_1_BM,0.319285879,0.680714121
MMRF_1656_2_BM,0.318821479,0.681178521
MMRF_1601_1_BM,0.317567287,0.682432713
MMRF_1356_1_BM,0.317528166,0.682471834
MMRF_1092_1_BM,0.316701322,0.683298678
MMRF_1641_1_BM,0.315635204,0.684364796
MMRF_2268_1_BM,0.315208165,0.684791835
MMRF_2913_1_BM,0.314397044,0.685602956
