FIPS,State,"County, State",2010 Food Insecurity Rate, Number of Food Insecure Persons in 2010 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2010 Child food insecurity rate, Number of Food Insecure Children in 2010  ,% food insecure children in HH w/ HH incomes below 185 FPL,% of food insecure children in HH w/ HH incomes above 185 FPL, 2010 Cost Per Meal , 2010 Weighted Annual Food Budget Shortfall ,
1001,AL,"Autauga County, Alabama",13.4%," 7,140 ",130.0%,SNAP,185.0%,Other Nutrition Program,32.7%,20.8%,46.5%,20.3%," 2,980 ",51%,49%, $2.58 ," $3,170,830 ",
1003,AL,"Baldwin County, Alabama",13.4%," 23,570 ",130.0%,SNAP,185.0%,Other Nutrition Program,34.7%,28.7%,36.6%,23.8%," 9,720 ",59%,41%, $2.64 ," $10,710,730 ",
1005,AL,"Barbour County, Alabama",23.2%," 6,440 ",130.0%,SNAP,185.0%,Other Nutrition Program,47.9%,17.1%,35.0%,25.8%," 1,600 ",87%,13%, $2.53 ," $2,804,540 ",
1007,AL,"Bibb County, Alabama",15.7%," 3,550 ",130.0%,SNAP,185.0%,Other Nutrition Program,35.8%,28.8%,35.4%,24.9%," 1,300 ",64%,36%, $2.55 ," $1,558,200 ",
1009,AL,"Blount County, Alabama",12.6%," 7,160 ",130.0%,SNAP,185.0%,Other Nutrition Program,41.0%,30.5%,28.5%,25.4%," 3,540 ",53%,47%, $2.50 ," $3,081,120 ",
1011,AL,"Bullock County, Alabama",28.5%," 3,110 ",130.0%,SNAP,185.0%,Other Nutrition Program,55.3%,19.7%,25.0%,29.1%, 730 ,95%,5%, $3.04 ," $1,627,380 ",
1013,AL,"Butler County, Alabama",23.1%," 4,820 ",130.0%,SNAP,185.0%,Other Nutrition Program,55.7%,21.1%,23.2%,25.7%," 1,270 ",92%,8%, $2.49 ," $2,065,870 ",
1015,AL,"Calhoun County, Alabama",17.1%," 20,020 ",130.0%,SNAP,185.0%,Other Nutrition Program,46.8%,22.4%,30.8%,25.4%," 6,760 ",69%,31%, $2.59 ," $8,925,230 ",
1017,AL,"Chambers County, Alabama",22.5%," 7,770 ",130.0%,SNAP,185.0%,Other Nutrition Program,50.0%,23.9%,26.1%,26.9%," 2,160 ",82%,18%, $2.44 ," $3,263,370 ",
1019,AL,"Cherokee County, Alabama",14.6%," 3,750 ",130.0%,SNAP,185.0%,Other Nutrition Program,49.2%,25.8%,25.0%,27.7%," 1,470 ",59%,41%, $2.52 ," $1,626,630 ",
1021,AL,"Chilton County, Alabama",15.3%," 6,590 ",130.0%,SNAP,185.0%,Other Nutrition Program,47.8%,31.9%,20.3%,27.6%," 2,960 ",68%,32%, $2.52 ," $2,858,520 ",
1023,AL,"Choctaw County, Alabama",21.1%," 2,970 ",130.0%,SNAP,185.0%,Other Nutrition Program,51.7%,21.2%,27.1%,22.9%, 750 ,75%,25%, $2.85 ," $1,456,990 ",
1025,AL,"Clarke County, Alabama",26.5%," 6,950 ",130.0%,SNAP,185.0%,Other Nutrition Program,56.1%,15.4%,28.5%,30.4%," 2,040 ",78%,23%, $2.48 ," $2,966,830 ",
1027,AL,"Clay County, Alabama",19.4%," 2,720 ",130.0%,SNAP,185.0%,Other Nutrition Program,42.4%,27.9%,29.7%,27.7%, 850 ,76%,24%, $2.86 ," $1,339,030 ",
1029,AL,"Cleburne County, Alabama",14.0%," 2,070 ",130.0%,SNAP,185.0%,Other Nutrition Program,43.2%,44.2%,12.6%,26.1%, 890 ,63%,38%, $2.80 ," $997,660 ",
1031,AL,"Coffee County, Alabama",14.5%," 7,010 ",130.0%,SNAP,185.0%,Other Nutrition Program,45.9%,23.9%,30.2%,24.2%," 2,800 ",67%,33%, $2.62 ," $3,161,370 ",
1033,AL,"Colbert County, Alabama",15.8%," 8,620 ",130.0%,SNAP,185.0%,Other Nutrition Program,41.7%,24.4%,33.9%,25.4%," 3,050 ",67%,33%, $2.54 ," $3,768,740 ",
1035,AL,"Conecuh County, Alabama",27.7%," 3,710 ",130.0%,SNAP,185.0%,Other Nutrition Program,58.7%,20.8%,20.5%,33.3%," 1,060 ",89%,11%, $2.84 ," $1,813,630 ",
1037,AL,"Coosa County, Alabama",20.4%," 2,340 ",130.0%,SNAP,185.0%,Other Nutrition Program,42.2%,26.4%,31.4%,23.9%, 580 ,93%,7%, $2.88 ," $1,160,020 ",
1039,AL,"Covington County, Alabama",16.0%," 6,010 ",130.0%,SNAP,185.0%,Other Nutrition Program,49.3%,29.3%,21.4%,26.7%," 2,250 ",70%,30%, $2.54 ," $2,627,630 ",
1041,AL,"Crenshaw County, Alabama",16.3%," 2,270 ",130.0%,SNAP,185.0%,Other Nutrition Program,44.0%,29.4%,26.7%,24.6%, 820 ,70%,30%, $2.78 ," $1,086,240 ",
1043,AL,"Cullman County, Alabama",13.6%," 10,880 ",130.0%,SNAP,185.0%,Other Nutrition Program,44.0%,34.6%,21.4%,26.3%," 4,890 ",60%,40%, $2.63 ," $4,925,390 ",
1045,AL,"Dale County, Alabama",15.0%," 7,470 ",130.0%,SNAP,185.0%,Other Nutrition Program,39.0%,27.9%,33.1%,22.3%," 2,740 ",68%,32%, $2.33 ," $2,995,930 ",
1047,AL,"Dallas County, Alabama",31.3%," 13,790 ",130.0%,SNAP,185.0%,Other Nutrition Program,60.3%,14.8%,24.9%,31.0%," 3,660 ",94%,6%, $2.56 ," $6,076,590 ",
1049,AL,"DeKalb County, Alabama",16.0%," 11,210 ",130.0%,SNAP,185.0%,Other Nutrition Program,51.7%,39.1%,9.1%,31.2%," 5,630 ",69%,32%, $2.51 ," $4,843,230 ",
1051,AL,"Elmore County, Alabama",14.4%," 11,170 ",130.0%,SNAP,185.0%,Other Nutrition Program,31.4%,20.4%,48.1%,21.3%," 3,960 ",56%,44%, $2.57 ," $4,941,310 ",
1053,AL,"Escambia County, Alabama",20.8%," 7,910 ",130.0%,SNAP,185.0%,Other Nutrition Program,48.4%,17.7%,33.9%,29.2%," 2,570 ",76%,24%, $2.55 ," $3,471,940 ",
1055,AL,"Etowah County, Alabama",15.8%," 16,400 ",130.0%,SNAP,185.0%,Other Nutrition Program,44.5%,28.4%,27.1%,25.4%," 6,000 ",71%,30%, $2.43 ," $6,859,710 ",
1057,AL,"Fayette County, Alabama",17.3%," 3,030 ",130.0%,SNAP,185.0%,Other Nutrition Program,42.5%,31.6%,25.9%,26.9%," 1,060 ",69%,31%, $2.50 ," $1,303,880 ",
1059,AL,"Franklin County, Alabama",15.1%," 4,750 ",130.0%,SNAP,185.0%,Other Nutrition Program,46.4%,39.8%,13.8%,29.0%," 2,190 ",67%,34%, $2.50 ," $2,044,040 ",
1061,AL,"Geneva County, Alabama",14.8%," 3,940 ",130.0%,SNAP,185.0%,Other Nutrition Program,48.7%,42.4%,8.9%,24.0%," 1,390 ",83%,17%, $2.53 ," $1,715,820 ",
1063,AL,"Greene County, Alabama",32.2%," 2,980 ",130.0%,SNAP,185.0%,Other Nutrition Program,66.6%,14.2%,19.1%,27.3%, 640 ,100%,0%, $2.95 ," $1,513,190 ",
1065,AL,"Hale County, Alabama",24.9%," 4,020 ",130.0%,SNAP,185.0%,Other Nutrition Program,56.3%,21.4%,22.3%,23.3%, 980 ,100%,0%, $2.87 ," $1,985,930 ",
1067,AL,"Henry County, Alabama",17.0%," 2,920 ",130.0%,SNAP,185.0%,Other Nutrition Program,41.1%,24.4%,34.4%,21.7%, 820 ,78%,22%, $2.73 ," $1,372,150 ",
1069,AL,"Houston County, Alabama",16.3%," 16,100 ",130.0%,SNAP,185.0%,Other Nutrition Program,44.0%,24.7%,31.2%,23.2%," 5,630 ",72%,28%, $2.48 ," $6,872,790 ",
