"CRN","UNIT_NUM","PERSON_NUM","PERSON_TYPE","INJ_SEVERITY","RESTRAINT_HELMET","AIRBAG_PADS","SEAT_POSITION","EJECTION_IND","AGE","SEX","EJECT_PATH_CD","EXTRIC_IND","TRANSPORTED","DVR_LIC_STATE","DVR_PED_CONDITION","PED_LOCATION","PED_SIGNAL","CLOTHING_TYPE","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2008015157","1","1","1","0","03","10","01","1","45","F","0","1","N","NJ","6","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008015982","1","5","2","0","03","10","06","0","12","M","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008015982","1","4","2","0","04","10","05","0","1","M","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008015982","1","3","2","0","03","10","04","0","9","M","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008015982","1","2","2","0","03","10","03","0","13","F","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008015982","1","1","1","0","03","10","01","0","39","F","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008015982","2","6","1","0","03","12","01","0","56","M","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009105713","2","1","1","4","00","00","01","0","31","F","0","0","Y","","9","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2009105713","1","1","1","9","99","99","01","0","99","M","0","0","","","9","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097429","1","1","1","0","00","00","01","1","39","M","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097429","3","1","1","8","00","00","01","0","40","M","0","0","Y","ZZ","9","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097429","2","2","1","4","00","00","01","0","28","M","0","0","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097493","1","1","1","0","99","99","01","1","24","M","0","1","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097493","2","1","7","4","00","00","00","0","41","F","0","0","","","0","01","2","2","2008","67","PERSON_2008_Philadelphia","67301"
"2008097588","2","1","1","0","99","00","01","0","20","F","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097588","1","5","2","0","03","00","99","0","7","F","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097588","1","4","2","0","03","00","99","0","9","M","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097588","1","3","2","0","03","00","99","0","11","M","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097588","1","2","2","3","99","00","03","0","35","F","0","0","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097588","1","1","1","0","99","00","01","0","65","M","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097926","2","2","2","0","99","99","03","0","99","U","0","0","","","9","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097926","2","1","1","0","99","99","01","0","99","U","0","0","","","9","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097926","1","1","1","3","00","00","01","0","24","M","0","0","","","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097930","1","1","1","4","00","00","01","0","28","M","0","0","Y","","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097930","2","1","1","0","03","00","01","0","25","F","0","0","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008097943","2","1","7","8","00","00","00","0","8","F","0","0","Y","","0","99","2","9","2008","67","PERSON_2008_Philadelphia","67301"
