"ACCESS_CTRL","ADJ_RDWY_SEQ","COUNTY","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_YEAR","MUNICIPALITY"
"","3","67","2008","2008097447","02","","E","4","4","","","","CHRISTIAN ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008097447","01","","W","3","4","","","","13TH ST","ROADWAY_2008_Philadelphia","67301"
"3","4","67","2008","2008097456","02","205","S","5","2","3017","0061","35","FIFTYSECOND ST","ROADWAY_2008_Philadelphia","67301"
"","5","67","2008","2008097456","01","","E","4","4","","","","MERION AV","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008097456","2 ","205","N","3","2","3017","0060","35","FIFTYSECOND ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008097462","03","1298","N","3","2","6001","0270","","ROOSEVELT BL","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008097562","99","","W","4","4","","","","LONGSHORE AV","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008097562","3 ","1702","N","3","2","6001","0250","40","ROOSEVELT BL","ROADWAY_2008_Philadelphia","67301"
"3","5","67","2008","2008097567","2 ","0","E","5","2","4009","0020","35","ROBERTS AV","ROADWAY_2008_Philadelphia","67301"
"3","4","67","2008","2008097567","2 ","2152","S","4","2","4003","0011","40","WISSAHICKON AV","ROADWAY_2008_Philadelphia","67301"
"3","6","67","2008","2008097567","1 ","0","W","6","2","4009","0021","35","ROBERTS AV","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008097567","2 ","2161","N","3","2","4003","0010","40","WISSAHICKON AV","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008097585","02","","W","4","4","","","25","SPRINGFIELD AV","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008097585","02","","N","3","4","","","25","55TH ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008097714","01","","W","4","4","","","25","BERKS ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008097714","02","","N","3","4","","","25","22ND ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008097880","02","","W","3","4","","","25","DIAMOND ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098024","02","2015","N","3","2","0001","0060","25","CITY AV","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098030","02","555","N","5","2","0611","0090","30","BROAD ST","ROADWAY_2008_Philadelphia","67301"
"","5","67","2008","2008098030","02","","E","4","4","","","25","CLEARFIELD ST","ROADWAY_2008_Philadelphia","67301"
"3","4","67","2008","2008098030","2 ","557","S","3","2","0611","0091","30","BROAD ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098048","01","","E","3","4","","","15","ROSALIE ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098070","02","","S","4","4","","","","SEVENTEENTH ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098070","1 ","488","N","3","2","3019","0110","35","PASSYUNK AV","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098151","02","","W","3","4","","","25","ARCH ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098182","99","","N","4","4","","","","EIGHTH ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098182","99","","W","3","4","","","","SPRUCE ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098387","04","","E","3","4","","","25","GRAYSFERRY AV","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098397","02","","N","3","4","","","35","5TH ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098399","2 ","2580","N","3","2","1011","0090","30","WELSH RD","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098451","01","","N","4","4","","","25","3RD ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098451","02","","W","3","4","","","25","TABOR RD","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098468","2 ","468","N","3","2","0611","0150","30","BROAD ST","ROADWAY_2008_Philadelphia","67301"
"3","4","67","2008","2008098603","4 ","2102","W","4","2","0013","0161","30","HUNTING PARK AV","ROADWAY_2008_Philadelphia","67301"
"","6","67","2008","2008098603","99","","W","6","4","","","","EIGHTEENTH ST","ROADWAY_2008_Philadelphia","67301"
"3","5","67","2008","2008098603","2 ","0","S","5","2","4007","0010","25","CLARISSA ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098603","4 ","2096","E","3","2","0013","0160","30","HUNTING PARK AV","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098653","01","","E","4","4","","","","PORTER ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098653","01","","N","3","4","","","","13TH ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098672","02","","N","3","4","","","","CANTERBURY RD","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2009026676","02","","S","3","2","0291","","40","","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2009026968","99","","E","4","4","","","","LOCUST ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2009026968","99","","N","3","4","","","","20TH ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2009027124","2 ","1037","E","3","2","0073","0070","30","COTTMAN AV","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008089910","2 ","2229","W","3","1","0076","3451","50","SCHUYLKILL EX","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008089974","02","949","N","3","2","3015","0040","25","COBBS CREEK PY","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008090245","3 ","310","N","3","2","2001","0120","35","CHRISTOPHER COLUMBUS BL","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008097431","01","","N","4","4","","","25","GILLESPIE ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008097431","02","","E","3","4","","","25","DEVEREAUX ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008097546","02","","N","4","4","","","","KENSINGTON AV","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008097546","2 ","1197","E","3","2","1005","0060","","CASTOR AV","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008097942","99","","N","3","4","","","","WISSAHICKON DR","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008097952","03","","S","4","4","","","30","THIRTIETH ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008097952","2 ","1696","E","3","2","0003","0090","35","CHESTNUT ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008097969","99","","N","3","4","","","","ASHTON RD","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008097973","02","","N","4","4","","","","WINCHESTER AV","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008097973","2 ","742","E","3","2","1016","0020","25","HOLME AV","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008097977","99","","E","4","4","","","","LIBERTY BELL BL","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008097977","2 ","672","N","3","2","1015","0040","35","KNIGHTS RD","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098123","01","","S","4","4","","","25","4TH ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098123","01","","W","3","4","","","25","SHUNK ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098132","2 ","3686","W","3","2","3021","0071","25","GRAYS FERRY AV","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098138","02","","E","4","4","","","25","FUNSTON ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098138","4 ","308","N","3","2","3017","0040","35","FIFTYSECOND ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098143","02","","W","3","4","","","25","BROOKHAVEN ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098163","02","","S","3","4","","","25","48TH ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098262","99","","S","4","4","","","","MERIDIAN ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098262","02","","N","3","4","","","","ROWLAND AV","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098264","01","","E","4","4","","","","GRANITE ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098264","2 ","645","S","3","2","1004","0110","25","TORRESDALE AV","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098296","02","","E","4","4","","","","RIPLEY ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098296","2 ","1943","N","3","2","1001","0090","35","VERREE RD","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098373","01","","E","4","4","","","25","MONMOUTH ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098373","01","","N","3","4","","","25","JASPER ST","ROADWAY_2008_Philadelphia","67301"
"","5","67","2008","2008098428","04","","W","5","4","","","25","WHEATSHEAF LN","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098428","02","1716","N","4","2","2009","0060","25","ARAMINGO AV","ROADWAY_2008_Philadelphia","67301"
"3","4","67","2008","2008098428","2 ","1717","S","3","2","2009","0061","35","ARAMINGO AV","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098430","02","2553","E","5","2","2016","0080","","","ROADWAY_2008_Philadelphia","67301"
"","5","67","2008","2008098430","02","","N","4","4","","","","CUSTER ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098430","2 ","2553","W","3","2","2016","0081","","ALLEGHENY AV","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098618","03","2269","E","5","2","0291","0160","25","BROAD ST","ROADWAY_2008_Philadelphia","67301"
"","5","67","2008","2008098618","99","","W","4","4","","","","WASHINGTON AV","ROADWAY_2008_Philadelphia","67301"
"3","4","67","2008","2008098618","3 ","2272","W","3","2","0291","0161","25","BROAD ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098627","02","","N","4","4","","","30","36TH ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098627","01","","W","3","4","","","25","WARREN ST","ROADWAY_2008_Philadelphia","67301"
"3","5","67","2008","2008098654","2 ","107","E","5","2","1018","0030","45","GRANT AV","ROADWAY_2008_Philadelphia","67301"
"3","6","67","2008","2008098654","3 ","0","W","8","2","1018","0031","45","GRANT AV","ROADWAY_2008_Philadelphia","67301"
"3","4","67","2008","2008098654","2 ","0","E","6","2","1018","0030","45","GRANT AV","ROADWAY_2008_Philadelphia","67301"
"3","8","67","2008","2008098654","3 ","0","N","4","2","6001","0320","45","ROOSEVELT BL","ROADWAY_2008_Philadelphia","67301"
"3","7","67","2008","2008098654","3 ","106","W","7","2","1018","0031","45","GRANT AV","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098654","3 ","0","S","3","2","0001","0321","45","ROOSEVELT BL","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008089801","99","","","4","4","","","","AMBER ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008089801","2 ","2411","W","3","2","2016","0090","","ALLEGHENY AV","ROADWAY_2008_Philadelphia","67301"
"1","3","67","2008","2008090039","3 ","110","E","3","1","0076","3460","50","SCHUYLKILL EX","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008091024","01","","W","3","4","","","25","SANSOM ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008097538","02","","S","4","4","","","25","SIXTYSEVENTH ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008097538","2 ","0","W","3","2","3018","0030","45","HAVERFORD AV","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008097843","2 ","2874","E","4","2","1018","0020","30","GRANT AV","ROADWAY_2008_Philadelphia","67301"
"3","4","67","2008","2008097843","2 ","2879","W","5","2","1018","0021","35","GRANT AV","ROADWAY_2008_Philadelphia","67301"
"3","5","67","2008","2008097843","3 ","0","S","3","2","6001","0321","45","ROOSEVELT BL","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008097885","02","","S","3","4","","","","15TH ST","ROADWAY_2008_Philadelphia","67301"
