"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2008091183","2","0","PA","7","PT4156H ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008091708","1","0","ZZ","7","UNKNOWN ","1999","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008092039","1","0","PA","7","PT3241J ","2068","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008094092","1","0","FL","6","C5138Z ","2007","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008094740","2","0","PA","7","PT9909B ","2099","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008095344","1","0","","","BB ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008095575","3","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008095581","1","0","??","","????????????","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008095586","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008095586","2","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008095597","2","0","","1","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008095598","1","0","","1","K ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008095598","2","0","","","1 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008095600","1","0","PA","3","X0T9DYI7 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008095706","2","0","","","????????????","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008095715","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008097531","1","0","PA","1","UK95I0 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008099274","3","0","","8","I8E4Q4 ","3110","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008100961","1","0","IN","7","I20501 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008100987","1","0","PA","6","H2577C ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008101288","2","0","NA","8","NONE ","2099","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008101521","1","0","ZZ","7","UNK ","2009","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008101782","2","0","ZZ","6","NONE ","2099","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008101800","1","0","PA","6","PT3599D ","2009","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008102182","2","0","IL","7","T210224 ","2009","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008102183","1","0","ZZ","7","UNKNOWN ","1999","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008102300","1","0","PA","1","UNKNOWN ","2009","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008103648","1","0","","7","PA338R ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008104397","1","0","PA","6","R69B ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008104867","2","0","PA","7","XW01402 ","2009","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008023061","2","0","ME","7","1175592 ","2004","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008026606","2","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008026687","1","0","MD","3","38883GG ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008026931","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008027003","1","0","","7","7I3AD ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008027005","2","0","TA","3","B430YZ0 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008027017","1","0","MI","7","IZ0550 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008027027","1","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008027027","2","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008027031","1","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008113478","1","0","ZZ","7","UNKNOWN ","2069","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008114228","1","0","PA","6","PT1166K ","2000","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008116118","1","0","PA","6","XCZ1726 ","2009","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008118561","2","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008118618","2","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008118719","3","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008118926","1","0","","9","1 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008118926","2","0","","9","H ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008118968","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008118970","2","0","","8","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008119029","1","0","PA","8","BMM4Q ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008119029","2","0","OK","7","ZO5D6 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008119130","2","0","J ","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008119180","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008119193","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008119339","2","0","ZZ","9","UNKNOWN ","9999","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008119506","1","0","","8","H ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008119506","2","0","","8","6 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008119656","2","0","","","C ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008119665","1","0","","2","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008120129","2","0","","7","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008050137","2","0","PA","8","XCH9868 ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008050236","2","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008050248","1","0","ME","7","D97296 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008050569","1","0","","7","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008050771","2","0","IN","6","T233597 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008050774","2","0","","1","S34374 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008050775","2","0","","6","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008050839","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008051736","1","0","QC","6","EI840I ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008052214","2","0","","7","NIA ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008053643","1","0","IN","6","XN2229 ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008053643","2","0","NJ","6","20443C ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008053990","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
