"","**Characteristic**","**BMI <18.5**, N = 18","**BMI 18.5-25**, N = 197","**BMI 25-30**, N = 294","**BMI >30**, N = 249","**p-value**"
"1","Sex",NA,NA,NA,NA,"<0.001"
"2","Female","14 (78%)","91 (49%)","87 (31%)","97 (39%)",NA
"3","Male","4 (22%)","95 (51%)","198 (69%)","150 (61%)",NA
"4","Unknown","0","11","9","2",NA
"5","Race",NA,NA,NA,NA,NA
"6","ASIAN","1 (5.6%)","6 (3.0%)","4 (1.4%)","2 (0.8%)",NA
"7","BLACKORAFRICAN","7 (39%)","33 (17%)","35 (12%)","48 (19%)",NA
"8","OTHER","2 (11%)","8 (4.1%)","16 (5.4%)","13 (5.2%)",NA
"9","WHITE","8 (44%)","150 (76%)","239 (81%)","186 (75%)",NA
"10","AgeDx","64 (60, 70)","65 (57, 73)","64 (58, 71)","64 (55, 68)","0.032"
"11","ISSDx",NA,NA,NA,NA,NA
"12","1","2 (11%)","65 (35%)","102 (36%)","85 (35%)",NA
"13","2","12 (67%)","64 (34%)","105 (37%)","92 (38%)",NA
"14","3","4 (22%)","58 (31%)","77 (27%)","67 (27%)",NA
"15","Unknown","0","10","10","5",NA
"16","IMWG_Risk",NA,NA,NA,NA,NA
"17","High Risk","2 (11%)","27 (15%)","36 (13%)","29 (13%)",NA
"18","Low Risk","1 (5.6%)","13 (7.1%)","24 (8.9%)","31 (14%)",NA
"19","Standard Risk","15 (83%)","144 (78%)","210 (78%)","167 (74%)",NA
"20","Unknown","0","13","24","22",NA
"21","Translocation_Summary",NA,NA,NA,NA,NA
"22","None","11 (61%)","120 (61%)","174 (59%)","158 (63%)",NA
"23","t(11;14)","3 (17%)","34 (17%)","67 (23%)","42 (17%)",NA
"24","t(14;16)","0 (0%)","8 (4.1%)","12 (4.1%)","9 (3.6%)",NA
"25","t(14;20)","1 (5.6%)","2 (1.0%)","2 (0.7%)","6 (2.4%)",NA
"26","t(4;14)","2 (11%)","29 (15%)","33 (11%)","29 (12%)",NA
"27","t(6;14)","0 (0%)","0 (0%)","5 (1.7%)","4 (1.6%)",NA
"28","t(8;14)","1 (5.6%)","4 (2.0%)","1 (0.3%)","1 (0.4%)",NA
