Results Last Updated Date,Trial NCT #,Indication,Therapeutic,SOC Comparison,Sponsor,Masking,Primary Endpoint,Time for Primary Endpoint (yrs),Number of Inclusion Criteria,Number of Exclusion Criteria,Ratio of Inclusion to Exclusion Criteria,Number of Study Sites,Number of Subjects Enrolled in the Main Treatment Arm,Primary Endpoint Success ,Primary Endpoint Value,Primary Endpoint Category,Moved to Phase III,First time in Phase II,Number of Primary Endpoints,Number of Secondary Endpoints,Ratio of Sec. Endpts. To Prim. Endpts.,P-Value,Number
28-Nov-17,NCT01558661,"Progressive, Recurrent/Metastatic Adenoid Cystic Carcinoma",Axitinib ,None,Pfizer,Open Label,Response Rate,2,10,12,0.833333333,1,33,No,0.758,Stable Disease,No,No,1,3,3,No,NA
23-Oct-18,NCT01664923,Prostate Cancer,Enzalutamide,SOC,Pfizer,Triple,Progression Free Survival,1.225,9,22,0.409090909,109,197,Yes,13.7,Month improvement in PFS,Yes,No,1,6,6,Yes,0.00005
23-Feb-16,NCT01240915,Moderate To Severe Ulcerative Colitis,Multistem,Placebo,Pfizer,Triple,Modified Baron Score,0.153846154,5,5,1,58,56,No,0.4,Increase in score,No,Yes,6,15,2.5,Yes,0.96
13-Apr-17,NCT01363297,Acute Lymphocytic Leukemia,Inotuzumab Ozogamicin,None,Pfizer,Open Label,Response Rate,2,3,3,1,15,35,Yes,0.686,Hematologic remission rate,Yes,No,4,15,3.75,No,NA
16-May-18,NCT02780167,Moderate To Severe Atopic Dermatitis,Pf-04965842,Placebo,Pfizer,Triple,Investigator's Global Assessment,0.230769231,2,4,0.5,64,55,Yes,0.382,Net Percentage with Improvement in Score,Yes,No,1,24,24,Yes,0.121
9-Nov-17,NCT01587898,Anemia Associated With Chronic Kidney Disease,GSK1278863 ,Placebo,GSK,Double,Hgb Change From Baseline,0.076923077,13,27,0.481481481,55,18,Yes,1.58,Change in HgB score compared to baseline (-placebo),Yes,No,1,42,42,Yes,0.5888
19-Jun-18,NCT03005067,Common Cold,1146A Nasal Spray,Placebo,GSK,Double,Average Nasal Symptom Score,0.010958904,6,6,1,24,86,No,0.0092,Average Nasal Symptom Score Decrease,No,Yes,1,3,3,Yes,0.516
28-Mar-17,NCT02573870,Chronic Obstructive Pulmonary Disease,batefenterol/FF,Placebo,GSK,Double,Change in Baseline Heart Rate,0.115068493,6,24,0.25,10,42,No,2.245,Decrease in bpm,No,Yes,1,0,0,No,NA
20-Nov-17,NCT02564055,Atopic Dermatitis,GSK2894512 ,Placebo,GSK,Double,Investigator's Global Assessment,0.230769231,6,12,0.5,60,36,Yes,0.226,Net Percentage with Improvement in Score,No,Yes,1,39,39,No,NA
12-Dec-16,NCT01619774,Refractory Metastatic Melanoma,GSK2118436 and GSK1120212,None,GSK,Open Label,Response Rate,1,14,21,0.666666667,1,20,No,0.1,Overall Response Rate,Yes,No,2,1,0.5,No,NA
3-Oct-18,NCT02712008,Diabetic Macular Edema,REGN910-3,SOC,Regeneron,Quadruple ,Best Corrected Visual Acuity,0.230769231,4,3,1.333333333,51,99,No,-0.3,Change From Baseline in Best Corrected Visual Acuity,No,Yes,2,4,2,Yes,0.1368
1-May-18,NCT01538719,Systemic Sclerosis,Rilonacept,Placebo,Regeneron,Quadruple ,Change in 2- Gene Biomarker,0.115068493,4,26,0.153846154,1,12,No,3.09,Change in 2- Gene Biomarker  ,No,No,1,1,1,No,NA
28-Aug-17,NCT01859988,Moderate To Severe Atopic Dermatitis,Dupilumab,Placebo,Regeneron,Quadruple ,Eczema Area and Severity Index Score,0.307692308,3,11,0.272727273,84,61,Yes,-0.553,Percent Change in Eczema Area and Severity Index Score,Yes,No,1,13,13,Yes,0.00005
22-Sep-15,NCT01266876,Heterozygous familial hypercholesterolemia,Alirocumab,Placebo,Regeneron,Triple,Percent Change From Baseline in Calculated LDL-C,0.230769231,5,7,0.714285714,22,16,Yes,-0.572,Percent Change From Baseline in Calculated LDL-C,Yes,Yes,1,18,18,Yes,0.0035
26-Jun-17,NCT01854047,Moderate to Severe Uncontrolled Asthma,Dupilumab,Placebo,Regeneron,Triple,Absolute Change From Baseline in Forced Expiratory Volume,0.230769231,5,5,1,201,64,Yes,2,Absolute Change From Baseline in Forced Expiratory Volume,Yes,No,2,20,10,Yes,0.0063
17-Jul-18,NCT02784106,Rheumatoid Arthritis,M2951,Placebo,Merck,Double,ACR20 Response,0.230136986,10,15,0.666666667,2,33,No,0.1,Difference in Proportion of Responders,No,Yes,1,30,30,No,NA
9-Aug-18,NCT01550224,Refractory Acute Myeloid Leukemia,Temozolomide Plus Vorinostat,None,Merck,Open Label,Complete Remission,0.192307692,15,14,1.071428571,1,23,No,0,Complete Remission,No,No,1,8,8,No,NA
