"","Hour","dow_surgery_date","Count"
"1",0.316666666666667,"Thursday",1
"2",0.683333333333333,"Monday",1
"3",1.43333333333333,"Monday",1
"4",1.6,"Thursday",1
"5",6.1,"Thursday",1
"6",6.21666666666667,"Sunday",1
"7",6.75,"Wednesday",1
"8",6.78333333333333,"Wednesday",1
"9",6.83333333333333,"Wednesday",2
"10",6.85,"Wednesday",1
"11",6.86666666666667,"Tuesday",1
"12",6.86666666666667,"Wednesday",3
"13",6.88333333333333,"Monday",2
"14",6.88333333333333,"Tuesday",1
"15",6.9,"Monday",1
"16",6.9,"Tuesday",1
"17",6.9,"Wednesday",2
"18",6.91666666666667,"Monday",1
"19",6.91666666666667,"Tuesday",4
"20",6.91666666666667,"Wednesday",7
"21",6.93333333333333,"Friday",2
"22",6.93333333333333,"Monday",3
"23",6.93333333333333,"Wednesday",3
"24",6.95,"Friday",1
"25",6.95,"Monday",5
"26",6.95,"Tuesday",6
"27",6.95,"Wednesday",5
"28",6.96666666666667,"Friday",3
"29",6.96666666666667,"Monday",5
"30",6.96666666666667,"Wednesday",9
"31",6.98333333333333,"Friday",2
"32",6.98333333333333,"Monday",8
"33",6.98333333333333,"Tuesday",5
"34",6.98333333333333,"Wednesday",11
"35",7,"Friday",6
"36",7,"Monday",11
"37",7,"Thursday",4
"38",7,"Tuesday",5
"39",7,"Wednesday",6
"40",7.01666666666667,"Monday",6
"41",7.01666666666667,"Tuesday",2
"42",7.01666666666667,"Wednesday",3
"43",7.03333333333333,"Friday",3
"44",7.03333333333333,"Monday",2
"45",7.03333333333333,"Tuesday",1
"46",7.03333333333333,"Wednesday",2
"47",7.05,"Monday",3
"48",7.05,"Thursday",1
"49",7.05,"Tuesday",2
"50",7.06666666666667,"Friday",1
"51",7.06666666666667,"Monday",2
"52",7.06666666666667,"Tuesday",2
"53",7.06666666666667,"Wednesday",1
"54",7.08333333333333,"Thursday",1
"55",7.08333333333333,"Tuesday",2
"56",7.08333333333333,"Wednesday",1
"57",7.1,"Monday",4
"58",7.1,"Tuesday",4
"59",7.1,"Wednesday",2
"60",7.11666666666667,"Friday",1
"61",7.11666666666667,"Tuesday",1
"62",7.13333333333333,"Monday",2
"63",7.13333333333333,"Tuesday",2
"64",7.15,"Friday",1
"65",7.15,"Monday",1
"66",7.16666666666667,"Tuesday",1
"67",7.18333333333333,"Monday",2
"68",7.18333333333333,"Tuesday",4
"69",7.2,"Monday",1
"70",7.2,"Thursday",1
"71",7.2,"Tuesday",1
"72",7.21666666666667,"Friday",1
"73",7.21666666666667,"Monday",2
"74",7.21666666666667,"Tuesday",1
"75",7.21666666666667,"Wednesday",1
"76",7.23333333333333,"Friday",1
"77",7.23333333333333,"Monday",4
"78",7.23333333333333,"Tuesday",1
"79",7.23333333333333,"Wednesday",1
"80",7.25,"Friday",2
"81",7.25,"Monday",3
"82",7.25,"Tuesday",2
"83",7.25,"Wednesday",2
"84",7.26666666666667,"Friday",1
"85",7.26666666666667,"Monday",6
"86",7.26666666666667,"Sunday",1
"87",7.26666666666667,"Wednesday",2
"88",7.28333333333333,"Friday",1
"89",7.28333333333333,"Monday",3
"90",7.28333333333333,"Tuesday",2
"91",7.3,"Friday",2
"92",7.3,"Monday",5
"93",7.3,"Tuesday",1
