"pathway","pval","padj","ES","NES","nMoreExtreme","size","main_pathway","leadingEdge"
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION","0.000454959053685168","0.0150269198832132","0.482958515393367","2.64378129308949","0","234","main","CXCL1,CXCL2,CXCL5,IL24,IL6,CXCL3,CXCL8,CCL20,IL1A,IL1B,CXCL6,LIF,CSF3,IL7R,LTB,VEGFA,IFNA14,TNFRSF1A,INHBA,CTF1,CXCL9,CCR10,TGFB2,CXCL11,BMP7,CSF1,EGFR,CD40,XCL1,PRL,CSF2,IL2RA,EPOR,PDGFRA,EDA,BMP2,TGFB1,TNFRSF25,CCR4,TNFSF11,TNFSF14,IFNA7,CXCR3,IL4R,CXCR4,ACVR1B,LTBR,FLT3,CCL16,HGF,CCR5,EDA2R,CCR2,IFNA17,IL2RB,IL6ST,IFNB1,CCL22,GH2,GH1,FASLG,INHBC,CCL27,OSM,IL10RA,IL1R2,PRLR,IFNA4,CCL18,CCL4,IL18,CRLF2,IL25,CXCR1,FLT1,CNTFR,EPO,ACVRL1,CCL25,CXCL13,IL17A,IL3,TNFRSF1B,CCL21,CCL11,IL19,IL11,TNFRSF10C"
"KEGG_CHEMOKINE_SIGNALING_PATHWAY","0.000394944707740916","0.0150269198832132","0.405068186333258","2.10462279535528","0","166","REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES","CXCL1,CXCL2,CXCL5,CXCL3,CXCL8,CCL20,CXCL6,NFKBIA,NFKB1,ADCY1,GNG13,LYN,CXCL9,CSK,ELMO1,CCR10,CDC42,GRK6,CXCL11,GRK3,ADCY2,IKBKG,STAT3,NCF1,XCL1,ROCK2,GRK2,CCR4,PLCB2,SHC1,PIK3CD,GSK3A,CXCR3,CRK,ARRB1,GNG5,PARD3,CXCR4,RASGRP2,GRK5,CCL16,CCR5,VAV1,CCR2,RAC1,CCL22,PRKACG,CCL27,VAV2,CCL18,CCL4,GNB3,RELA,CXCR1,WAS,CCL25,CXCL13,PTK2B,CCL21,CCL11,JAK3,FGR,SHC2,GNG4,ITK"
"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION","0.000466853408029879","0.0150269198832132","0.369850724147677","2.03696194789847","0","245","main","CNR1,GABRR2,GABBR1,CNR2,LPAR3,P2RX6,ADORA2B,AVPR1A,TBXA2R,EDNRA,EDNRB,PTAFR,P2RY2,GLRA2,VIPR2,GPR35,ADRA1D,PTGER1,CGA,HTR1B,PRL,SSTR3,GNRHR,MC5R,S1PR4,ADRA1B,GCGR,MC4R,PLG,GRIN2A,CHRM2,CHRNA4,THRA,PARD3,CHRND,GRM6,CRHR2,HTR4,GLRA1,OPRL1,LTB4R,GRM1,GRIN1,GRM3,GRIN2B,NTSR2,GZMA,AVPR1B,HTR1F,P2RY4,GH2,GRPR,P2RX2,GH1,PTGIR,SSTR2,TSPO,GABRA4,PTGDR,THRB,CHRNB3,LPAR2,HTR6,PRLR,HTR2A,GHRHR,DRD2,MC1R,TACR2,F2,GRIK5,CHRNG,DRD3,F2R,APLNR,GLRA3,GRM7,HTR1E,GRIK3,TAAR5,AVPR2,PTH1R,GRID2,ADORA3,HTR1A,GABRA1,GABRB1,TACR3,OPRM1,MC2R,GABRA6,CHRM4,P2RX3,FPR2,HRH4,MTNR1B,GRIA2,GABRA5,CHRNA2,GALR3,NPY2R,ADRB3,F2RL2,MCHR1,GRIA3,GABRB2,GABRD,LPAR1,GLP1R,PRSS1,GRM2,P2RY14,TAAR2,MAS1,FPR1,HRH2,P2RY10,P2RX1,AGTR2,HTR2C,BRS3,NPBWR2"
"KEGG_CELL_ADHESION_MOLECULES_CAMS","0.000353731871241599","0.0150269198832132","0.365362113070173","1.80076959489282","0","119","main","ICAM1,NRCAM,PTPRF,VCAN,SELL,HLA-A,HLA-B,SPN,HLA-E,ICAM2,CD40,CD80,CD34,SIGLEC1,ICOSLG,MPZ,SDC4,HLA-G,PVR,JAM2,CNTN2,NCAM1,CLDN18,HLA-DQA1,HLA-F,HLA-DRB4,CD2,SELPLG,CD8B,ITGA9,ITGAM,CD22,HLA-C,CTLA4,HLA-DMB,SELP,CD6,HLA-DOA,CD4,CLDN10,HLA-DMA,ITGB1,CD28,CNTNAP1,CNTN1,NRXN1,NLGN3,PECAM1,CLDN15,HLA-DOB,CDH4,HLA-DPA1,NRXN2"
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY","0.000335345405767941","0.0150269198832132","0.399131654320848","1.90394328077118","0","98","main","IL6,CXCL8,IL1B,NFKBIA,MAP2K7,TLR2,NFKB1,IFNA14,CXCL9,MAP3K8,CXCL11,IKBKG,IKBKE,CD40,CD80,JUN,LBP,PIK3CD,IFNA7,TRAF3,MAPK8,MYD88,TAB1,RAC1,IFNA17,IFNB1"
"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY","0.000295508274231678","0.0150269198832132","0.623849095371397","2.65597484209912","0","56","main","CXCL1,CXCL2,TNFAIP3,IL6,CXCL8,IL1B,NFKBIA,BIRC3,NFKB1,NLRP1,IKBKG"
"KEGG_HEMATOPOIETIC_CELL_LINEAGE","0.00032478077297824","0.0150269198832132","0.495944978398184","2.29665929251236","0","83","main","IL6,IL1A,IL1B,TFRC,CD44,CSF3,IL7R,CD3D,CD37,CSF1,CSF2,IL2RA,EPOR,CD34,ITGA5,CD36,IL4R,HLA-DRB4,CD2,CD8B,CD5,DNTT,GYPA,ITGAM,FLT3,CD22,CD1E,IL1R2,MS4A1,CD4,CD1B,CD1C,EPO,IL3,IL11"
"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION","0.000303859009419629","0.0150269198832132","0.511062976627913","2.22953034270116","0","63","main","CXCL1,CXCL8,HBEGF,NFKBIA,NFKB1,LYN,CSK,CDC42,GIT1,IKBKG,EGFR,JUN,ATP6V0A1,JAM2,PLCG1,MAPK8"
"KEGG_GRAFT_VERSUS_HOST_DISEASE","0.000274800769442154","0.0150269198832132","0.620174187985914","2.35144852053418","0","34","main","IL6,IL1A,IL1B,KIR2DL3,HLA-A,HLA-B,HLA-E,CD80,HLA-G,HLA-DQA1,HLA-F,HLA-DRB4,KLRD1,HLA-C,KIR2DL2,FASLG,HLA-DMB"
"REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX","0.000357142857142857","0.0150269198832132","0.384796149908357","1.90201647977183","0","121","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","MMP1,CD44,LAMC2,LAMA3,MMP25,COL14A1,CTSL,ACAN,MMP15,COL13A1,PSEN1,DCN,LAMB3,SPOCK3,CAPN9,COL3A1,MMP2,COL10A1,CTSB,BMP1,PLG,MMP3,ADAM8,KLKB1,COL6A2,MMP12,MMP11,MMP17,COL11A2,COL9A1,FN1,COL4A1,CMA1,ELN,KLK2,MMP19,COL4A2,SCUBE3,COL8A2,COL4A4,COL5A3,CTSS,CTSK,FURIN,BCAN,MMP14,ADAM17,ADAM15"
