"pathway","pval","padj","ES","NES","nMoreExtreme","size","main_pathway","leadingEdge"
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS","0.000224820143884892","0.00551094083842923","0.370395918765006","1.76554041775199","0","101","REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION","HLA-DOA,H4C1,H3C2,H3-4,H4C3,H2BC10,CD80,H3C12,H2BC9,C5,CTSG,HLA-DQA1,H2BC5,H2BC6,SNRPD1,HLA-DPA1,FCGR2C,H4C4,CD86,C1QB,C8A,H2BC17,CD28,HLA-DRB4,SNRPD3,GRIN2B,H3C1,H2BC12,H2AC16,ACTN2,H3C11,H3C7,H2AC13,H2AC18,H2BC13,H2AZ2,H4C5,HLA-DPB1,HLA-DOB,H2BC8,ACTN4,C3,C6,H2BC7,H2BC3,H3C6,C8B,H4C2,H2AW,ACTN1,SNRPB,H2AZ1,H4C9,H2AC4,H2AC14"
"KEGG_OXIDATIVE_PHOSPHORYLATION","0.000225225225225225","0.00551094083842923","0.487905058493098","2.33135274513476","0","103","main","ATP5ME,ATP5F1E,NDUFB1,COX7B,NDUFB7,NDUFA3,COX6B1,NDUFA1,COX7A2,COX7C,UQCR11,NDUFC1,UQCRB,NDUFB3,ATP5MF,NDUFB2,COX17,NDUFA6,ATP5MG,NDUFS6,NDUFS5,UQCR10,NDUFA2,ATP5PF,COX5B,ATP5MC1,UQCRQ,NDUFA4,NDUFB8,COX8A,NDUFA7,COX6C,NDUFB4,NDUFC2,ATP5MC2,NDUFS8,SDHB,ATP6V1F,ATP5PO,NDUFB6,UQCRH,COX6A1,NDUFAB1,ATP6V0A2,COX5A,ATP5MC3"
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION","0.000185253797702853","0.00551094083842923","-0.548066090833483","-2.11449948109652","0","40","main","HMGCS1,BCAT1,ACAA2,HADH,ALDH7A1,PCCA,BCKDHB,MCCC1,MCCC2,ABAT,PCCB,DLD,ALDH2,ALDH6A1,DBT,ACAT1,ALDH1B1,IVD,HIBCH,ACAA1,ACAD8,OXCT1,ACADS,ACADSB,ACAT2"
"KEGG_RETINOL_METABOLISM","0.000218818380743983","0.00551094083842923","0.559345070500734","2.22473820971177","0","41","KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450","CYP1A1,RDH8,CYP2C19,CYP2C9,CYP1A2,CYP3A4,DHRS3,CYP2A6,ADH6,CYP3A7,DHRS9,ADH1A,CYP3A43,CYP2A7,UGT2B28"
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450","0.000220361392684002","0.00551094083842923","0.564099975480818","2.3259323302074","0","48","main","CYP1A1,CYP1B1,ALDH1A3,AKR1C1,CYP2C19,CYP2C9,CYP1A2,CYP3A4,GSTM5,MGST3,GSTP1,ADH6,CYP3A7,ADH1A,CYP3A43,MGST2,UGT2B28"
"KEGG_DNA_REPLICATION","0.000187265917602996","0.00551094083842923","-0.585764360165709","-2.1688211560539","0","34","REACTOME_DNA_STRAND_ELONGATION","RFC5,PRIM2,FEN1,MCM4,SSBP1,PRIM1,RFC2,MCM5,RFC3,POLE2,RPA1,MCM6,MCM7,RPA2,RFC4,POLE3,RFC1,POLD2,MCM3"
"KEGG_MISMATCH_REPAIR","0.000188394875659382","0.00551094083842923","-0.65530401166043","-2.17568252493917","0","22","main","RFC5,MLH3,MSH2,SSBP1,MLH1,RFC2,RFC3,RPA1,MSH6,MSH3,EXO1,RPA2,RFC4,RFC1,POLD2"
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION","0.000239520958083832","0.00551094083842923","0.32955829722621","1.79471955200833","0","234","main","IL24,IL1B,IL1A,CCL20,GDF5,IL1R1,TNFRSF25,CXCR4,EGFR,VEGFA,BMP2,EDA2R,IL23A,IL6ST,LIF,PPBP,CSF2,AMHR2,IFNA5,CCL25,CCR2,EDAR,EDA,KIT,CCL21,IL18RAP,CXCL11,CXCL9,CXCL2,TGFBR1,CXCL3,IL1R2,IL2RG,CCL13,BMPR1B,CCR8,ACVR1B,TNFRSF8,PDGFA,IL9R,IL6,FLT4,TNFSF14,PLEKHO2,PDGFB,FLT3,GH2,IFNA6,IL7,FASLG,CSF2RB,XCR1,IL19,TPO,IL17B,BMP7,IL3,IL5RA,CXCL10,HGF,CSF1,CCL8,CCL18,FLT1,ACVRL1"
"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION","0.000239693192713327","0.00551094083842923","0.361583943426991","1.98358674284373","0","245","main","VIPR1,APLNR,HTR7,MC2R,CHRNA3,CHRNB3,NTSR2,TAAR5,ADRA1A,DRD2,CHRND,AGTR2,PTGER3,OPRM1,CYSLTR1,CCKAR,PLG,GRIN1,SSTR1,CALCRL,NPY5R,TRHR,NPY2R,CHRNB2,S1PR2,HCRTR2,CHRNA4,CTSG,EDNRA,GHRHR,MCHR1,HRH3,PTGDR,GLRA1,CHRM4,FSHR,THRA,P2RX2,NPFFR1,HTR4,GALR3,SCTR,HTR1F,P2RY13,ADORA3,C3AR1,TSPO,CHRM3,GH2,TBXA2R,GABRG2,S1PR4,GLP1R,P2RX6,PRSS2,AVPR2,CNR2,ADRB2,HCRTR1,TSHB,GRIK5,CRHR2,AVPR1A,GRIN2B,LPAR1,PTGER1,GNRHR,P2RY14,PRSS3,PARD3,LHB,GRM5,GLP2R,OPRD1,CHRM2,GLRA2,P2RX3,CHRM5,ADCYAP1R1,BDKRB1,THRB,MTNR1B,CCKBR,MLNR,NR3C1,P2RY1,AVPR1B,GRIN2C,SSTR5,P2RY4,FPR2,MC5R,PTH2R,GH1,GZMA,LPAR4,GPR35,GABRA2,GRM3,GLRA3,NTSR1,GABRB2,ADRA1D,NPY1R,HTR2B,MAS1,PTGIR,CHRNA9,HRH4,GABRQ,GRM7,ADRA2A,P2RY6"
"KEGG_CELL_CYCLE","0.000180864532465184","0.00551094083842923","-0.412261378422037","-1.95942132566943","0","114","main","TGFB2,ANAPC5,CCNE2,CDK2,TFDP1,ORC4,CDC14B,WEE1,SKP2,CDC25C,MCM4,CDC6,YWHAZ,YWHAH,CHEK2,BUB1,CDC25A,CCNA1,ATM,MCM5,CDK1,CDC16,MDM2,ORC5,CDC45,CDKN2B,RAD21,CDK7,ANAPC13,GADD45B,CUL1,MCM6,CCNA2,CHEK1,CDKN2C,YWHAE,CDKN2A,TFDP2,ORC3,MCM7,BUB3,CCNB2"
"KEGG_OOCYTE_MEIOSIS","0.00018018018018018","0.00551094083842923","-0.42117751610233","-1.94185843104335","0","93","main","ANAPC5,CCNE2,CDK2,AURKA,PPP2CB,CALM1,RPS6KA6,CDC25C,ITPR2,YWHAZ,YWHAH,PRKX,BUB1,PPP3R1,PPP2R1B,PPP3CA,PPP2R5C,MAPK1,CDK1,BTRC,CDC16,CHP1,PPP3CC,PPP2R5A,ANAPC13,CUL1,YWHAE,MOS,PGR,MAPK12,PRKACB,PPP2R5B,RPS6KA3,ITPR1,CCNB2"
"KEGG_ALZHEIMERS_DISEASE","0.000232883092687471","0.00551094083842923","0.353827273636463","1.79225377616086","0","146","main","IL1B,ATP5F1E,NDUFB1,COX7B,NDUFB7,NDUFA3,ATF6,COX6B1,NDUFA1,COX7A2,COX7C,UQCR11,GRIN1,NDUFC1,UQCRB,NDUFB3,NDUFB2,NDUFA6,NDUFS6,NDUFS5,UQCR10,NDUFA2,ATP5PF,COX5B,ATP5MC1,UQCRQ,NDUFA4,NDUFB8,COX8A,NDUFA7,COX6C,NDUFB4,ATP2A3,CAPN2,NDUFC2,ATP5MC2,NDUFS8,SDHB,ATP5PO,APBB1,PSENEN,NDUFB6,UQCRH,APP,COX6A1,MAPT,NDUFAB1,COX5A,EIF2AK3,ATP5MC3"
"KEGG_PARKINSONS_DISEASE","0.000226193168966297","0.00551094083842923","0.424802548479823","2.02687264751986","0","102","main","ATP5F1E,NDUFB1,COX7B,NDUFB7,NDUFA3,COX6B1,NDUFA1,COX7A2,COX7C,UQCR11,NDUFC1,UQCRB,NDUFB3,NDUFB2,UBA1,NDUFA6,NDUFS6,NDUFS5,UQCR10,NDUFA2,ATP5PF,COX5B,ATP5MC1,UQCRQ,NDUFA4,NDUFB8,COX8A,NDUFA7,COX6C,NDUFB4,NDUFC2,ATP5MC2,NDUFS8,SDHB,ATP5PO,NDUFB6,UQCRH,COX6A1,NDUFAB1,COX5A,ATP5MC3"
"KEGG_HUNTINGTONS_DISEASE","0.000233972859148339","0.00551094083842923","0.379112673611127","1.9385967307343","0","155","main","ATP5F1E,SP1,NDUFB1,DCTN1,COX7B,NDUFB7,NDUFA3,COX6B1,NDUFA1,COX7A2,COX7C,UQCR11,GRIN1,NDUFC1,UQCRB,NDUFB3,POLR2L,DNAH2,CREBBP,NDUFB2,NDUFA6,NDUFS6,NDUFS5,DNAH3,UQCR10,NDUFA2,POLR2I,ATP5PF,COX5B,ATP5MC1,UQCRQ,NDUFA4,NDUFB8,COX8A,NDUFA7,COX6C,NDUFB4,CLTC,CLTA,NDUFC2,ATP5MC2,NDUFS8,SDHB,TFAM,EP300,ATP5PO,POLR2A,POLR2K,NDUFB6,UQCRH,COX6A1,NDUFAB1,COX5A,POLR2F,ATP5MC3,GRIN2B,GNAQ,GRM5,PLCB3,DNAI1,AP2S1,NDUFS4,ATP5PD"
"REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS","0.000215470803706098","0.00551094083842923","0.590854568758877","2.22565334037601","0","33","main","KCNA5,KCNAB1,KCNS1,KCNA2,KCND1,KCNV1,KCNG1,KCNQ4,KCNAB2,KCNC4,KCNG2,KCNH1,KCND2,KCNB2,KCNQ3,KCNA10,KCNF1,KCNQ2,KCNC1,KCNC3,KCNA4,KCNV2,KCNA1,KCNH6,KCNH4"
"REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT","0.000230786983614124","0.00551094083842923","0.361798668296175","1.8256961179116","0","142","REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","ATP5ME,PDPR,RXRA,ATP5F1E,NDUFB1,COX7B,NDUFB7,NDUFA3,COX6B1,NDUFA1,COX7C,UQCR11,NDUFC1,UQCRB,NDUFB3,ATP5MF,NDUFB2,NDUFA6,ATP5MG,NDUFS6,NDUFS5,NDUFA13,UQCR10,NDUFA2,ATP5PF,COX5B,ATP5MC1,UQCRQ,NDUFA4,NDUFB8,COX8A,NDUFA7,COX6C,ME1,NDUFB4,NDUFB11,NDUFC2,ATP5MC2,NDUFS8,ACO2,SDHB,ATP5PO,NDUFAF3,NDUFB6,UQCRH,COX6A1,NDUFAB1,COX5A,ATP5MC3"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS","0.000224416517055655","0.00551094083842923","0.492108956244781","2.32907581877776","0","97","main","ATP5ME,ATP5F1E,NDUFB1,COX7B,NDUFB7,NDUFA3,COX6B1,NDUFA1,COX7C,UQCR11,NDUFC1,UQCRB,NDUFB3,ATP5MF,NDUFB2,NDUFA6,ATP5MG,NDUFS6,NDUFS5,NDUFA13,UQCR10,NDUFA2,ATP5PF,COX5B,ATP5MC1,UQCRQ,NDUFA4,NDUFB8,COX8A,NDUFA7,COX6C,NDUFB4,NDUFB11,NDUFC2,ATP5MC2,NDUFS8,SDHB,ATP5PO,NDUFAF3,NDUFB6,UQCRH,COX6A1,NDUFAB1,COX5A,ATP5MC3"
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS","0.000187265917602996","0.00551094083842923","-0.640612101342203","-2.37189759688021","0","34","main","CDK2,RFC5,ORC4,CDC25C,MCM4,CDC6,CDC25A,RAD17,RFC2,MCM5,RFC3,ORC5,CDC45,RAD9A,RPA1,MCM6,MCM10,CHEK1,ORC3,MCM7,RPA2,RFC4,ATR,MCM3,HUS1"
"REACTOME_XENOBIOTICS","0.000213037920749893","0.00551094083842923","0.669614507127801","2.27548255770198","0","22","REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS","CYP1A1,CYP2C19,CYP2C9,CYP1A2,CYP3A4,CYP2A6,CYP3A7,CYP3A43,CYP2A7"
"REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION","0.000179597701149425","0.00551094083842923","-0.396259158452693","-1.87486443888257","0","109","REACTOME_CELL_CYCLE_MITOTIC","PPP2CB,CENPI,DYNC1LI2,BUB1,NSL1,BIRC5,ZWILCH,MAPRE1,PPP2R1B,CENPU,PPP2R5C,CDK1,PPP2R5A,RAD21,MIS12,NUP85,NDC80,DSN1,PAFAH1B1,CENPA,TUBB2B,KIF18A,CENPN,PPP2R5B,KIF2C,NUDC,BUB3,AURKB,TUBB6,CCNB2,TUBB3,CLASP2,CLIP1,KNTC1,SPDL1,SKA1,PPP2CA,DYNC1LI1,RANBP2,CENPE,STAG1,CCNB1,CDCA8,NUP107,PPP2R5D,DYNC1I2,TUBA4A,KIF2A,PPP1CC,B9D2,PDS5A,SEC13,TUBB4B"
"REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE","0.000171880371261602","0.00551094083842923","-0.315525291024712","-1.64586032076152","0","204","REACTOME_CELL_CYCLE_MITOTIC","ANAPC5,PPP2CB,PSMC2,TMPO,NUP62,CENPI,DYNC1LI2,UBE2I,BUB1,NSL1,BIRC5,ZWILCH,MAPRE1,PPP2R1B,CENPU,PPP2R5C,PSMD11,CDK1,NDC1,CDC16,PSMC3,VRK2,PPP2R5A,RAD21,MIS12,NUP85,SPAST,PSMD1,NDC80,DSN1,PAFAH1B1,CENPA,TUBB2B,KIF18A,PSMD13,CENPN,PPP2R5B,KIF2C,NUDC,BUB3,AURKB,PSMD10,TUBB6,CCNB2,PPP2R2A,TUBB3,CHMP2B,CLASP2,CLIP1,KNTC1,PSMD12,SPDL1,SKA1,PPP2CA,DYNC1LI1,PSMC4,RANBP2,CENPE,STAG1,PSMC5,ANKLE2,CCNB1,CDCA8,PSMB1,NUP107,PPP2R5D,DYNC1I2,PSMD4,PSMA1,TUBA4A,KIF2A,PPP1CC,CHMP7,KPNB1,B9D2,PDS5A,RAN,UBC,NUP93,SEC13,TUBB4B,RCC1,PSMF1,UBE2D1,PSMD5,PPP2R1A,NUP37,ERCC6L"
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53","0.000169376693766938","0.00551094083842923","-0.315706001410152","-1.73332337810922","0","307","REACTOME_REGULATION_OF_TP53_ACTIVITY","TAF9B,CNOT4,CCNE2,CDK2,E2F8,ING2,TFDP1,RFC5,PRKAG2,BRCA1,AURKA,RBBP4,MAP2K6,PPP2CB,CNOT8,PMAIP1,GTF2H1,IGFBP3,CASP6,PLK2,RRAGB,BRIP1,CDC25C,MSH2,KMT5A,YWHAZ,YWHAH,CHEK2,TAF13,BID,NBN,BIRC5,MLH1,RAD17,BARD1,MAPKAPK5,PPP2R1B,MRE11,RFC2,CCNA1,ATM,PPP2R5C,RFC3,FAS,CDK1,RAD51D,PRKAA1,CASP1,MDM2,KAT5,PTEN,MDM4,CNOT9,CASP2,FANCI,PHF20,TP63,COX4I1,SESN1,COX11,BCL6,GPI,RAD9A,L3MBTL1,RPA1,TAF7L,BRD7,CDK7,GSR,CSNK2A1,AGO4,CCNA2,RHEB,CHEK1,RAD50,GLS2,POLR2D,AKT3,CSNK2A2,YWHAE,PIP4K2A,PRKAG1,SGK1,CDKN2A,RBBP8,TFDP2,MAPKAP1,USP2,TAF4B,POLR2E,RRAGA,RABGGTA"
