Gene	gene_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Dusp4	Dusp4	2867.34457607862	2.28809626277277	0.0594428797015798	38.4923522255259	0	0
Irf8	Irf8	10666.1919405241	1.95782864463431	0.0440089203916678	44.4870864181659	0	0
Mapkapk3	Mapkapk3	4405.62069192283	1.99429067152021	0.0529945101829667	37.6320238574675	0	0
Pdgfb	Pdgfb	4102.07281833535	2.37843072775447	0.0561810266636291	42.3351239555442	0	0
Adam19	Adam19	1015.67763747128	4.06818744380097	0.110065180198462	36.9616207093424	4.73905610775142e-299	1.20770105849937e-295
Ahr	Ahr	2418.35303430827	2.32240627707035	0.0639171652771034	36.3346257144212	4.59634042443614e-289	9.76109494802755e-286
Angptl2	Angptl2	2187.29453099607	2.09067275791133	0.0629589397181847	33.2069245014219	8.55247306608452e-242	1.5567944544007e-238
Irf4	Irf4	13996.6824554824	1.25607034160191	0.0405929428357352	30.9430717227072	3.14886961338057e-210	5.0153620767119e-207
Malt1	Malt1	8013.5763892156	1.25895540384253	0.0439475625867789	28.6467628632782	1.75902343875493e-180	2.49038629517948e-177
Il16	Il16	2299.09167640384	1.64548980418853	0.0612698157305244	26.8564510039607	7.0913125053933e-159	9.03575039437215e-156
Skil	Skil	3940.29086744607	1.47691146653824	0.0560293041115531	26.3596253774229	3.98100897807559e-153	4.61145603623992e-150
Tbc1d4	Tbc1d4	3516.43854239937	1.53779481451949	0.058573323077535	26.2541842210979	6.40306825026703e-152	6.79899130374187e-149
Elk3	Elk3	1021.58128670831	2.29618312301144	0.0881907496731651	26.0365529437168	1.91051289317831e-149	1.87259656037523e-146
Cpd	Cpd	9319.56532496861	1.14819934023901	0.0453907897149211	25.2958661316609	3.54694746280064e-141	3.22822889792899e-138
Ttc39b	Ttc39b	2167.60753222722	1.63247032790442	0.0651578494577756	25.0540854477144	1.57574623494132e-138	1.33854390170815e-135
Igfbp4	Igfbp4	2864.24589121673	1.52133687273412	0.0608835164113013	24.9876643532982	8.32521673018066e-138	6.62999447349762e-135
Gfi1	Gfi1	1445.16884551297	-1.76370281076441	0.075065811518764	-23.4954205527178	4.54300022932544e-122	3.40511228953322e-119
Rasa3	Rasa3	1100.78042128243	1.91420183882464	0.0826206176891782	23.1685733218061	9.44786428475686e-119	6.68803815090955e-116
Rhof	Rhof	1845.62561069895	1.54134655053629	0.0669264131496773	23.0304670159023	2.30888446915135e-117	1.54841083715403e-114
Rora	Rora	619.744263698124	2.81119110218961	0.125573598573014	22.386800522843	5.29243341724491e-111	3.37180933012674e-108
Il6st	Il6st	5708.17785743828	1.01404318581711	0.0459719099083853	22.0578868234523	8.02448975365324e-108	4.86895468766903e-105
Ccl4	Ccl4	3319.38789269957	-1.18600674895472	0.0547753081549612	-21.6522150016841	5.79283352792764e-104	3.35510385512973e-101
Gpr183	Gpr183	1947.87956120509	-1.45108373132516	0.0670616958838815	-21.6380410933498	7.87796546755051e-104	4.36439286902298e-101
Rorc	Rorc	1227.06349927994	1.7363535715073	0.0803458215530684	21.6110002728697	1.41548828372634e-103	7.5150632130171e-101
Pmepa1	Pmepa1	858.664829681458	2.03808301930401	0.0948351766755585	21.4907916107597	1.89846937414034e-102	9.67611870611847e-100
Tnip3	Tnip3	1070.0904012776	-1.83533145806437	0.0856064619302296	-21.4391696220338	5.76328468244042e-102	2.82445282398676e-99
Ms4a6b	Ms4a6b	2080.32346109832	-1.45416526891037	0.0688103158808982	-21.132954416709	3.95979116697286e-99	1.86872811294697e-96
Lta	Lta	3804.07521253668	1.1355939793171	0.0539319353338789	21.0560583870562	2.01238200303828e-98	9.15777552954064e-96
Lrig1	Lrig1	5998.9682890181	0.951422859338331	0.0459078762899368	20.7246105946941	2.07801597548322e-95	9.1303722619335e-93
Rab43	Rab43	1503.30740133824	-1.48098272279375	0.071679521735375	-20.6611691448111	7.74658592435106e-95	3.29023326160271e-92
Rgs3	Rgs3	653.970500749646	2.2544552768213	0.110849617975476	20.3379616276175	5.93462170125535e-92	2.43932095862567e-89
Il2	Il2	13321.0419861114	-0.825112910094202	0.0406352412475976	-20.3053528110402	1.15313041116899e-91	4.59162115597352e-89
Il12rb1	Il12rb1	2273.55327504164	-1.22456025064104	0.0613279542309674	-19.9674074571153	1.05804472157078e-88	4.08533510371358e-86
Plxnc1	Plxnc1	1346.52402533859	-1.54826419498979	0.0775675217359683	-19.9602122169111	1.22192274360702e-88	4.57933517618844e-86
Ubash3b	Ubash3b	1060.230188656	1.74006526762145	0.0872351617933301	19.9468337290857	1.59686248571784e-88	5.81349194086193e-86
Btla	Btla	6265.22004316566	-1.03119055190547	0.0518406365329779	-19.891548809388	4.81643145659769e-88	1.70474915611022e-85
Ccl3	Ccl3	963.946525131873	-1.73062193174574	0.0879330023326379	-19.6811422996686	3.12870566444698e-86	1.0774585831455e-83
Tnfrsf1b	Tnfrsf1b	1402.57997146521	1.41773542807492	0.0732027214088753	19.3672502987441	1.45841073313335e-83	4.89028146357502e-81
Myh9	Myh9	27686.9697919176	0.698662217581762	0.0367102979945856	19.0317773417369	9.30428153210886e-81	3.0398757764649e-78
Ahnak	Ahnak	1571.32686547944	1.35950329344339	0.0720810127527158	18.8607684815329	2.39710430537907e-79	7.63597576478502e-77
Calhm2	Calhm2	676.078951830014	2.10894252448301	0.113304243957766	18.6130938331764	2.51657432040513e-77	7.82102194892734e-75
Rcan3	Rcan3	1036.99137505338	1.52241322138935	0.0823361527178579	18.490215672406	2.47562366758721e-76	7.51057066009434e-74
1110032F04Rik	1110032F04Rik	1911.5498467134	1.172743610138	0.0637000627753141	18.4103995984205	1.08419669077126e-75	3.21275214739706e-73
Ppp1r16b	Ppp1r16b	3064.88190789286	1.00208010194809	0.0545534770593823	18.368766868101	2.33660408778055e-75	6.76659301965903e-73
Ctsw	Ctsw	260.013781335792	3.3926507325577	0.186193415909596	18.2211101073786	3.50962193357418e-74	9.9376894839116e-72
Ccr8	Ccr8	1411.37881881843	1.36350346935418	0.0751737297682819	18.13803137821	1.59648049991379e-73	4.42225098476121e-71
Rnf19a	Rnf19a	2318.00936850132	1.06162780978371	0.0594450429905989	17.8589795948436	2.46097244442417e-71	6.67185338018144e-69
