Gene	gene_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Il17f	Il17f	7389.7157448573	-2.86953244172193	0.051037126869039	-56.2244118695226	0	0
Dusp4	Dusp4	3285.0811873393	-1.68260738071033	0.0593267569212727	-28.3616949253297	6.00517609408911e-177	3.81328681974658e-173
Cpd	Cpd	11355.076551157	-1.23549628061291	0.0474252170098649	-26.0514628822029	1.29496849426689e-149	5.48203329239648e-146
Adam19	Adam19	2102.27039154318	-1.76875808291742	0.0700523926348225	-25.2490745339393	1.15938219047669e-140	3.68103845476349e-137
Mapkapk3	Mapkapk3	4879.66636292798	-1.318378802118	0.0566562372570456	-23.269791040598	8.96957184419677e-120	2.27827124842598e-116
Ms4a6b	Ms4a6b	1660.1468079614	1.6442349158978	0.0751285642240171	21.885616115264	3.56165572160175e-106	7.53883794405703e-103
Ahr	Ahr	2107.61337563127	-1.51422511392057	0.0701655668933684	-21.580743674768	2.72450635911727e-103	4.94303296582705e-100
Aqp3	Aqp3	374.597988250376	-4.55736625625254	0.211667452519148	-21.5307842656644	8.0165511853369e-103	1.27262750067223e-99
Ahnak	Ahnak	5661.69554038123	-1.08309853428114	0.0508873374192212	-21.2842445529884	1.58886890543747e-100	2.24207056656176e-97
Vim	Vim	3585.645279156	-1.15098678433814	0.0547360953576735	-21.027930049029	3.64197538695601e-98	4.62530874143414e-95
Tbc1d4	Tbc1d4	1394.33577706985	-1.69985092758955	0.0809362231112878	-21.002350520511	6.24196694305886e-98	7.20663456153159e-95
Pdlim5	Pdlim5	1367.7408206081	-1.91596756543288	0.0920995227693325	-20.8032301126197	4.0462085108271e-96	4.28223734062535e-93
Ppfibp1	Ppfibp1	1545.58351472131	-1.57295202824938	0.078192392699092	-20.1164329924341	5.29856348855722e-90	5.17628894651359e-87
Lta	Lta	2885.06000908184	-1.21549485173159	0.0609105304943976	-19.9554139795809	1.34504462105358e-88	1.22014762052718e-85
Irf8	Irf8	3094.10933385917	-1.10803030125221	0.0577606555239758	-19.1831323796572	5.12008851212547e-82	4.33500827359956e-79
Nt5e	Nt5e	370.20633470624	-3.53465258950704	0.185228650119542	-19.0826450833921	3.51986509808996e-81	2.79389292160891e-78
Tmem176b	Tmem176b	297.844668186557	-3.9311415670085	0.206884390653078	-19.001634461638	1.65315286773516e-80	1.2350024364845e-77
Cd53	Cd53	1779.34971510242	1.21579795730367	0.0660442105968349	18.4088498646077	1.11566768305206e-75	7.87165531931179e-73
Slamf6	Slamf6	927.778191918187	1.54359894937261	0.0853875060373142	18.0775738864894	4.78684984164701e-73	3.199631209943e-70
Gramd1b	Gramd1b	2356.32298045816	1.05045521148236	0.0600338780831158	17.4977070451458	1.49154022381893e-68	9.47128042125024e-66
Smim3	Smim3	665.512770610427	-1.91142349236064	0.109602795297482	-17.4395505805549	4.13311232661254e-68	2.49954888323711e-65
Il17a	Il17a	278.041938080971	-3.57182850312101	0.209242785370947	-17.0702588229689	2.47102000954327e-65	1.42645246005452e-62
Gfi1	Gfi1	933.08314025556	1.50599272685917	0.0886019008848652	16.9972959024451	8.59963337289666e-65	4.74849321025163e-62
Lmna	Lmna	415.72204217472	-2.40227119528332	0.142139046527982	-16.900853452752	4.43441615802258e-64	2.34654521695362e-61
Ctla4	Ctla4	5609.87915254617	-0.809332417090166	0.0501375243186323	-16.1422493050659	1.28762076333362e-58	6.54111347773479e-56
Maf	Maf	450.302107712471	-2.26991169487537	0.142615056874411	-15.9163537470963	4.87999565905865e-57	2.38369018730942e-54
Cd200	Cd200	4718.88196947545	0.790963258584524	0.0497686527597019	15.8928002814047	7.10800546627904e-57	3.34339516376829e-54
Chst2	Chst2	3811.41781940887	0.956130546876149	0.0601921268062177	15.8846446804299	8.09553816933607e-57	3.67190481252029e-54
Tmem176a	Tmem176a	207.880421992155	-3.9410587102802	0.251000465690101	-15.7013999932018	1.47940814406805e-55	6.47878738953941e-53
Rasa3	Rasa3	858.553031201056	-1.44739936434312	0.092287175220133	-15.6836457599947	1.95692270350408e-55	8.28430611150059e-53
Ctsw	Ctsw	260.130887330345	-2.95384035371709	0.188981858664613	-15.6302852273206	4.52771799779102e-55	1.85490382490148e-52
Plxnc1	Plxnc1	463.050947602388	1.86965409650128	0.119950427920181	15.5868897587045	8.93805399197971e-55	3.54729017806695e-52
Rora	Rora	1252.52293656453	-1.30993012555576	0.0852450938010315	-15.3666336342269	2.74042898673989e-53	1.05464994338171e-50
Il1rn	Il1rn	202.029584110244	-3.26822481105879	0.222199273350352	-14.7085305985931	5.68280120683326e-49	2.12269339196419e-46
Dst	Dst	264.225589783175	-2.62834443251957	0.17921152902381	-14.6661570649864	1.06191378345568e-48	3.85323001425348e-46
Ints4	Ints4	1798.41773613937	-0.978642171191949	0.0704874149878815	-13.8839276679419	7.92779564915047e-44	2.79675013178364e-41
Nek6	Nek6	359.829600813786	-2.07323591101553	0.149425319675454	-13.8747296342984	9.01323054950022e-44	3.09373048590953e-41
Egln3	Egln3	671.986413123534	-1.45230028365754	0.105260084111896	-13.7972555875376	2.64740852653116e-43	8.84791797024889e-41
Pdgfb	Pdgfb	6190.89976085391	-0.771253480744123	0.0560114853194307	-13.7695595170473	3.88575085404238e-43	1.26535989349585e-40
Itga3	Itga3	765.813070707725	1.27367332234982	0.0941237537939723	13.5319010452746	1.01367877992249e-41	3.21843012625389e-39
Abcd3	Abcd3	2107.82841937794	0.899277358368322	0.066527925013344	13.5172915461883	1.23644751854211e-41	3.82997158182557e-39
Furin	Furin	7454.48957037131	-0.643375621566246	0.0483397588315093	-13.3094503803539	2.03976712619487e-40	6.16786726254163e-38
Pmepa1	Pmepa1	786.688442219771	-1.44557944990293	0.108801554902054	-13.2863859455344	2.7766911090621e-40	8.06045997443278e-38
Calhm2	Calhm2	814.235877315547	-1.27104776735857	0.0956685047300764	-13.2859583302233	2.79260030610269e-40	8.06045997443278e-38
Flna	Flna	13334.1315842324	-0.612006233985707	0.0461301128508721	-13.26695722519	3.59899964731089e-40	1.01571767824107e-37
Cd83	Cd83	690.06917672972	-1.36135067526397	0.103875966075006	-13.1055404508197	3.06074120988623e-39	8.45030725338155e-37
Stat4	Stat4	741.717797113319	1.24653047487435	0.0952530225114469	13.0865188527173	3.93220576371532e-39	1.06253219572733e-36
Ctla2a	Ctla2a	233.518392153027	-2.4671421135619	0.188878983603579	-13.0620255705101	5.42644629487134e-39	1.43574724885138e-36
Tubb6	Tubb6	1219.84634143501	-1.01677188126284	0.0782764893996648	-12.9894926185485	1.40354444216383e-38	3.63775804397564e-36
Stat1	Stat1	4546.63930560587	-0.703197890431463	0.0542919212747713	-12.9521644090026	2.28421680393397e-38	5.80191068199228e-36
Angptl2	Angptl2	854.162234900786	-1.19489650320028	0.0924258381321169	-12.9281651900441	3.12180128828278e-38	7.77389732572378e-36
Nrn1	Nrn1	347.115821132019	1.74173321531283	0.134750471990461	12.9256186608097	3.22690535636226e-38	7.88109577419244e-36
Dnajc3	Dnajc3	2830.82240731891	-0.741682916546101	0.0575606992866121	-12.8852311688056	5.45119215969925e-38	1.30622906468265e-35
Arhgap31	Arhgap31	1051.57412285031	-1.07274034487179	0.0832854314841686	-12.8802880138251	5.81182723410277e-38	1.36685566431676e-35
Cldnd1	Cldnd1	878.637331075151	-1.1631226844017	0.0910548651821597	-12.7738664164162	2.29466471452716e-37	5.29858943172636e-35
Stab1	Stab1	244.692347992919	-4.24297045216916	0.334048995893284	-12.7016410895742	5.79026191142091e-37	1.31314868348296e-34
Stx11	Stx11	3069.99951302951	-0.72543966847678	0.0583690724643269	-12.4284940268692	1.83050336910071e-35	4.07848996273316e-33
Icos	Icos	1831.95091002058	0.830812569896048	0.0671880083762667	12.3654888718136	4.01759547024661e-35	8.64804448680202e-33
Id2	Id2	635.620844052284	-1.27089000104425	0.103418781801238	-12.2887736531918	1.04072857771949e-34	2.20287548950625e-32
Il3	Il3	179.164840504492	2.28201430093508	0.188650014684111	12.0965498187543	1.10143806488483e-33	2.29315793836679e-31
Il16	Il16	1420.55145899094	-0.986145733233069	0.0827716164071861	-11.9140567266662	9.99913820191054e-33	2.04821056716555e-30
Fam107b	Fam107b	2491.59274655422	0.726747040956559	0.0611536074362711	11.8839602670032	1.43408446698244e-32	2.89093217947254e-30
Muc1	Muc1	124.610874311419	2.76158874050518	0.233036610441111	11.8504501729484	2.14037878702098e-32	4.24731415549476e-30
Gfod1	Gfod1	1202.82041287943	0.922009539344964	0.0783088428470328	11.774015626128	5.31337224666244e-32	1.03815119280943e-29
Mt2	Mt2	146.020352465196	-2.89523998810407	0.246164099648071	-11.7614225317309	6.16861240723762e-32	1.18699056927148e-29
Acsbg1	Acsbg1	117.205111771361	-3.92983105346088	0.334682987444437	-11.74195044531	7.76741612822241e-32	1.47233111684216e-29
Irak2	Irak2	836.300731447834	1.02945929164033	0.0880148046478808	11.6964332961809	1.32923828293297e-31	2.48254796959541e-29
Sla	Sla	3797.51691094264	0.611370619890926	0.0525051518242915	11.6440120378449	2.46157660254651e-31	4.53072794961459e-29
Il12rb1	Il12rb1	2034.93683091266	0.778397520027741	0.0672653109762651	11.5720496750904	5.71019954433626e-31	1.03599334590101e-28
Slco4a1	Slco4a1	195.347465284406	2.06208467253718	0.178388236419652	11.5595328140708	6.60672450847415e-31	1.18176621489608e-28
Tgfbr1	Tgfbr1	914.168083034116	-1.16290945064656	0.100770405576368	-11.5401882526439	8.2743936026647e-31	1.45951109380336e-28
Ppp1r16b	Ppp1r16b	2705.80612091792	-0.698148156489217	0.0609299741800659	-11.4582053559712	2.13901087271492e-30	3.72129288814787e-28
Sat1	Sat1	1326.47801219729	0.847168824784353	0.0742435685878438	11.4106695151917	3.69871358374385e-30	6.34779223156038e-28
Il2	Il2	20625.8557104264	0.51102220840625	0.0449355568502559	11.3723350554927	5.74303246349818e-30	9.72486830485692e-28
Lpxn	Lpxn	807.192973716978	-1.10152452023651	0.0976862101866813	-11.2761516505908	1.7211154825429e-29	2.87607455635458e-27
Malat1	Malat1	16773.0238232493	0.488048172084229	0.043524261116766	11.213244281733	3.51084312593652e-29	5.79061138953167e-27
Rab43	Rab43	1358.00600406953	0.892428715181326	0.0797954149191321	11.1839598313481	4.88600990585293e-29	7.9554263851708e-27
Mapre2	Mapre2	528.968943439005	1.2112380395195	0.108813899874943	11.1312804789787	8.8357025261446e-29	1.42042306432957e-26
Slc4a11	Slc4a11	381.397527937312	-1.48612664516188	0.134548104825549	-11.0453183052169	2.30947707855231e-28	3.66629486220179e-26
Grap	Grap	2334.76878642257	0.702359720498841	0.0638993326044125	10.9916597227549	4.1914653441182e-28	6.5718036876915e-26
Cd84	Cd84	954.798347042508	1.02357468432832	0.0933911975295568	10.9600766603767	5.94489891724111e-28	9.20734344499538e-26
Cpox	Cpox	764.310109094772	-1.10167255305414	0.10080802161055	-10.928421522944	8.43020627767958e-28	1.28992312923531e-25
Kdm2b	Kdm2b	1450.31577459944	0.775153109681893	0.0713144903298676	10.8695036043362	1.61074816622913e-27	2.43529782275119e-25
B4galt4	B4galt4	244.174598990972	-1.85916940520481	0.173309808061675	-10.7274332941572	7.56687887441599e-27	1.13058072594215e-24
Lgals1	Lgals1	1842.18507972283	-0.749970336928391	0.0701464685736436	-10.6914909927508	1.11562892889129e-26	1.64749853452551e-24
Spry1	Spry1	896.774408267951	0.946306354541669	0.0886419750257827	10.6756009697034	1.3239801263648e-26	1.93270662124517e-24
Klf10	Klf10	408.093730237363	-1.4486989188783	0.136317833903466	-10.6273616400346	2.22312780816234e-26	3.20837763223428e-24
Fam129b	Fam129b	206.221715584406	-1.97564582291885	0.186365994596995	-10.6008922238795	2.95150803069564e-26	4.21170247076793e-24
Lrrk2	Lrrk2	214.346505042068	-1.9023517395422	0.179737193253626	-10.584073919847	3.53256585639997e-26	4.98484293069773e-24
Slamf1	Slamf1	837.540945674849	0.944977234361127	0.0895625673054988	10.551028881718	5.02438470396529e-26	7.01205337806145e-24
Mpzl2	Mpzl2	171.513753685062	-2.18190904327184	0.207475581317036	-10.5164618863641	7.2546876423081e-26	1.00146231584036e-23
Dock11	Dock11	3376.9436655404	0.609798407250845	0.0585159618654581	10.4210609859394	1.9872381052647e-25	2.71375526202814e-23
Ptgfrn	Ptgfrn	754.371253819278	-0.987170657703385	0.0949192749244089	-10.4001074438204	2.4765379147847e-25	3.3459607997623e-23
Inpp4b	Inpp4b	4200.96299825993	0.54167107719476	0.0523165043408163	10.3537322307706	4.02483185650743e-25	5.38056469238361e-23
Pik3r1	Pik3r1	1538.95107001277	-0.738881280575748	0.0714690825589454	-10.3384744020793	4.7199140979776e-25	6.24405302544953e-23
Gadd45b	Gadd45b	1608.17202099335	-0.77317597377375	0.0751205234783633	-10.2924731880555	7.61937413583354e-25	9.97588160052433e-23
Rsbn1	Rsbn1	984.570044057906	0.855195405086971	0.0831043051879277	10.29062697959	7.76689702822322e-25	1.00652645161668e-22
Atp2a3	Atp2a3	2538.02423857728	0.602598641283904	0.0586874793528234	10.2679250826422	9.82960113584046e-25	1.26096903459772e-22
Ifitm3	Ifitm3	87.9770187189155	2.82213717536467	0.275539786156564	10.2422129839395	1.28268342438399e-24	1.62900794896767e-22
Skil	Skil	2769.64741081159	-0.696531431088101	0.068494309210425	-10.1691868874573	2.72171162167226e-24	3.42235025695423e-22
Hist1h1a	Hist1h1a	4361.41713996824	-0.610737281642192	0.0604641850514508	-10.100810605857	5.47874285486934e-24	6.82157198596477e-22
S100a6	S100a6	352.688816351704	1.29896076646241	0.12946401524459	10.0333730883315	1.08737113329142e-23	1.34073916434961e-21
Bin1	Bin1	737.291776200945	-0.959296731363753	0.095827097683587	-10.0107042220069	1.36775428613044e-23	1.6702384071016e-21
Mfhas1	Mfhas1	2325.44861686537	0.607401387199032	0.0611490587519866	9.93312733827319	2.98736215164624e-23	3.61328565008641e-21
Phf6	Phf6	2881.18629091533	0.648102991911613	0.0653789169932511	9.91302734455688	3.65403103596855e-23	4.37794284498118e-21
Dsp	Dsp	101.439349211061	-3.3716885215398	0.340402722109953	-9.9049987045953	3.95975187153945e-23	4.69989240827579e-21
Ajuba	Ajuba	122.489328550045	2.33570428013029	0.237058965901797	9.85284092185685	6.66333823411131e-23	7.83559218270496e-21
Rilpl2	Rilpl2	1894.49774124702	0.678846544347978	0.0690783949213464	9.82719047136114	8.59840674378551e-23	1.00183271234932e-20
Ece1	Ece1	915.152846423093	0.868718593804819	0.0890211260151749	9.75856667614757	1.69534254625465e-22	1.95735003067582e-20
Arid5a	Arid5a	846.386868740587	-0.904838267633642	0.0927756553631807	-9.7529709069858	1.79147260062138e-22	2.04970288539564e-20
4632428N05Rik	4632428N05Rik	1593.41437760638	0.717691385102944	0.0737704089083524	9.72871637453654	2.27444857915554e-22	2.57906222814959e-20
Prkca	Prkca	2319.47746081885	0.593093396045541	0.0610317138327491	9.71779028966564	2.53216795281279e-22	2.84588787617013e-20
Nipal1	Nipal1	154.791058617502	-2.09004337438484	0.216429790554428	-9.65691168960976	4.59507579986045e-22	5.11907567177436e-20
Rgs16	Rgs16	1918.9964213472	0.627364123074849	0.0651926024962565	9.62324096680869	6.37889548636437e-22	7.0445193632024e-20
Abi3	Abi3	571.366836797776	-1.11633527326443	0.116405239114971	-9.59007757513253	8.80188092027577e-22	9.63654204202606e-20
Eea1	Eea1	4170.19157246411	0.50527675463839	0.0528895114862753	9.55343962232489	1.25460197724118e-21	1.36183291546692e-19
