SRA_ID	Sample	Run	GEO_ID	Donor	Tissue	Treatment	Time	Status	ERCC_Mix	Disease	R1	R2
SRX6072819	SRX6072819	SRR9304146	GSM3891506	Donor_1	CD4_Tcell	IL6	3	IL6_3	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072819_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072819_R2.fastq.gz
SRX6072820	SRX6072820	SRR9304149	GSM3891507	Donor_2	CD4_Tcell	IL6	3	IL6_3	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072820_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072820_R2.fastq.gz
SRX6072821	SRX6072821	SRR9304150	GSM3891508	Donor_3	CD4_Tcell	IL6	3	IL6_3	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072821_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072821_R2.fastq.gz
SRX6072822	SRX6072822	SRR9304153	GSM3891509	Donor_1	CD4_Tcell	IL6	12	IL6_12	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072822_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072822_R2.fastq.gz
SRX6072823	SRX6072823	SRR9304154	GSM3891510	Donor_2	CD4_Tcell	IL6	12	IL6_12	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072823_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072823_R2.fastq.gz
SRX6072824	SRX6072824	SRR9304157	GSM3891511	Donor_3	CD4_Tcell	IL6	12	IL6_12	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072824_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072824_R2.fastq.gz
SRX6072825	SRX6072825	SRR9304158	GSM3891512	Donor_1	CD4_Tcell	IL6	48	IL6_48	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072825_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072825_R2.fastq.gz
SRX6072826	SRX6072826	SRR9304161	GSM3891513	Donor_2	CD4_Tcell	IL6	48	IL6_48	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072826_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072826_R2.fastq.gz
SRX6072827	SRX6072827	SRR9304162	GSM3891514	Donor_3	CD4_Tcell	IL6	48	IL6_48	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072827_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072827_R2.fastq.gz
SRX6072828	SRX6072828	SRR9304165	GSM3891515	Donor_1	CD4_Tcell	IL6_TGFb	3	IL6_TGFb_3	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072828_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072828_R2.fastq.gz
SRX6072829	SRX6072829	SRR9304166	GSM3891516	Donor_2	CD4_Tcell	IL6_TGFb	3	IL6_TGFb_3	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072829_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072829_R2.fastq.gz
SRX6072830	SRX6072830	SRR9304169	GSM3891517	Donor_3	CD4_Tcell	IL6_TGFb	3	IL6_TGFb_3	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072830_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072830_R2.fastq.gz
SRX6072831	SRX6072831	SRR9304170	GSM3891518	Donor_1	CD4_Tcell	IL6_TGFb	12	IL6_TGFb_12	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072831_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072831_R2.fastq.gz
SRX6072832	SRX6072832	SRR9304173	GSM3891519	Donor_2	CD4_Tcell	IL6_TGFb	12	IL6_TGFb_12	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072832_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072832_R2.fastq.gz
SRX6072833	SRX6072833	SRR9304174	GSM3891520	Donor_3	CD4_Tcell	IL6_TGFb	12	IL6_TGFb_12	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072833_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072833_R2.fastq.gz
SRX6072834	SRX6072834	SRR9304177	GSM3891521	Donor_1	CD4_Tcell	IL6_TGFb	48	IL6_TGFb_48	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072834_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072834_R2.fastq.gz
