Gene	logFC	SE	CI_lower	CI_upper	df	P.Value	qval	rank
ANKH	-0.739894762038426	0.07003128261752	-0.877153553759911	-0.602635970316941	3	4.32029971391838e-26	4.77798775083481e-22	1
TRPS1	0.683664301566596	0.0647614880686836	0.556734117366756	0.810594485766436	3	4.73255522071594e-26	4.77798775083481e-22	2
ILF3	-0.439254263141331	0.0454779129903829	-0.528389334694528	-0.350119191588134	3	4.51873133504517e-22	3.04140743724107e-18	3
KIAA0141	-0.319974604123171	0.0336334413678278	-0.385894937880253	-0.254054270366089	3	1.84202561799665e-21	9.29854531964711e-18	4
SNX5	-0.502539064757609	0.054223786577221	-0.608815733554348	-0.396262395960869	3	1.89898197633102e-20	7.66884881321517e-17	5
RAD23B	0.640553182592212	0.0706387437966008	0.502103788837722	0.779002576346701	3	1.21204967089026e-19	4.0789511591027e-16	6
ZNF10	-0.323492724276882	0.0363614715178096	-0.394759898876668	-0.252225549677096	3	5.75941802233611e-19	1.66134526724301e-15	7
ABCD2	-0.373330168573893	0.0423532720190651	-0.456341056358689	-0.290319280789098	3	1.20036781732477e-18	3.02972837092773e-15	8
GDAP2	0.449904037326007	0.0514809368819802	0.349003255146947	0.550804819505068	3	2.34692930466644e-18	5.26546627998052e-15	9
BMS1P20	-0.433530703269782	0.049701327080591	-0.530943514331585	-0.336117892207978	3	2.7160002430259e-18	5.4841476907179e-15	10
VPS29	0.385259042123154	0.0443496566875178	0.298335312288903	0.472182771957405	3	3.72610849334179e-18	6.83978024523249e-15	11
HIVEP3	-0.41765159249947	0.049311404163131	-0.514300168686305	-0.321003016312635	3	2.46077565206065e-17	4.14066516386739e-14	12
FAS	0.40670863934419	0.0496554431313636	0.309385759170341	0.50403151951804	3	2.59893749522436e-16	4.03674968489003e-13	13
CBL	0.524742701701269	0.0648664341070263	0.397606827045957	0.651878576356581	3	5.98670793585663e-16	8.63454333148694e-13	14
GPR174	-0.506364993076238	0.063000683419198	-0.629844063579275	-0.3828859225732	3	9.1725524662447e-16	1.16610854313884e-12	15
PSMC1	0.39528871200617	0.0492161911343544	0.298826749926596	0.491750674085744	3	9.61466568314042e-16	1.16610854313884e-12	16
CDC42SE1	0.426041536357775	0.0530620662921049	0.322041797479973	0.530041275235578	3	9.81767295629967e-16	1.16610854313884e-12	17
TGFBR1	0.446323025134775	0.0559759604737097	0.336612158606267	0.556033891663284	3	1.5427151831562e-15	1.730583609905e-12	18
NEURL4	-0.288194436934459	0.0362454849012232	-0.359234281943047	-0.217154591925872	3	1.8474072499297e-15	1.96330774687266e-12	19
RGCC	-0.727694501190429	0.091738712536951	-0.907499073750926	-0.547889928629932	3	2.15208783818848e-15	2.17274788143509e-12	20
HOOK3	0.414427069141956	0.0525098429580116	0.311509668110399	0.517344470173513	3	2.96502938600679e-15	2.85094635058329e-12	21
DYNLT1	0.690061539510071	0.0876171907038463	0.518335001303955	0.861788077716188	3	3.38381914686083e-15	3.10573073697336e-12	22
MED13L	0.396001621198027	0.0504159230455644	0.297188227781378	0.494815014614676	3	4.00751049865916e-15	3.51824573864894e-12	23
TRAV8-3	-0.353494046946384	0.0457901060784793	-0.443241005708472	-0.263747088184296	3	1.16440815808134e-14	9.79655396999103e-12	24
BACE2	-0.25574625077041	0.0334044248165489	-0.321217720335121	-0.190274781205698	3	1.91725512167599e-14	1.54852861667526e-11	25
SF3A2	-0.469642160613494	0.0616515465643529	-0.59047697147082	-0.348807349756168	3	2.58262394234362e-14	2.00570548630009e-11	26
WDFY2	0.336069748430275	0.044163849636471	0.24951019372415	0.422629303136401	3	2.74920550487074e-14	2.05599842793889e-11	27
TSFM	-0.296441563162356	0.0394065877930443	-0.373677055990338	-0.219206070334373	3	5.36811941477718e-14	3.87118097225646e-11	28
SLC45A3	-0.298164045722128	0.0398163087653142	-0.37620257689947	-0.220125514544786	3	6.96702851204108e-14	4.85097378328046e-11	29
DUSP1	0.671185766510646	0.0908130924506412	0.493195375982683	0.849176157038609	3	1.45895279459203e-13	9.81972494280073e-11	30
ALKAL2	-0.215420920024775	0.0293766365214273	-0.272998069593697	-0.157843770455854	3	2.2494005109534e-13	1.46515790700552e-10	31
BACH1	0.347880856182404	0.0476321369519271	0.254523583249947	0.441238129114861	3	2.8039683777388e-13	1.76930404635319e-10	32
SEMA4C	-0.322553560249956	0.0443658483893499	-0.409509025236646	-0.235598095263266	3	3.58658124866512e-13	2.19455298706201e-10	33
CD200R1	-0.271780086116147	0.037450589956293	-0.345181893630259	-0.198378278602035	3	3.95679530075182e-13	2.34987090331708e-10	34
TADA2B	0.386527562376457	0.0533421344327663	0.281978900029741	0.491076224723173	3	4.2863963032879e-13	2.47288326159969e-10	35
AIDA	-0.504248563075416	0.0700231883323554	-0.641491490289498	-0.367005635861334	3	5.970006167018e-13	3.2326950523004e-10	36
