Gene	logFC	SE	CI_lower	CI_upper	df	P.Value	qval	rank
MCEMP1	4.39897950553874	0.113616802696479	4.17629466421504	4.62166434686243	1	0	0	1
S100A12	3.40102209606342	0.113715156879548	3.17814448408319	3.62389970804366	1	1.53684216786984e-196	1.55159585268139e-192	2
ARG1	4.93376457468112	0.174115975351942	4.59250353385824	5.27502561550399	1	1.2423847419275e-176	8.36207756966672e-173	3
HP	4.33516731668471	0.157580462410826	4.02631528569232	4.64401934767709	1	1.30330414195846e-166	6.57907930860628e-163	4
SAMSN1	3.70040632192264	0.135033387389218	3.43574574592933	3.96506689791596	1	2.48185471432071e-165	1.00227220783128e-161	5
ANXA3	4.33021488841709	0.158239044556177	4.02007206013896	4.64035771669523	1	7.15596325399931e-165	2.40822016707924e-161	6
STOM	2.40430561079723	0.0893814938577088	2.22912110195174	2.57949011964273	1	2.23397952814734e-159	6.44407351890729e-156	7
GPR84	4.8471038246078	0.19335116468133	4.46814250546352	5.22606514375208	1	1.08599834213559e-138	2.74105981555024e-135	8
IRAK3	2.68720397607695	0.108367152019407	2.47480826101174	2.89959969114216	1	9.606123133509e-136	2.15518709235349e-132	9
MMP8	6.7897130742139	0.274788327778938	6.25113784839519	7.3282883000326	1	8.58411610799571e-135	1.73330472452649e-131	10
GYG1	3.15437027733417	0.12819993264546	2.90310302652861	3.40563752813973	1	1.11440064620862e-133	2.04563434984041e-130	11
IL1R2	3.57894277104088	0.147984087714003	3.28889928883641	3.86898625324534	1	3.22752243141483e-129	5.43084441126068e-126	12
CLEC4D	3.899229092899	0.166113380432296	3.5736528499015	4.2248053358965	1	7.64483454352224e-122	1.1874192238677e-118	13
CD177	6.16731562194129	0.269945811725313	5.63823155318224	6.69639969070033	1	1.58347900465959e-115	2.28382914729189e-112	14
NLRC4	2.29639754818103	0.102582121800261	2.09534028399481	2.49745481236724	1	5.39519888162046e-111	7.26265705451203e-108	15
RGL4	3.27240502335852	0.147351416775508	2.98360155340757	3.56120849330946	1	2.8637804816039e-109	3.61409096778412e-106	16
HK3	2.42806000860352	0.109598941357218	2.21325003079966	2.64286998640739	1	9.53582016638829e-109	1.13263106352772e-105	17
SEPT9	-1.6587028902942	0.0752129522125076	-1.80611756780165	-1.51128821278675	1	8.85692101210438e-108	9.93549717091176e-105	18
ZNF831	-1.56207328983559	0.0709704472141419	-1.70117281034201	-1.42297376932917	1	2.30007329414399e-107	2.44437262922923e-104	19
PCNX2	-1.98961950224781	0.0909498285307691	-2.16787789056821	-1.81136111392741	1	4.39653918193853e-106	4.43874595808514e-103	20
CD6	-1.56275059073772	0.0728259585953061	-1.70548684672413	-1.42001433475132	1	3.78724230071715e-102	3.5727341847816e-99	21
MS4A4A	4.09827340084796	0.190995572319149	3.72392895789581	4.4726178438001	1	3.89263827581197e-102	3.5727341847816e-99	22
NELL2	-2.6633295601598	0.124305901615249	-2.90696465039147	-2.41969446992814	1	7.71208549091185e-102	6.77054044489096e-99	23
NFATC3	-1.22981287183385	0.0574720541316219	-1.34245602804937	-1.11716971561834	1	1.38124195386767e-101	1.16208489718734e-98	24
LIX1L	-1.15713793538322	0.0541443401146308	-1.26325889197459	-1.05101697879186	1	2.46861724654485e-101	1.99385277768935e-98	25
KLF12	-2.24748390298186	0.105874166231691	-2.45499345568918	-2.03997435027454	1	5.2792797367544e-100	4.09996986325173e-97	26
CKAP4	2.04509604100619	0.0969011260156857	1.85517332395406	2.23501875805831	1	7.15894871014394e-99	5.35383305019357e-96	27
