State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Marine Mammals	Nonhuman_Primates	Other_Farm_Animals	Pig	Rabbits	Sheep	Total
AK	0	0	0	0	0	0	0	0	0	0	0	0
AL	0	0	0	0	0	0	15	0	0	23	0	38
AR	0	0	0	0	0	0	0	0	0	0	0	0
AZ	0	0	0	0	0	0	0	0	56	0	0	56
CA	169	0	90	1,509	38	0	40	0	54	465	14	2,379
CO	159	0	1	1,173	541	0	0	0	3	0	21	1,898
CT	6	0	17	90	0	0	13	0	0	0	0	126
DC	61	0	0	164	0	0	4	0	0	0	0	229
DE	54	0	37	1,278	250	0	0	0	0	985	0	2,604
FL	0	0	0	0	102	0	4	15	0	90	0	211
GA	262	20	0	88	1,990	0	22	52	6	2,356	10	4,806
HI	0	0	0	0	0	0	0	0	0	0	0	0
IA	0	404	239	154	14,062	0	0	0	0	47	0	14,906
ID	0	0	0	0	0	0	0	0	0	2	0	2
IL	11	0	0	88	20	0	6	0	64	91	0	280
IN	185	0	4	108	11	0	3	0	0	1	0	312
KS	0	0	10	0	500	0	0	0	0	4	0	514
KY	0	0	0	0	0	0	0	0	0	0	0	0
LA	86	0	0	0	0	0	9	38	0	12	0	145
MA	697	0	63	646	532	0	16	4	187	502	0	2,647
MD	147	0	3	7,206	1,169	0	330	0	144	651	0	9,650
ME	8	0	0	0	0	0	0	0	0	0	0	8
MI	0	0	0	6,394	0	0	42	0	0	0	42	6,478
MN	217	0	20	87	0	0	0	0	0	6	0	330
MO	11	0	0	0	1,799	0	0	0	0	0	0	1,810
MS	0	0	0	0	0	0	0	0	0	0	0	0
MT	0	0	0	0	0	0	0	0	0	0	0	0
NC	0	0	0	326	0	0	13	0	36	19	0	394
ND	0	0	0	0	0	0	0	0	0	0	0	0
NE	78	1	1	20	977	0	0	0	0	0	0	1,077
NH	0	0	0	0	0	0	0	0	0	0	0	0
NJ	692	0	323	1,428	485	0	92	0	0	141	0	3,161
NM	259	0	0	0	0	0	187	0	0	185	0	631
NV	0	0	0	0	0	0	0	0	0	0	0	0
NY	130	151	386	3,676	4,685	0	11	20	0	74	0	9,133
OH	385	0	19	1,480	265	0	142	0	0	412	0	2,703
OK	0	0	0	0	0	0	0	0	0	0	0	0
OR	29	0	0	0	0	0	0	0	0	0	0	29
PA	323	6	215	791	0	0	46	0	377	466	0	2,224
PR	0	0	0	0	0	0	0	0	0	0	0	0
RI	0	0	0	0	0	0	0	0	0	0	0	0
SC	119	0	0	0	0	0	0	0	0	0	0	119
SD	0	0	0	0	0	0	0	0	94	4	0	98
TN	226	0	13	0	0	0	0	0	63	40	0	342
TX	100	0	0	1,170	858	0	26	49	0	321	0	2,524
UT	0	0	0	675	3,211	0	0	0	0	0	0	3,886
VA	0	0	9	0	178	0	16	0	0	15	0	218
VT	0	0	0	50	0	0	0	0	0	0	0	50
WA	0	0	0	128	0	0	0	0	0	0	0	128
WI	164	0	4	2	0	0	0	0	0	11	2	183
WV	0	0	0	0	0	0	0	0	0	58	0	58
WY	0	0	0	0	0	0	0	0	0	0	0	0
REPORT TOTAL	4,578	582	1,454	28,731	31,673	0	1,037	178	1,084	6,981	89	76,387
