State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Marine Mammals	Nonhuman_Primates	Other_Farm_Animals	Pig	Rabbits	Sheep	Total
AK	289	0	0	0	22	0	0	0	0	0	0	311
AL	85	139	102	0	0	0	0	574	4	279	26	1,209
AR	0	55	36	12	1	0	56	0	0	0	0	160
AZ	97	5	13	7	0	0	10	1	2	2	7	144
CA	2,930	133	179	432	124	0	5,704	3,830	41	4,559	71	18,003
CO	723	76	28	51	17	0	0	0	0	11	4	910
CT	1,065	8	16	42	15	0	25	5	1	88	0	1,265
DC	342	24	0	0	0	0	98	0	0	0	0	464
DE	0	0	0	5	0	0	0	51	0	3,894	0	3,950
FL	557	28	1	0	49	0	1,550	0	0	1	0	2,186
GA	314	7	0	0	1,456	0	1,769	0	0	0	0	3,546
HI	0	0	0	0	0	0	0	0	6	0	0	6
IA	414	34	445	57	93	0	3	112	1,174	67	92	2,491
ID	118	2	0	0	0	0	0	0	0	0	0	120
IL	644	105	299	49	3	0	132	49	25	202	59	1,567
IN	249	175	383	0	57	0	127	0	352	6	0	1,349
KS	1	84	223	12	83	0	49	12	0	8	0	472
KY	29	0	2	0	0	0	0	198	60	0	75	364
LA	361	9	17	0	0	0	9,729	51	2	2	0	10,171
MA	770	10	46	69	856	0	6,392	1,776	215	1,484	17	11,635
MD	8,618	6	20	433	2,327	0	6,658	50	2	240	19	18,373
ME	23	0	0	0	0	0	0	28	0	91	0	142
MI	158	57	967	2,674	16	0	1,032	0	291	557	4	5,756
MN	8	8	101	1,152	52	0	20	67	763	103	116	2,390
MO	72	233	283	49	0	0	12	24	125	0	3	801
MS	8	0	16	0	15	0	2	0	11	0	0	52
MT	0	0	0	0	0	0	0	0	0	0	32	32
NC	482	61	74	135	25	0	17	0	47	138	4	983
ND	0	0	0	0	0	0	0	0	0	0	48	48
NE	30	19	15	0	317	0	0	0	26	27	0	434
NH	0	0	0	0	0	0	0	0	78	0	0	78
NJ	137	81	545	841	622	0	5,717	7	29	448	0	8,427
NM	483	10	25	36	75	0	57	0	0	16	0	702
NV	0	0	0	0	0	0	0	0	0	0	4	4
NY	497	10	84	80	686	0	181	40	5	181	0	1,764
OH	2,845	179	214	1,878	193	0	469	26	90	304	3	6,201
OK	50	0	10	0	0	0	434	4	6	5	0	509
OR	263	0	0	0	0	0	6	0	18	0	0	287
PA	3,058	98	183	599	266	0	607	209	3	2,227	331	7,581
PR	0	0	0	0	0	0	1,223	0	0	0	0	1,223
RI	68	0	0	3	8	0	1	11	11	1	51	154
SC	5,039	0	0	0	23	0	3,845	0	0	0	1	8,908
SD	15	0	0	0	0	0	0	179	0	0	0	194
TN	244	13	0	4	454	0	0	2	0	0	0	717
TX	3,370	0	198	400	897	0	2,743	656	183	2,171	104	10,722
UT	5	0	0	0	0	0	0	0	27	0	0	32
VA	361	2	7	8	18	0	31	7	166	57	12	669
VT	0	1	0	0	0	0	0	0	0	0	0	1
WA	475	0	70	87	20	0	3,350	66	3	1,473	12	5,556
WI	1,512	8	3,923	96	126	0	1,892	179	312	252	17	8,317
WV	0	0	0	0	0	0	0	0	0	0	0	0
WY	49	0	0	0	0	0	0	0	0	0	5	54
REPORT TOTAL	36,858	1,680	8,525	9,211	8,916	0	53,941	8,214	4,078	18,894	1,117	151,434
