State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Marine Mammals	Nonhuman_Primates	Other_Farm_Animals	Pig	Rabbits	Sheep	Total
AK	307	0	0	0	0	0	0	0	0	0	0	307
AL	578	127	860	32	149	0	172	186	447	993	0	3,544
AR	4	1	6	143	0	0	19	24	129	344	0	670
AZ	71	51	270	45	0	0	20	40	461	265	48	1,271
CA	4,402	586	1,244	3,362	5,304	0	3,414	292	3,410	12,003	1,049	35,066
CO	354	69	192	689	245	0	79	121	687	378	768	3,582
CT	132	18	369	190	71	0	135	0	632	201	2	1,750
DC	104	48	10	184	72	0	152	0	653	232	9	1,464
DE	115	15	71	855	87	0	0	13	25	2,305	0	3,486
FL	734	321	350	223	604	0	455	48	1,252	471	204	4,662
GA	2,874	166	468	448	3,659	0	2,070	39	831	915	77	11,547
HI	140	0	0	0	0	0	0	0	0	0	0	140
IA	289	445	1,106	904	807	0	34	124	484	3,223	226	7,642
ID	44	7	11	48	0	0	0	6	0	19	10	145
IL	1,037	526	1,508	844	2,484	0	572	318	793	2,599	465	11,146
IN	734	119	666	600	2,158	0	0	150	689	1,065	101	6,282
KS	77	19	288	519	28	0	76	69	101	289	0	1,466
KY	77	33	193	39	436	0	112	88	167	554	48	1,747
LA	773	218	459	0	229	0	1,679	26	280	567	32	4,263
MA	1,428	98	1,034	5,586	3,017	0	1,703	118	2,602	5,747	461	21,794
MD	3,399	61	356	6,290	2,840	0	2,901	537	1,638	1,440	435	19,897
ME	4	0	0	0	0	0	0	0	23	0	0	27
MI	300	77	1,488	899	283	0	340	20	1,593	2,085	401	7,486
MN	172	845	1,988	15,333	362	0	219	157	2,899	5,649	672	28,296
MO	397	217	874	1,750	4,363	0	123	46	1,480	2,278	32	11,560
MS	6	5	58	68	66	0	52	33	137	1,167	0	1,592
MT	87	0	0	60	399	0	5	30	0	63	19	663
NC	5,116	843	963	911	733	0	1,655	748	2,666	1,112	225	14,972
ND	0	152	24	0	0	0	0	0	20	1,086	0	1,282
NE	195	71	244	72	1,613	0	99	90	102	374	0	2,860
NH	22	5	0	1	530	0	13	0	300	1	2	874
NJ	2,185	41	1,628	8,465	2,981	0	1,469	0	678	5,104	28	22,579
NM	367	0	130	161	0	0	327	0	0	166	0	1,151
NV	90	0	385	0	0	0	0	0	3	0	60	538
NY	1,717	630	1,428	2,101	2,412	0	422	382	1,345	7,700	143	18,280
OH	3,882	645	1,598	1,866	1,206	0	602	299	3,273	3,411	152	16,934
OK	256	35	382	82	71	0	89	92	27	161	0	1,195
OR	165	169	248	956	30	0	1,457	174	547	222	225	4,193
PA	664	655	1,483	4,099	514	0	1,236	167	2,186	11,112	532	22,648
PR	78	0	0	0	166	0	132	0	34	10	0	420
RI	622	0	0	71	188	0	28	0	173	357	0	1,439
SC	29	207	240	28	0	0	23	0	314	212	3	1,056
SD	22	0	0	0	0	0	7	227	15	20	34	325
TN	1,354	60	391	163	513	0	275	130	1,026	447	0	4,359
TX	2,547	94	390	6,531	1,283	0	1,643	1,899	2,395	9,224	782	26,788
UT	672	81	285	65	77	0	13	13	170	445	128	1,949
VA	144	54	206	116	306	0	135	62	5,351	601	47	7,022
VT	0	9	11	0	0	0	0	10	0	7	1,131	1,168
WA	124	68	539	261	105	0	630	66	446	833	0	3,072
WI	957	200	1,702	196	569	0	2,166	249	729	884	184	7,836
WV	7	39	12	0	20	0	5	0	2	197	54	336
WY	60	0	0	0	0	0	0	0	0	0	22	82
REPORT TOTAL	39,914	8,130	26,158	65,256	40,980	0	26,758	7,093	43,215	88,538	8,811	354,853
