State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Other_Farm_Animals	Total
AK	189	0	0	0	54	0	0	0	0	0	243
AL	1,526	5	812	105	0	261	141	507	26	256	3,639
AR	73	77	358	35	0	49	29	531	0	4	1,156
AZ	4,265	34	492	12	0	13	0	43	0	27	4,886
CA	26,856	624	1,139	7,072	889	464	357	23,095	243	11,880	72,619
CO	1,237	70	359	1,994	329	0	20	87	19	269	4,384
CT	191	0	109	69	738	360	1	614	0	0	2,082
DC	6,009	5	7	122	272	116	3	93	0	0	6,627
DE	92	0	0	0	0	0	0	9,391	20	326	9,829
FL	1,442	214	775	44	126	367	73	279	9	248	3,577
GA	2,905	510	1,195	403	4,580	637	9	1,422	2	174	11,837
HI	6	0	0	0	0	0	0	0	0	0	6
IA	828	119	310	1,175	9,845	12	860	60	431	765	14,405
ID	9	13	1	13	0	0	2	29	100	217	384
IL	2,489	770	1,907	1,357	3	215	826	1,541	210	270	9,588
IN	1,299	295	643	7	288	66	294	822	83	117	3,914
KS	1,773	684	1,118	123	14	133	44	58	80	137	4,164
KY	110	56	38	8	0	0	0	2	0	28	242
LA	356	5	20	0	0	1,563	0	54	0	55	2,053
MA	4,371	3	819	14,323	2,841	5,186	2,389	8,219	134	664	38,949
MD	3,028	1	210	3,745	1,690	3,502	129	2,063	30	90	14,488
ME	1,631	0	0	0	0	0	0	166	1	355	2,153
MI	3,553	224	4,104	8,044	616	1,893	772	4,355	256	611	24,428
MN	967	1,848	1,791	23,152	128	22	732	4,036	861	1,743	35,280
MO	2,725	1,647	1,640	2,983	2,518	28	1,262	396	96	407	13,702
MS	16	0	0	147	4	16	0	47	3	1	234
MT	63	0	0	0	496	0	0	163	0	95	817
NC	365	251	1,463	6,893	1,449	128	272	2,148	42	136	13,147
ND	293	0	0	1	4	0	36	54	82	180	650
NE	876	25	35	60	181	66	12	4	10	0	1,269
NH	13	0	0	0	0	0	0	0	0	0	13
NJ	23	399	3,804	10,048	4,245	3,206	97	5,426	0	0	27,248
NM	105	58	91	0	64	29	0	0	0	0	347
NV	904	22	93	63	0	0	0	15	69	131	1,297
NY	6,616	888	1,946	9,216	25,547	1,156	62	1,536	116	461	47,544
OH	338	909	3,796	26,295	549	1,275	136	9,647	39	18	43,002
OK	1,610	44	448	339	8	0	1	411	58	588	3,507
OR	1,564	51	198	15	5	1,186	14	0	80	367	3,480
PA	1,829	1,636	2,890	2,160	519	1,321	2,252	16,124	122	1,038	29,891
PR	0	0	0	0	0	3,589	0	0	0	0	3,589
RI	690	0	0	0	4	3	1	0	0	0	698
SC	1,730	41	85	301	40	47	0	163	0	57	2,464
SD	331	16	9	2	23	4	0	4	35	205	629
TN	480	125	163	16	109	0	49	15	0	20	977
TX	14,067	287	1,114	3,226	1,333	2,414	150	6,415	441	2,447	31,894
UT	556	363	457	933	254	0	14	393	7	61	3,038
VA	1,827	0	52	10	132	9	176	57	76	146	2,485
VT	150	0	0	164	0	0	0	4	410	2	730
WA	5,672	322	571	4,370	0	2,722	27	769	7	180	14,640
WI	4,176	72	4,477	2,691	755	6,696	1,174	14,906	4	484	35,435
WV	0	22	15	8	6	0	0	96	0	0	147
WY	22	0	0	4	8	0	0	7	86	3	130
REPORT TOTAL	112,246	12,735	39,554	131,748	60,666	38,754	12,416	116,267	4,288	25,263	553,937
