State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Other_Farm_Animals	Total
AK	101	0	0	0	0	0	0	0	0	0	101
AL	336	120	656	80	271	43	393	446	19	76	2,440
AR	11	11	43	78	0	45	963	93	0	129	1,373
AZ	624	77	159	15	45	38	350	158	165	29	1,660
CA	6,520	318	1,309	4,403	2,156	3,185	5,838	9,763	948	227	34,667
CO	426	222	277	1,158	258	0	690	590	361	81	4,063
CT	669	0	141	101	21	78	265	70	0	0	1,345
DC	128	16	4	11	81	33	316	268	28	0	885
DE	0	11	8	45	0	0	0	1,034	0	17	1,115
FL	1,250	272	485	334	109	277	1,459	163	159	43	4,551
GA	1,256	147	219	567	3,697	1,855	579	527	110	37	8,994
HI	0	38	36	0	0	0	0	0	0	0	74
IA	116	212	549	583	292	11	900	1,876	121	102	4,762
ID	150	57	55	0	0	0	0	2	5	15	284
IL	405	336	1,540	521	1,952	556	824	1,070	122	326	7,652
IN	333	53	319	188	54	158	405	376	378	21	2,285
KS	155	82	219	576	117	63	160	41	0	142	1,555
KY	324	102	214	56	86	83	163	189	7	48	1,272
LA	56	135	503	9	0	1,375	57	279	6	195	2,615
MA	1,746	68	308	3,532	825	1,912	1,925	4,457	256	51	15,080
MD	3,514	5	296	5,339	2,372	3,604	1,497	2,369	52	2	19,050
ME	0	125	37	0	0	0	11	0	0	3	176
MI	828	175	2,022	731	181	1,824	1,014	3,905	138	3	10,821
MN	285	1,239	1,492	486	396	155	1,991	2,532	281	258	9,115
MO	577	192	1,196	3,448	200	87	1,078	2,385	94	33	9,290
MS	378	12	52	0	0	75	358	171	4	71	1,121
MT	0	0	0	0	0	0	0	0	32	0	32
NC	527	642	1,077	339	797	302	1,297	1,459	40	4,422	10,902
ND	5	148	149	0	0	0	19	0	90	15	426
NE	68	60	83	18	487	44	152	145	6	70	1,133
NH	95	0	0	0	207	5	11	45	6	2	371
NJ	1,262	225	1,611	2,535	4,751	1,090	1,171	5,245	16	0	17,906
NM	49	13	80	15	65	238	81	4	0	0	545
NV	557	166	412	0	71	0	103	0	1	112	1,422
NY	1,876	342	688	247	1,660	369	1,034	857	203	80	7,356
OH	27,133	525	1,406	738	480	413	2,494	2,102	141	171	35,603
OK	344	47	145	113	0	99	8	87	56	100	999
OR	126	17	49	209	10	2,175	198	321	161	13	3,279
PA	662	295	748	867	535	866	779	7,014	515	261	12,542
PR	0	0	0	0	0	0	0	0	0	0	0
RI	652	8	5	0	204	30	140	382	0	0	1,421
SC	90	167	278	0	0	305	274	40	22	0	1,176
SD	136	0	0	0	30	3	1	13	73	28	284
TN	656	96	437	60	331	176	1,024	33	0	85	2,898
TX	2,497	97	317	232	1,616	886	2,714	4,365	309	1,417	14,450
UT	10	119	240	44	412	3	203	725	164	66	1,986
VA	82	86	149	318	6	69	2,156	198	132	24	3,220
VT	0	5	10	0	0	0	30	4	1,520	3	1,572
WA	1,186	65	426	211	337	863	914	338	8	90	4,438
WI	2,940	293	1,077	1,121	793	2,061	759	2,487	216	110	11,857
WV	0	16	18	0	2	0	5	46	124	0	211
WY	42	28	49	0	0	0	2	2	0	2	125
REPORT TOTAL	61,183	7,485	21,593	29,328	25,907	25,454	36,805	58,676	7,089	8,980	282,500
