State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Other_Farm_Animals	Total
AK	0	0	0	0	0	0	0	0	0	0	0
AL	19	0	0	68	0	0	0	109	0	0	196
AR	0	0	0	0	0	0	0	0	0	0	0
AZ	0	0	0	0	0	0	0	0	0	0	0
CA	292	0	0	274	185	44	0	588	0	19	1,402
CO	144	0	10	306	216	0	1	0	28	0	705
CT	32	0	5	15	914	0	0	0	0	0	966
DC	31	0	0	489	0	0	0	0	0	0	520
DE	0	0	0	0	0	0	0	0	0	0	0
FL	24	0	0	92	0	7	6	36	0	0	165
GA	157	0	12	106	2,714	2	59	2,495	0	0	5,545
HI	0	0	0	0	0	0	0	0	0	0	0
IA	0	0	0	103	7,443	0	0	0	0	0	7,546
ID	0	0	0	0	0	0	0	0	35	0	35
IL	238	2	4	24	24	0	227	90	0	0	609
IN	117	0	0	0	0	0	0	0	0	0	117
KS	0	0	4	0	0	6	1	2	0	0	13
KY	0	0	0	0	15	0	0	0	0	0	15
LA	0	0	0	2	0	1	0	30	0	0	33
MA	0	0	1	8	148	8	2	77	0	0	244
MD	417	0	0	3,321	934	434	215	562	0	0	5,883
ME	0	0	0	0	0	0	0	0	0	0	0
MI	54	0	0	7,905	40	16	0	62	120	0	8,197
MN	37	0	0	163	0	0	15	0	0	0	215
MO	22	30	119	222	20,044	0	0	0	0	0	20,437
MS	0	0	0	0	0	0	0	0	0	0	0
MT	0	0	0	0	0	0	0	0	0	0	0
NC	0	0	1	612	0	0	0	0	0	0	613
ND	0	0	0	0	0	0	0	0	0	0	0
NE	0	0	0	0	0	0	0	0	0	0	0
NH	0	0	0	0	0	0	0	0	0	0	0
NJ	119	0	114	2,632	5,646	14	8	43	0	0	8,576
NM	48	0	0	56	0	431	0	5	0	0	540
NV	0	0	0	0	0	0	0	0	0	0	0
NY	16	0	21	1,054	3	11	0	10	0	0	1,115
OH	36	0	16	2,100	41	270	41	118	0	0	2,622
OK	70	0	0	0	0	0	51	400	0	0	521
OR	235	0	0	0	0	0	0	0	0	0	235
PA	378	0	6	132	9	73	0	593	0	0	1,191
PR	0	0	0	0	0	0	0	0	0	0	0
RI	0	0	0	0	0	0	0	0	0	0	0
SC	250	0	0	0	53	0	0	0	0	0	303
SD	152	0	0	25	0	0	11	0	0	0	188
TN	481	0	0	0	0	0	29	94	0	0	604
TX	189	0	0	435	964	143	27	45	0	0	1,803
UT	0	0	0	48	802	0	0	0	0	0	850
VA	0	0	0	0	0	3	0	0	0	0	3
VT	9	0	0	20	0	0	0	0	0	0	29
WA	9	0	0	0	0	0	0	0	0	0	9
WI	220	0	0	2	0	0	0	0	0	0	222
WV	0	0	0	0	0	0	0	22	0	0	22
WY	4	0	0	0	18	0	0	0	0	0	22
REPORT TOTAL	3,800	32	313	20,214	40,213	1,463	693	5,381	183	19	72,311
