State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Other_Farm_Animals	Pig	Rabbits	Sheep	Total
AK	87	0	0	0	0	0	10	0	0	0	97
AL	434	153	684	74	0	203	661	61	214	35	2,519
AR	2	136	654	24	53	100	4	8	800	0	1,781
AZ	3,573	499	1,507	86	24	3	273	9	108	44	6,126
CA	5,543	2,013	4,812	5,667	644	1,238	5,941	247	15,546	178	41,829
CO	1,078	395	729	2,181	887	1	201	159	640	5	6,276
CT	440	0	150	27	71	234	0	0	49	0	971
DC	9,982	4	0	85	438	122	0	0	0	0	10,631
DE	382	70	89	3	0	0	467	0	5,993	18	7,022
FL	1,946	79	295	60	9	1,019	394	2	35	0	3,839
GA	2,012	413	1,725	406	1,910	367	55	297	1,039	0	8,224
HI	5	27	82	0	0	0	0	0	0	35	149
IA	476	139	245	151	2,497	5	203	384	291	397	4,788
ID	40	48	79	16	0	0	64	2	42	0	291
IL	2,573	534	1,616	2,143	8	444	497	630	721	365	9,531
IN	3,309	275	620	13	3,096	222	86	35	313	124	8,093
KS	19	649	1,441	220	63	118	529	578	322	21	3,960
KY	147	27	149	2	30	0	226	1	5	5	592
LA	0	32	85	0	0	702	115	0	13	3	950
MA	2,943	6	1,292	12,819	4,160	4,887	134	3,583	5,113	115	35,052
MD	10,144	35	688	3,100	1,668	3,506	248	184	1,893	20	21,486
ME	359	91	23	0	0	0	398	0	105	2	978
MI	1,323	230	3,371	8,538	29	2,193	666	1,087	4,763	271	22,471
MN	344	1,598	1,526	26,345	82	10	300	211	3,951	139	34,506
MO	1,536	1,212	1,505	3,050	415	38	74	1,124	862	10	9,826
MS	9	3	19	4	0	0	29	1	0	0	65
MT	36	2	0	0	110	0	32	0	1	0	181
NC	3,169	333	879	8,047	36	79	225	366	2,032	72	15,238
ND	0	248	251	7	0	0	299	24	10	87	926
NE	940	0	79	0	255	55	0	1	5	0	1,335
NH	86	0	0	0	152	0	45	0	0	0	283
NJ	2,291	139	3,679	35,860	25,468	2,450	45	144	4,218	0	74,294
NM	272	10	232	21	0	41	0	10	3	0	589
NV	19	6	58	22	0	0	134	0	4	2	245
NY	6,697	248	931	935	985	989	427	1	445	6	11,664
OH	550	947	3,465	46	14	914	58	110	2,708	5	8,817
OK	244	82	258	2,248	8	0	494	16	34	12	3,396
OR	1,040	22	23	0	0	11	143	10	10	26	1,285
PA	2,224	748	1,374	964	657	559	746	22	8,559	553	16,406
PR	0	0	0	0	0	2,637	0	0	0	0	2,637
RI	22	48	46	0	8	9	64	0	114	0	311
SC	2,335	21	40	159	2	70	80	0	5	0	2,712
SD	316	11	8	4	3	0	48	0	6	0	396
TN	167	225	370	4	40	0	31	36	18	0	891
TX	7,690	366	847	1,860	781	2,794	987	117	3,396	120	18,958
UT	37	201	371	6	215	0	221	20	182	97	1,350
VA	5,942	0	20	422	151	2	40	428	93	95	7,193
VT	48	0	0	27	0	0	0	0	0	190	265
WA	1,520	93	311	3,610	2	2,579	143	29	522	131	8,940
WI	1,327	162	3,420	1,255	881	4,361	182	254	12,644	53	24,539
WV	842	6	23	4	6	0	0	0	11	0	892
WY	98	0	0	4	5	0	18	3	0	48	176
REPORT TOTAL	86,618	12,586	40,071	120,519	45,863	32,962	16,037	10,194	77,838	3,284	445,972
