State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Other_Farm_Animals	Pig	Rabbits	Sheep	Total
AK	102	0	0	0	0	0	0	0	0	0	102
AL	181	108	601	160	0	143	229	399	517	19	2,357
AR	39	11	67	0	0	54	62	683	253	0	1,169
AZ	135	71	131	4	160	39	43	393	99	130	1,205
CA	5,068	483	1,387	2,758	1,606	2,447	687	6,360	8,938	975	30,709
CO	409	112	146	318	257	0	242	600	535	270	2,889
CT	603	1	89	71	0	69	0	173	20	1	1,027
DC	2,227	5	36	11	9	29	0	301	292	0	2,910
DE	0	16	8	14	0	0	6	0	729	1	774
FL	788	258	508	214	190	222	74	1,057	249	141	3,701
GA	1,156	300	364	668	940	2,037	13	465	464	89	6,496
HI	0	60	106	0	0	0	0	20	8	0	194
IA	113	185	466	239	108	3	211	836	870	32	3,063
ID	164	25	25	0	0	0	32	0	0	0	246
IL	1,218	271	1,688	364	1,893	433	129	596	1,419	139	8,150
IN	1,476	70	274	337	31	112	104	254	835	268	3,761
KS	170	65	151	503	21	44	63	613	133	0	1,763
KY	472	160	192	30	38	115	80	212	196	36	1,531
LA	64	150	519	8	11	1,091	150	122	143	0	2,258
MA	1,385	56	486	4,653	916	2,367	31	2,168	4,759	338	17,159
MD	3,258	23	314	4,550	1,161	4,114	27	1,342	1,809	182	16,780
ME	0	317	32	0	0	0	0	20	0	0	369
MI	524	236	2,261	865	125	1,494	23	1,006	2,557	221	9,312
MN	44	690	1,012	501	522	104	288	2,081	1,461	382	7,085
MO	794	337	766	6,050	1,449	58	31	986	2,944	67	13,482
MS	232	14	35	18	7	92	51	303	145	4	901
MT	0	0	0	0	0	14	28	0	0	0	42
NC	1,825	794	1,147	254	840	1,038	4,884	1,430	2,092	121	14,425
ND	0	57	50	0	0	0	13	19	0	2	141
NE	121	65	71	23	296	39	51	287	107	0	1,060
NH	45	0	2	0	0	2	2	2	18	3	74
NJ	792	365	1,813	3,087	3,631	1,280	5	686	6,491	7	18,157
NM	191	0	43	2	83	307	0	50	2	0	678
NV	60	47	369	2	0	0	88	92	2	0	660
NY	2,386	290	606	557	1,211	770	98	1,177	1,776	313	9,184
OH	2,530	366	1,030	1,009	535	284	198	1,807	856	126	8,741
OK	282	19	149	94	0	144	119	4	69	79	959
OR	163	12	28	309	14	2,372	87	113	282	244	3,624
PA	159	432	506	717	297	700	111	698	4,286	239	8,145
PR	0	0	0	0	0	118	0	21	18	0	157
RI	66	2	5	0	93	29	0	159	220	0	574
SC	227	148	187	0	0	357	0	222	31	20	1,192
SD	345	0	0	0	0	0	20	10	5	70	450
TN	828	71	273	107	363	186	153	1,201	138	3	3,323
TX	3,202	90	360	163	1,488	1,444	1,532	2,850	4,455	271	15,855
UT	132	73	263	5	193	40	94	103	829	146	1,878
VA	33	66	197	54	0	74	106	2,114	322	56	3,022
VT	0	0	0	0	0	0	0	0	0	1,753	1,753
WA	4,529	65	410	53	539	766	153	576	274	171	7,536
WI	627	242	1,413	1,155	973	2,941	75	809	2,328	232	10,795
WV	422	37	39	0	0	0	20	2	18	92	630
WY	65	23	43	0	0	0	3	0	4	32	170
REPORT TOTAL	39,652	7,288	20,668	29,927	20,000	27,972	10,416	35,422	53,998	7,275	252,618
