State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Other_Farm_Animals	Pig	Rabbits	Sheep	Total
AK	0	0	0	0	0	0	0	0	0	0	0
AL	27	0	0	12	0	0	2	9	224	0	274
AR	0	0	0	0	0	0	0	0	0	0	0
AZ	1	0	0	0	0	0	0	0	0	0	1
CA	1,174	0	0	272	277	18	1,101	3	667	0	3,512
CO	248	0	0	352	353	0	5	0	0	28	986
CT	15	0	25	57	744	35	0	0	0	0	876
DC	0	0	0	378	0	0	0	0	0	0	378
DE	0	0	0	0	0	0	0	0	0	0	0
FL	83	0	6	204	0	0	22	33	0	0	348
GA	95	5	7	47	1,900	4	0	78	3,245	0	5,381
HI	0	0	0	0	42	0	0	0	0	0	42
IA	0	0	0	82	5,005	0	0	0	0	14	5,101
ID	0	0	0	0	0	0	0	0	0	0	0
IL	214	7	0	0	9	0	0	299	158	0	687
IN	25	0	0	38	1,894	0	0	0	0	0	1,957
KS	0	2	0	0	0	0	0	0	0	0	2
KY	23	0	0	0	0	0	0	0	0	0	23
LA	0	0	0	34	0	0	0	0	40	3	77
MA	0	0	0	2,607	173	16	4	21	199	0	3,020
MD	99	0	0	1,937	693	601	74	198	291	0	3,893
ME	0	0	0	0	0	0	0	0	0	0	0
MI	3	8	0	10,443	0	12	0	7	10	66	10,549
MN	11	0	0	78	0	0	0	22	5	0	116
MO	30	36	95	254	14,017	0	0	0	4	0	14,436
MS	1	0	0	0	0	0	0	0	0	0	1
MT	0	0	0	0	0	0	0	0	0	0	0
NC	32	0	0	495	0	10	0	0	0	0	537
ND	0	0	0	0	0	0	0	0	0	0	0
NE	0	0	0	0	0	0	0	0	0	0	0
NH	0	0	0	0	0	0	0	0	0	0	0
NJ	0	0	180	3,250	5,413	15	104	0	729	0	9,691
NM	224	0	0	149	0	113	0	14	0	0	500
NV	0	0	0	0	0	0	0	0	0	0	0
NY	345	0	49	759	63	8	3	11	26	3	1,267
OH	60	0	0	9	0	0	0	12	0	0	81
OK	0	0	0	0	0	1	0	0	373	0	374
OR	0	0	0	0	0	0	0	0	18	0	18
PA	145	0	0	115	0	32	0	0	432	0	724
PR	0	0	0	0	0	0	0	0	0	0	0
RI	0	0	0	0	0	0	0	0	0	0	0
SC	0	0	0	0	0	0	0	0	51	0	51
SD	243	0	0	25	0	0	0	100	0	0	368
TN	315	0	0	57	0	0	0	18	0	0	390
TX	282	0	0	704	805	151	0	14	40	5	2,001
UT	0	0	0	60	1,169	0	0	0	0	0	1,229
VA	0	0	0	0	0	0	0	0	0	0	0
VT	0	0	0	0	0	0	0	0	0	0	0
WA	15	0	0	0	0	0	18	22	0	0	55
WI	86	0	0	0	0	0	0	0	0	0	86
WV	0	0	0	0	0	0	0	0	0	0	0
WY	0	0	0	0	0	0	0	0	0	0	0
REPORT TOTAL	3,796	58	362	22,418	32,557	1,016	1,333	861	6,512	119	69,032
