State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Total
AK	317	0	0	0	0	0	0	0	0	317
AL	1,102	307	725	60	10	221	118	442	5	2,990
AR	4	32	674	8	7	143	27	462	0	1,357
AZ	1,147	498	1,556	18	37	0	9	172	17	3,454
CA	10,224	1,350	3,411	5,341	453	1,838	251	11,847	330	35,045
CO	2,385	206	495	896	403	1	88	619	126	5,219
CT	436	2	47	48	96	292	12	54	0	987
DC	3,999	7	4	310	354	44	29	60	0	4,807
DE	499	50	64	5	0	0	0	4,604	55	5,277
FL	1,595	28	461	4	0	1,581	9	14	41	3,733
GA	2,169	393	1,674	487	2,719	243	23	2,315	6	10,029
HI	125	47	81	0	0	0	70	3	40	366
IA	1,506	182	284	536	5,129	5	655	25	186	8,508
ID	105	29	56	0	0	0	2	42	0	234
IL	1,310	320	1,454	1,971	3	314	530	878	590	7,370
IN	3,130	202	957	750	5,447	158	116	1,341	0	12,101
KS	409	575	1,086	114	15	119	141	106	2	2,567
KY	360	41	55	0	0	4	46	0	0	506
LA	130	32	113	2	0	1,022	12	170	3	1,484
MA	7,100	41	7,248	13,263	6,451	8,646	3,624	9,878	173	56,424
MD	4,032	4	565	2,732	1,550	3,318	108	1,277	38	13,624
ME	523	0	0	2	0	0	0	16	0	541
MI	1,355	239	3,010	6,809	100	1,369	765	3,965	282	17,894
MN	320	181	178	37,250	209	9	131	4,917	30	43,225
MO	1,319	1,019	1,392	811	228	23	1,019	340	57	6,208
MS	53	0	16	0	0	0	22	0	0	91
MT	478	2	0	71	0	0	0	0	0	551
NC	368	84	397	7,306	37	56	293	3,218	67	11,826
ND	183	163	93	6	3	0	0	26	44	518
NE	465	0	7	10	375	62	0	27	0	946
NH	912	380	275	0	0	0	0	0	0	1,567
NJ	673	622	3,448	10,434	21,358	2,222	53	2,780	2	41,592
NM	1,242	29	144	7	0	6	19	4	0	1,451
NV	120	36	37	26	0	0	0	1	0	220
NY	6,962	366	755	1,682	450	1,099	1	532	3	11,850
OH	743	977	1,770	40,058	44	544	50	5,620	0	49,806
OK	1,938	202	388	2,198	9	52	185	73	0	5,045
OR	1,008	19	16	0	0	4,400	12	12	64	5,531
PA	5,088	1,032	1,728	1,126	4,967	419	425	4,199	859	19,843
PR	0	1	5	0	0	1,766	0	12	0	1,784
RI	63	19	28	0	0	0	0	265	0	375
SC	1,865	56	123	51	6	82	4	5	0	2,192
SD	171	9	4	10	2	0	0	4	0	200
TN	541	348	896	4	539	5	0	67	2	2,402
TX	11,264	427	1,213	1,366	618	4,930	192	3,389	209	23,608
UT	242	309	305	22	365	0	38	94	8	1,383
VA	842	4	22	351	50	3	69	16	95	1,452
VT	41	0	0	30	0	0	0	2	1,069	1,142
WA	1,912	323	399	1,691	32	2,272	10	596	15	7,250
WI	1,481	142	3,495	1,286	223	5,807	291	12,035	13	24,773
WV	523	0	47	2	6	0	0	27	0	605
WY	22	15	16	3	2	0	3	0	54	115
REPORT TOTAL	84,801	11,350	41,217	139,157	52,297	43,075	9,452	76,551	4,485	462,385
