State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Total
AK	91	0	0	0	0	0	0	0	0	91
AL	340	237	466	0	22	129	634	303	25	2,156
AR	51	17	122	0	0	15	1,343	173	0	1,721
AZ	150	88	124	55	32	28	285	176	278	1,216
CA	3,985	362	1,105	2,227	571	1,508	5,441	8,111	680	23,990
CO	512	63	333	1,211	235	0	1,145	350	339	4,188
CT	733	0	53	2	35	63	225	94	0	1,205
DC	2,190	2	22	4	7	25	364	248	0	2,862
DE	0	0	0	0	0	0	0	24	0	24
FL	1,485	368	519	25	56	148	856	100	122	3,679
GA	756	166	242	843	3,673	2,122	1,178	399	41	9,420
HI	0	55	65	10	0	0	40	0	0	170
IA	225	193	261	283	113	0	1,064	1,084	74	3,297
ID	245	26	27	0	0	0	0	0	0	298
IL	759	187	546	193	931	384	802	866	114	4,782
IN	952	285	364	856	133	36	869	1,570	313	5,378
KS	685	9	108	628	0	54	242	38	40	1,804
KY	301	77	169	17	82	58	233	139	3	1,079
LA	428	85	407	0	0	1,261	149	96	0	2,426
MA	1,871	73	642	4,086	742	1,883	1,684	4,131	247	15,359
MD	3,120	30	224	4,190	1,203	4,591	1,426	2,626	11	17,421
ME	5	0	0	0	0	0	2	47	0	54
MI	367	123	1,487	668	62	1,840	954	1,044	186	6,731
MN	353	312	1,244	540	362	112	3,571	2,152	851	9,497
MO	433	296	489	2,022	1,318	133	1,280	1,290	88	7,349
MS	140	11	40	43	18	92	31	106	4	485
MT	96	0	0	0	0	15	0	0	0	111
NC	5,093	599	1,183	144	834	1,168	1,960	1,708	151	12,840
ND	0	0	0	0	0	0	0	66	0	66
NE	113	69	64	33	294	73	191	51	51	939
NH	509	0	0	0	0	3	44	7	2	565
NJ	1,007	167	628	2,618	2,605	693	289	4,582	38	12,627
NM	7	1	76	50	88	123	72	60	0	477
NV	149	55	389	10	0	0	81	1	0	685
NY	2,553	335	487	734	1,242	669	1,094	1,981	199	9,294
OH	2,551	450	1,251	1,365	843	151	1,952	2,511	329	11,403
OK	353	82	91	40	0	68	26	60	49	769
OR	174	8	10	288	44	1,146	417	81	170	2,338
PA	915	552	1,024	631	272	1,153	1,049	5,361	427	11,384
PR	0	0	0	0	0	2,907	18	32	0	2,957
RI	52	3	3	15	361	38	146	212	6	836
SC	0	102	162	76	0	312	132	89	0	873
SD	123	57	26	0	0	4	66	12	4	292
TN	1,022	265	839	87	336	246	1,060	389	0	4,244
TX	6,128	222	546	471	1,672	961	2,492	3,102	370	15,964
UT	82	12	71	27	92	5	98	593	260	1,240
VA	210	83	154	70	0	83	1,624	363	14	2,601
VT	32	23	49	0	0	0	8	4	2,697	2,813
WA	7,731	69	530	210	94	808	634	217	16	10,309
WI	1,019	301	1,379	967	669	3,100	833	2,630	169	11,067
WV	1,876	16	27	0	0	0	0	49	126	2,094
WY	42	24	41	0	0	0	1	3	0	111
REPORT TOTAL	52,014	6,560	18,089	25,739	19,041	28,208	38,105	49,331	8,494	245,581
