State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Total
AK	105	0	0	0	0	0	0	0	0	105
AL	285	0	27	0	0	4	4	47	1	368
AR	0	0	251	10	0	68	0	32	0	361
AZ	3	4	14	0	0	0	49	0	34	104
CA	7,973	137	143	143	184	2,482	52	2,186	44	13,344
CO	1,031	30	21	131	0	0	10	14	11	1,248
CT	140	1	0	3	0	17	3	66	0	230
DC	81	13	0	0	0	69	0	4	0	167
DE	21	0	0	0	0	0	0	3,777	0	3,798
FL	1,507	55	108	1	0	4,036	6	18	1	5,732
GA	852	12	5	1	117	2,262	13	165	0	3,427
HI	0	0	0	0	0	0	0	0	0	0
IA	458	0	2	0	0	0	2,587	31	7	3,085
ID	192	0	0	0	0	0	0	0	0	192
IL	1,641	9	83	25	0	81	70	170	48	2,127
IN	553	24	97	38	1,386	48	151	287	0	2,584
KS	57	17	101	38	1	12	21	0	0	247
KY	858	78	126	0	0	0	67	18	40	1,187
LA	120	3	0	0	0	11,265	0	6	4	11,398
MA	3,426	0	100	139	480	2,488	100	959	41	7,733
MD	3,895	2	0	524	956	4,700	2	6	0	10,085
ME	114	0	0	0	0	0	0	42	0	156
MI	255	22	168	7,279	0	329	0	0	0	8,053
MN	80	85	235	1,277	16	9	213	304	46	2,265
MO	304	132	262	115	132	11	255	97	0	1,308
MS	24	0	0	0	0	15	10	0	0	49
MT	611	0	0	0	0	2	0	0	0	613
NC	40	121	78	567	0	3	38	3	1	851
ND	0	0	0	0	0	0	0	0	0	0
NE	49	0	0	0	8	0	2	0	0	59
NH	17	0	0	0	0	0	0	0	0	17
NJ	92	20	171	250	633	242	14	350	0	1,772
NM	0	22	26	0	8	101	0	6	0	163
NV	0	0	0	0	0	0	0	0	0	0
NY	1,167	15	3	103	40	111	5	21	8	1,473
OH	293	111	69	1,913	3	17	30	729	20	3,185
OK	244	1	43	554	0	127	0	17	0	986
OR	39	0	1	12	0	1,357	0	0	0	1,409
PA	1,214	53	198	622	326	44	23	1,184	180	3,844
PR	0	0	0	0	0	200	0	0	0	200
RI	103	0	0	0	150	15	3	0	0	271
SC	2,830	0	0	1	0	0	0	1	0	2,832
SD	107	0	0	0	0	0	0	0	251	358
TN	516	9	34	0	178	62	0	0	0	799
TX	4,081	121	107	160	15	1,688	203	3,895	60	10,330
UT	123	0	0	30	467	7	0	0	17	644
VA	99	1	5	2	32	18	427	10	0	594
VT	0	0	0	0	0	0	0	0	0	0
WA	935	0	43	241	16	974	8	220	2	2,439
WI	855	45	3,866	104	4	2,357	114	290	21	7,656
WV	2,845	0	0	0	0	0	0	7	4	2,856
WY	13	0	0	0	0	0	0	0	0	13
REPORT TOTAL	40,248	1,143	6,387	14,283	5,152	35,221	4,480	14,962	841	122,717
