State,State Name,Year,Month,Indicator,Data Value,Predicted Value,Percent Complete,Percent Pending Investigation,Footnote
AK,AK,2015,January,Number of Deaths,4034,,100,0,
AK,AK,2015,February,Number of Deaths,4084,,100,0,
AK,AK,2015,March,Number of Deaths,4101,,100,0,
AK,AK,2015,April,Number of Deaths,4133,,100,0,
AK,AK,2015,May,Number of Deaths,4196,,100,0,
AK,AK,2015,June,Number of Deaths,4201,,100,0,
AK,AK,2015,July,Number of Deaths,4220,,100,0,
AK,AK,2015,August,Number of Deaths,4222,,100,0,
AK,AK,2015,September,Number of Deaths,4242,,100,0,
AK,AK,2015,October,Number of Deaths,4241,,100,0,
AK,AK,2015,November,Number of Deaths,4219,,100,0,
AK,AK,2015,December,Number of Deaths,4193,,100,0,
AK,AK,2016,January,Number of Deaths,4213,,100,0,
AK,AK,2016,February,Number of Deaths,4198,,100,0,
AK,AK,2016,March,Number of Deaths,4230,,100,0,
AK,AK,2016,April,Number of Deaths,4262,,100,0,
AK,AK,2016,May,Number of Deaths,4241,,100,0,
AK,AK,2016,June,Number of Deaths,4261,,100,0,
AK,AK,2016,July,Number of Deaths,4269,,100,0,
AK,AK,2016,August,Number of Deaths,4276,,100,0.023386342376052,
AK,AK,2016,September,Number of Deaths,4256,,100,0.046992481203008,
AK,AK,2016,October,Number of Deaths,4291,,100,0.069913773013284,
AK,AK,2016,November,Number of Deaths,4289,,100,0.069946374446258,
AK,AK,2016,December,Number of Deaths,4355,,100,0.068886337543054,
AK,AK,2017,January,Number of Deaths,4374,,100,0.068587105624143,Underreported due to incomplete data
AK,AK,2017,February,Number of Deaths,4345,,100,0.069044879171461,Underreported due to incomplete data
AK,AK,2017,March,Number of Deaths,4357,,100,0.068854716548084,Underreported due to incomplete data
AK,AK,2017,April,Number of Deaths,4322,,99.5+,0.06941230911615,Underreported due to incomplete data
AK,AK,2017,May,Number of Deaths,4272,,99.5+,0.070224719101124,Underreported due to incomplete data
AK,AK,2017,June,Number of Deaths,4271,,99.5+,0.070241161320534,Underreported due to incomplete data
AK,AK,2017,July,Number of Deaths,4230,,99.5+,0.070921985815603,Underreported due to incomplete data
AK,AK,2017,August,Number of Deaths,4227,,99.5+,0.047314880529927,Underreported due to incomplete data
AK,AK,2017,September,Number of Deaths,4292,,99.5+,0.023299161230196,Underreported due to incomplete data
AK,AK,2017,October,Number of Deaths,4275,,99.5+,0,Underreported due to incomplete data
AK,AK,2017,November,Number of Deaths,4298,,99.5+,0,Underreported due to incomplete data
AK,AK,2017,December,Number of Deaths,4269,,99.5+,0,Underreported due to incomplete data
